2009-01-23,000607.SZ,医药
2009-01-23,000608.SZ,房地产
2009-01-23,000609.SZ,房地产
2009-01-23,000610.SZ,餐饮旅游
2009-01-23,000611.SZ,机械
2009-01-23,000612.SZ,有色金属
2009-01-23,000615.SZ,基础化工
2009-01-23,000616.SZ,房地产
2009-01-23,000617.SZ,机械
2009-01-23,000619.SZ,建材
2009-01-23,000623.SZ,医药
2009-01-23,000625.SZ,汽车
2009-01-23,000626.SZ,农林牧渔
2009-01-23,000627.SZ,基础化工
2009-01-23,000629.SZ,钢铁
2009-01-23,000630.SZ,有色金属
2009-01-23,000632.SZ,商贸零售
2009-01-23,000635.SZ,基础化工
2009-01-23,000636.SZ,电子元器件
2009-01-23,000637.SZ,石油石化
2009-01-23,000639.SZ,农林牧渔
2009-01-23,000650.SZ,医药
2009-01-23,000651.SZ,家电
2009-01-23,000652.SZ,综合
2009-01-23,000655.SZ,钢铁
2009-01-23,000659.SZ,轻工制造
2009-01-23,000661.SZ,医药
2009-01-23,000662.SZ,基础化工
2009-01-23,000663.SZ,农林牧渔
2009-01-23,000665.SZ,传媒
2009-01-23,000666.SZ,机械
2009-01-23,000667.SZ,房地产
2009-01-23,000668.SZ,石油石化
2009-01-23,000669.SZ,综合
2009-01-23,000671.SZ,商贸零售
2009-01-23,000676.SZ,机械
2009-01-23,000677.SZ,基础化工
2009-01-23,000678.SZ,机械
2009-01-23,000679.SZ,商贸零售
2009-01-23,000680.SZ,机械
2009-01-23,000682.SZ,电力设备
2009-01-23,000683.SZ,基础化工
2009-01-23,000685.SZ,电力及公用事业
2009-01-23,000686.SZ,非银行金融
2009-01-23,000687.SZ,基础化工
2009-01-23,000690.SZ,电力及公用事业
2009-01-23,000695.SZ,电力及公用事业
2009-01-23,000697.SZ,电子元器件
2009-01-23,000698.SZ,石油石化
2009-01-23,000700.SZ,汽车
2009-01-23,000701.SZ,电子元器件
2009-01-23,000702.SZ,农林牧渔
2009-01-23,000703.SZ,建材
2009-01-23,000705.SZ,医药
2009-01-23,000707.SZ,基础化工
2009-01-23,000708.SZ,钢铁
2009-01-23,000709.SZ,钢铁
2009-01-23,000710.SZ,汽车
2009-01-23,000711.SZ,房地产
2009-01-23,000712.SZ,电力及公用事业
2009-01-23,000713.SZ,农林牧渔
2009-01-23,000715.SZ,商贸零售
2009-01-23,000717.SZ,钢铁
2009-01-23,000718.SZ,房地产
2009-01-23,000720.SZ,电力及公用事业
2009-01-23,000721.SZ,餐饮旅游
2009-01-23,000723.SZ,煤炭
2009-01-23,000725.SZ,电子元器件
2009-01-23,000726.SZ,纺织服装
2009-01-23,000727.SZ,电子元器件
2009-01-23,000728.SZ,非银行金融
2009-01-23,000729.SZ,食品饮料
2009-01-23,000731.SZ,基础化工
2009-01-23,000733.SZ,电子元器件
2009-01-23,000735.SZ,农林牧渔
2009-01-23,000737.SZ,基础化工
2009-01-23,000739.SZ,医药
2009-01-23,000751.SZ,有色金属
2009-01-23,000752.SZ,食品饮料
2009-01-23,000753.SZ,汽车
2009-01-23,000755.SZ,基础化工
2009-01-23,000756.SZ,医药
2009-01-23,000758.SZ,有色金属
2009-01-23,000759.SZ,商贸零售
2009-01-23,000760.SZ,汽车
2009-01-23,000761.SZ,钢铁
2009-01-23,000762.SZ,有色金属
2009-01-23,000766.SZ,医药
2009-01-23,000767.SZ,电力及公用事业
2009-01-23,000768.SZ,国防军工
2009-01-23,000776.SZ,交通运输
2009-01-23,000777.SZ,电力设备
2009-01-23,000778.SZ,钢铁
2009-01-23,000782.SZ,基础化工
2009-01-23,000783.SZ,非银行金融
2009-01-23,000785.SZ,商贸零售
2009-01-23,000786.SZ,建材
2009-01-23,000788.SZ,医药
2009-01-23,000789.SZ,建材
2009-01-23,000790.SZ,钢铁
2009-01-23,000791.SZ,基础化工
2009-01-23,000792.SZ,基础化工
2009-01-23,000793.SZ,传媒
2009-01-23,000795.SZ,有色金属
2009-01-23,000796.SZ,餐饮旅游
2009-01-23,000797.SZ,房地产
2009-01-23,000798.SZ,农林牧渔
2009-01-23,000799.SZ,食品饮料
2009-01-23,000800.SZ,汽车
2009-01-23,000801.SZ,电子元器件
2009-01-23,000802.SZ,餐饮旅游
2009-01-23,000803.SZ,汽车
2009-01-23,000806.SZ,电力设备
2009-01-23,000807.SZ,有色金属
2009-01-23,000809.SZ,医药
2009-01-23,000810.SZ,纺织服装
2009-01-23,000811.SZ,机械
2009-01-23,000812.SZ,轻工制造
2009-01-23,000813.SZ,纺织服装
2009-01-23,000815.SZ,轻工制造
2009-01-23,000816.SZ,机械
2009-01-23,000818.SZ,基础化工
2009-01-23,000819.SZ,石油石化
2009-01-23,000820.SZ,轻工制造
