,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
0,301079.SZ,20210310,20210401,20200930,1,1,3,62920000.0,29125573.01,46014762.61,20808382.29,,3856111.84,,,135226287.38,650733.07,7383797.99,,,69045920.14,,,,,,,,,,308169328.19,,,,,,,,35053598.88,,,,,,11551746.12,,,559533.31,3852571.93,,1104031.88,52121482.12,,,,,,,,,,,,,,,,,360290810.31,,58410016.77,,,,,,55086186.75,,,,5134960.98,6180666.76,5518.13,,1069644.55,,,,,,,,,60067857.88,192123364.54,,,,4579664.0,234230.99,4484832.87,,9298727.86,,,,,,,,,,,,,,,,,201422092.4,,,,,,158868717.91,158868717.91,360290810.31,,,,,,,,,,,,,10878703.03,6168512.72,135226287.38,55086186.75,650733.07,35053598.88,,1075162.68,,,,1
1,688272.SH,20210120,20210120,20200930,1,1,3,57000000.0,121498723.11,10061314.0,,,96967864.95,,1918346.44,71727912.12,1850299.35,10471218.49,,,145642105.07,,,,,,,,,1161134.52,329758880.94,,,,,,,,4699471.41,,,,,,952317.49,,,1583527.54,2420724.77,,,9656041.21,,,,,,,,,,,,,,,,,339414922.15,,22016349.98,,,,,,94919766.42,,,,5550442.25,6725245.34,,,17353664.65,,,,,,,,,493472.68,150854885.04,,,,,,,,,,,,,,,,,,,,,,,,,150854885.04,,,,,,188560037.11,188560037.11,339414922.15,,,,,,,,,,,,,,3795943.72,73646258.56,94919766.42,1850299.35,4699471.41,,17353664.65,,,,1
2,301073.SZ,20210117,20210117,20200930,1,1,3,60405000.0,18690100.31,180516233.86,19305308.75,,33960172.78,35814398.47,,30049748.37,23637961.86,25497827.66,,,771657.4,,,,,,,,,24805178.56,174536945.1,,,,,,,,8012601.53,326708.56,,,,,1995717.88,,31855232.43,151594481.55,33743950.99,,31185709.23,258714402.17,,,,,,,,,,,,,,,,,433251347.27,,,,,,,,17547728.67,6159339.6,,,3708762.75,8800286.53,25975.0,,36622638.13,,,,,,,,,,78473221.26,,,,,2419389.87,20264151.25,64545136.02,87228677.14,,,,,,,,,,,,,,,,,165701898.4,,,,,-11367194.05,278916642.92,267549448.87,433251347.27,,,,,,,,,,,,,,5608490.58,30049748.37,17547728.67,23637961.86,8012601.53,326708.56,36648613.13,,,,1
3,301071.SZ,20210311,20210311,20200930,1,1,3,45278985.0,123141775.97,227619153.71,19944620.7,,99470957.53,6300000.0,,67679696.34,133304.57,257308.13,,,104339151.99,,,,,,,,,2541663.63,348918802.16,,,2880757.12,,,,,175089517.39,110372839.32,574197.74,,,,29658434.71,,,6691292.23,8790707.22,,1948139.66,336005885.39,,,,,,,,,,,,,,,,,684924687.55,,10000000.0,,,,,62795733.9,110332376.48,,,,1387551.47,11560327.02,964105.63,,2014450.22,,,,,,,,,517769.5,204408946.65,,20000000.0,,,,44512521.01,,64512521.01,,,,,,,,,,,,,,,,,268921467.66,,,,,,416003219.89,416003219.89,684924687.55,,18684.51,,,,,,,,,,,,4836632.43,67679696.34,173128110.38,133304.57,175089517.39,110947037.06,2978555.85,20000000.0,,,1
4,301069.SZ,20210209,20210209,20200930,1,1,3,360640000.0,168014449.7,194131940.25,33137196.97,21765908.31,179277897.34,190464733.81,,58071798.04,,4030186.61,,,24590302.72,,,,,,,,,2155407.88,522636717.48,,,,11973036.59,,,,193598060.68,79348342.4,,,,,56371603.75,,,944223.38,2489249.55,,8730123.51,353454639.86,,,,,,,,,,,,,,,,,876091357.34,,,,,,,,65917854.88,674947.24,,,3086758.95,8044273.48,,,,,,,,,,,,,87863846.88,,,,,581210.07,9956805.16,,10538015.23,,,,,,,,,,,,,,,,,98401862.11,,,,,,777689495.23,777689495.23,876091357.34,,,,,,,,,,,,,,5615625.39,58071798.04,65917854.88,629923.57,193598060.68,79348342.4,4524386.94,,,,1
5,301063.SZ,20210220,20210324,20200930,1,1,3,63180000.0,218455001.29,197854874.12,13667812.41,,79216314.85,88606806.63,69391161.55,338181175.93,2715603.22,28457868.72,,,205768708.98,,,,,,,,,1937115.76,862287711.74,,,,,,,4244000.0,176673721.59,2508841.8,,,,,25600348.42,,,227627.67,5694852.08,,2175815.11,217125206.67,,,,,,,,,,,,,,,,,1079412918.41,,159233523.65,,,,,168862157.03,124356688.33,,,,12401128.58,8142483.44,,,1464938.03,,,,,,,,11358582.93,96725137.09,586245809.14,,,,,8660.19,,,8660.19,,,,,,,,,,,,,,,,,586254469.33,,,,,,493158449.08,493158449.08,1079412918.41,,761.26,,,,,,,,,,,,3701170.06,407572337.48,293218845.36,2715603.22,176673721.59,2508841.8,1464938.03,,,,1
6,688701.SH,20210519,20210519,20200930,1,1,3,100708029.0,8420772.44,135980721.18,12491673.53,,91798817.86,,2396000.0,184686963.35,12017478.96,5665873.8,,,3113667.96,,,,,,,,,108755.96,425502263.83,,,,,,,,22963006.09,,,,,,,,,,2584757.3,,485000.0,26032763.39,,,,,,,,,,,,,,,,,451535027.22,,62811749.64,,,,,11820394.5,73187627.62,,,,4028887.13,12989634.4,,,2179132.4,,,,,,,,26353854.51,,193834519.2,,,,,,99311.87,,99311.87,,,,,,,,,,,,,,,,,193933831.07,,,,,,257601196.15,257601196.15,451535027.22,,,,,,,,,,,,,112710192.67,463239.0,187082963.35,85008022.12,12017478.96,22963006.09,,2179132.4,,,,1
7,688707.SH,20210105,20210105,20200930,1,1,3,332201107.0,1002936424.91,-23702794.04,5332193.23,,66976551.11,,4839646.02,586108528.7,1175139.85,74302495.48,,,961574707.54,,,,,,,,,161252845.52,2121018532.27,,,26753428.49,,,,,1407528281.26,315635541.74,,53022.28,,,104541099.95,,,9857974.27,43064705.14,,3038431.42,1910472484.55,,,,,,,,,,,,,,,,,4031491016.82,1118440100.0,295277701.37,,,,,314651577.59,691428158.12,,,,8637470.34,9177182.3,,,2163695.05,,,,,,,,240330028.5,1747950.53,1564413763.8,,,,,1561227.13,30308994.79,,1150310321.92,,,,,,,,,,,,,,,,,2714724085.72,,,,,,1316766931.1,1316766931.1,4031491016.82,,,,,,,,,,,,,,1000000.0,590948174.72,1006079735.71,1175139.85,1407581303.54,315635541.74,2163695.05,,,,1
8,688121.SH,20210127,20210127,20200930,1,1,3,152000000.0,130447415.73,289043561.91,22638147.52,16226526.38,637992354.28,,100670000.0,899960186.12,14257950.23,880088532.2,,,2033692903.0,,,,,,,,,102709680.38,4924409659.32,,,97279576.2,,,,,261096415.53,13625930.69,,,,,77963869.07,,15846890.34,2360539.72,15111508.57,,239224.14,483523954.26,,,,,,,,,,,,,,,,,5407933613.58,,173000000.0,,,,,836606090.35,778965478.04,,,,15339388.71,54593440.76,,,4261047.35,,,,,,,,,234575840.1,3953326768.53,,,,,,14275445.93,829975000.0,844250445.93,,,,,,,,,,,,,,,,,4797577214.46,,,,,,610356399.12,610356399.12,5407933613.58,,747.58,,,,,,,,,,,228509656.11,1855985483.22,1000630186.12,1615571568.39,14257950.23,261096415.53,13625930.69,4261047.35,,,,1
9,688766.SH,20210119,20210119,20200930,1,1,3,27171539.0,281718116.96,43301735.15,,,119366559.2,,,131615727.51,925010.78,168548.45,,,141661937.96,,,,,,,,,2268728.89,406223358.9,,,,,,,,15892338.87,860661.28,,,,,3992339.66,,,1796671.14,2627312.61,,200000.0,25369323.56,,,,,,,,,,,,,,,,,431592682.46,,,,,,,,69891267.24,,,,3805122.29,2724779.17,,,733749.97,,,,,,,,,,79179624.77,,,,,,221666.58,,221666.58,,,,,,,,,,,,,,,,,79401291.35,,,,,,352191391.11,352191391.11,431592682.46,,,,,,,,,,,,,,2024706.1,131615727.51,69891267.24,925010.78,15892338.87,860661.28,733749.97,,,,1
