,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
222,603100.SH,20200430,20200430,20200331,1,1,1,395000000.0,705494628.9,1128196601.14,160349275.26,,784075411.36,1767526.8,66486405.97,1475920171.08,,175664134.6,,,677726605.98,,,,,,,,,10976757.12,3581828578.71,,,329647452.16,105906471.38,,,17093770.81,,13682630.02,,,,,64964973.75,,,40028667.45,54142312.18,,2415750.39,1351865610.75,,,,,,,,,,,,,,,,,4933694189.46,176000000.0,440980902.77,,,,,295805121.52,642837747.53,422360743.87,,,212633006.1,7058672.53,,,,,,,,,,,61750000.0,,2246782853.54,,,,,11123945.97,70956258.49,,283760204.46,,,,,,,,,,,,,,,,,2530543058.0,,,,,18482390.63,2384668740.83,2403151131.46,4933694189.46,25680000.0,-4371764.47,,,,,,,,,,,,,1542406577.05,938642869.05,52006176.94,612635317.89,13682630.02,163356659.22,,,,1
223,600249.SH,20200430,20200430,20200331,1,1,1,550000000.0,1184901870.95,79958097.52,245652148.24,,564935088.86,249235818.26,,80102696.39,,17501321.98,,,158045254.9,,,,,,,,,3356704.03,1709264758.04,,,,21333070.07,,,,336830841.13,,,,,,78436609.67,,3405975.91,3575118.72,2847461.46,,7695523.4,747497172.71,,,,,,,,,,,,,,,,,2456761930.75,,90000000.0,,,,,20748958.53,136292722.54,54453018.28,,,3011062.08,3070320.59,93041.66,8537790.48,25815192.95,,,,,,,,,17027184.51,359049291.62,,,,,41527892.3,8254348.95,,52332854.95,,,,,,,,,,,,,,,,,411382146.57,,,,,-6306525.27,2051686309.45,2045379784.18,2456761930.75,2550613.7,-8825807.26,,,,,,,,,,,,,80102696.39,157041681.07,619395611.16,336830841.13,1172572.35,34446025.09,,,,1
224,603956.SH,20200430,20200430,20200331,1,1,1,425960100.0,300154874.58,324675501.94,45798409.05,,273859065.36,,,462881656.0,,11104905.14,,1107752.28,118536294.75,,,,,,,,,6314692.14,941434120.17,,,9749920.21,,,,,,,,,,,72483175.87,,536887.25,2006678.41,12645989.47,,16521990.75,441720446.8,,,,,,,,,,,,,,,,,1383154566.97,,,,,,,51886074.81,69105015.46,,,,6702279.25,12431907.25,,,,,,,,,,,,37378776.48,267162542.22,,,,4531112.91,174375.0,12859437.64,,17564925.55,,,,,,,,,,,,,,,,,284727467.77,,,,,1838213.63,1096588885.57,1098427099.2,1383154566.97,,,,,,,,,,,,,,52870366.99,462881656.0,120991090.27,41362908.66,280496410.23,4313977.35,36788121.98,,,,1
225,600137.SH,20200430,20200430,20200331,1,1,1,97217588.0,341797748.84,56370403.82,13553606.47,,138301130.96,,,59331700.83,,14534726.01,,,99092638.95,,,,,,,,,208158530.85,522603861.55,,,,2047180.81,,,,72670029.14,,,,,,38028423.19,,,1064455.0,10656761.62,,,138340934.94,,,,,,,,,,,,,,,,,660944796.49,,,,,,,65270693.24,73974519.28,7448360.37,,,1291288.55,1284705.29,,,,,,,,,,,,,151164984.92,,,,,358242.21,482222.23,,840464.44,,,,,,,,,,,,,,,,,152005449.36,,,,,,508939347.13,508939347.13,660944796.49,,,,,,,,,,,,,,,59331700.83,139245212.52,3185133.95,72670029.14,12874085.18,1895418.19,,,,1
226,002092.SZ,20200429,20200429,20200331,1,1,1,2146449598.0,9284735299.09,6719840525.42,705174646.73,21028214.78,5386182544.54,,,3653487880.85,,5062217889.63,,3279150.68,4920554931.07,,29861358.71,,,,,,,1022170732.7,23580429872.44,,,2311872425.45,138233847.99,,,230870896.64,,,,,,,735986846.44,6141718.58,25912826.44,78803255.69,170471343.71,,237756664.97,40846724696.32,,,,,,,,,,,,,,,,,64427154568.76,4334597700.82,10529323540.97,,,,,4449983552.88,6929601476.51,,,,195078589.52,193298319.19,262257609.73,900855.17,299434499.49,,,,,,,,1160210873.55,4120000000.0,31139992550.37,5936000000.0,,,,25522836.86,319168564.06,853090.43,11586657387.13,,45471560.0,,,,,,,,,,,,,,,42726649937.5,,,,,2771601753.46,18928902877.8,21700504631.26,64427154568.76,,51674593.78,,,,,,,,,,,,2954431673.36,3653487880.85,11379585029.39,655927232.93,28001983413.21,8859906667.5,562592964.39,970515194.96,,,1
227,000685.SZ,20200430,20200430,20200331,1,1,1,1475111351.0,1840814374.55,8384145689.21,773395307.19,11123664.86,1115443626.99,570015008.32,,395263537.32,,24691960.4,,,107579427.91,,7993091.99,,,,,,,97565838.12,2639988329.61,,,11540592246.93,906417558.74,,,5017667.99,,900116002.4,,,,,1649386237.83,,,40392069.46,41569553.86,186291259.91,2704361.38,17079252364.18,,,,,,,,,,,,,,,,,19719240693.79,417162348.23,1550000000.0,,,,,12096200.94,684018566.45,432471295.61,,,134560889.55,42730455.32,,67999492.17,,,,,,,,,51305657.21,5270140.03,3429491646.24,1995000000.04,,,,2571126.54,93376226.37,,2526688189.82,,,,,,,,,,,,,,,,,5956179836.06,,,,,338136852.27,13424924005.46,13763060857.73,19719240693.79,,940333618.65,,,,,,,,,,,283487589.91,171160819.42,395263537.32,696114767.39,37948248.65,1792009150.68,900116002.4,345877621.71,18578488.64,,,1
228,000049.SZ,20200430,20200430,20200331,1,1,1,207197738.0,45079735.99,1940165221.06,84323558.4,,864704280.87,,44893991.36,2632913921.28,,29231621.81,,,2107154500.1,,,,,,,,,289904070.05,6071462320.08,,,,,,,,,,,,,,178521466.1,,,242000165.76,119089071.35,,54232352.04,1524151867.24,,,,,,,,,,,,,,,,,7595614187.32,542808278.73,626217503.48,,,,,169631824.22,2735775218.1,,,,378526265.47,35814874.66,,,,,,,,,,,74243807.03,,4111311301.43,,,,,,13386190.14,,556194468.87,,,,,,,,,,,,,,,,,4667505770.3,28118060.0,,,,678821634.53,2249286782.49,2928108417.02,7595614187.32,,638589.04,,,,,,,,,,,,928016.87,2677807912.64,2905407042.32,102659934.61,852499899.71,42559530.24,90173791.6,,,,1
229,000899.SZ,20200430,20200430,20200331,1,1,1,975677760.0,2433539567.35,1069757214.2,362813956.0,,548219609.39,,329654223.03,245469094.22,,58422369.51,,,159330394.74,,,,,,,,,44841.18,1351393352.02,,,1372775567.3,,,,,,,,,,,39247942.13,,,899078.82,11791883.68,,1205552669.54,6033124903.16,,,,,,,,,,,,,,,,,7384518255.18,701767165.28,1401211088.75,,,,,,134666387.35,3760318.38,,,18151670.12,35828212.29,,,,,,,,,,,184462858.33,,1825327007.81,,,,,,1535776.12,,703302941.4,,,,,,,,,,,,,,,,,2528629949.21,,,,,14099808.42,4841788497.55,4855888305.97,7384518255.18,,,,,,,,,,,,,,,575123317.25,134666387.35,10252819.95,2931601887.45,438419593.95,47246472.59,,,,1
230,601952.SH,20200430,20200430,20200331,1,1,1,1378000000.0,1996118858.61,2316702896.14,318530922.44,,757872027.54,2000000000.0,,285571634.34,,571179487.42,,,2407908784.25,,,,,,,,,133865232.71,6194151643.93,,,,,,,,5651443.1,,,,40359384.19,821945.49,196702263.55,,109206631.54,11831750.86,1407624.0,,5376200.0,1893254027.01,,,,,,,,,,,,,,,,,8087405670.94,,215924645.0,,,,,,240162541.99,461374370.73,,,154236328.91,32850814.41,,,,,,,,,,,,,1483624371.72,,,,,28856313.64,212371903.17,,241228216.81,,,,,,,,,,,,,,,,,1724852588.53,,,,,353200405.22,6009352677.19,6362553082.41,8087405670.94,,,,,,,,,,,,,,,285571634.34,240162541.99,31788118.67,5651443.1,1453712983.27,379075670.68,,,,1
231,600618.SH,20200430,20200430,20200331,1,1,1,1156399976.0,1673288932.12,1659428158.06,196544593.1,,2199470122.54,,,273847160.8,,163555965.37,,,280534362.45,,,,,,,,,13199811.21,3128987479.67,,,596710717.44,,,,,,,,,,,298681499.49,,,7970162.89,45835.75,,,2940975636.56,,,,,,,,,,,,,,,,,6069963116.23,,120000000.0,,,,,,467939422.5,,,,46295737.1,19840002.41,3519464.44,2724553.75,268483778.28,,,,,,,,,,1059273210.63,,,,2306401.49,18028116.26,16038283.34,,131575830.79,,,,,,,,,,,,,,,,,1190849041.42,,,,,140090105.24,4739023969.57,4879114074.81,6069963116.23,95203029.7,53362310.29,,,,,,,,,,,,130470252.15,273847160.8,467939422.5,1416811.03,1448394320.23,80871632.39,274727796.47,,,,1
