,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
0,301035.SZ,20210708,20210708,20200630,1,1,2,280203284.99,10241783.38,3016370939.03,177159816.91,,,,,,,,,,,,36846785.36,3230377541.3,2697050080.45,179443934.56,54186756.16,,,,,,165643135.83,3096323907.0,134053634.3,7969390.63,,,5937976.27,,13907366.9,132424956.85,,,,,132424956.85,-118517589.95,680202734.64,,,680202734.64,61048330.6231,220911347.87,13161693.63,,303913606.74,537986648.24,142216086.4,29766547.87,187518678.62,583269113.37,770787791.99,,,,2674166.51,49324218.92,1750983.09,591950.57,,,-402235.79,4971162.3,13314131.5,-7976419.57,-8600334.46,1253345.76,-154741663.28,-640997557.79,541696449.61,,134053634.3,,,,187518678.62,,,40750368.56,,,770787791.99,583269113.37,,,1
1,688779.SH,20210722,20210722,20200630,1,1,2,15370046.3,189313.9,435595794.48,1985763.69,,,,,,,,,,,,15626261.4,453207819.57,116118397.86,49224347.39,9136623.55,,,,,,26629407.32,201108776.12,252099043.45,,,,146983.3,,146983.3,158423182.49,,,,,158423182.49,-158276199.19,,,,,,2500000.0,320633.34,,,2820633.34,-2820633.34,131319.44,91133530.36,363226634.42,454360164.78,,,,1392593.45,50929738.12,2053699.16,,,,421125.47,104207.68,,,-1107327.87,,106114959.19,395289950.72,-318604655.17,,252099043.45,,,,91133530.36,,,-54607.5,,,454360164.78,363226634.42,,,1
2,601921.SH,20210722,20210722,20200630,1,1,2,,,3477680400.99,2081621.13,,,,,,,,,,,,193019461.29,3672781483.41,2241272010.62,608311970.69,72914165.4,,,,,,247132502.04,3169630648.75,503150834.66,,331223055.56,8859052.93,70498669.76,,410580778.25,129081970.51,210000000.0,,,,339081970.51,71498807.74,37683350.0,,,37683350.0,546259904.5647,7000000.0,33548271.53,,6954711.39,47502982.92,-9819632.92,-523456.24,564306553.24,4502063532.31,5066370085.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,605167.SH,20210723,20210723,20200630,1,1,2,,,680604703.07,1008262.34,,,,,,,,,,,,46136307.9,727749273.31,376344178.36,221951811.2,34297202.74,,,,,,37994368.92,670587561.22,57161712.09,29418591.71,,,18686.73,,29437278.44,42011235.79,,,26000000.0,,68011235.79,-38573957.35,41243769.14,,15551297.05,56795066.19,25078552.578,2900000.0,31227604.12,,15994630.43,50122234.55,6672831.64,439915.67,25700502.05,155852583.05,181553085.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,300931.SZ,20210728,20210728,20200630,1,1,2,16200971.08,42437.52,141488425.68,90748.71,,,,,,,,,,,,7303739.86,148882914.25,103697700.95,18084549.07,10994947.19,,,,,,14539629.39,147316826.6,1566087.65,,,,125000.0,,125000.0,2006785.13,,,,,2006785.13,-1881785.13,,,,,,,,,2451898.7,2451898.7,-2451898.7,-42437.52,-2810033.7,257041285.68,254231251.98,,,,635166.83,2799938.15,202939.11,,,,384075.71,,,,-58270.71,,-21469555.61,-26633585.15,29381935.91,,1566087.65,,,,-2810033.7,,,,,,254231251.98,257041285.68,,,0
5,605069.SH,20210728,20210728,20200630,1,1,2,,,255468577.53,,,,,,,,,,,,,3362177.87,258830755.4,164217686.21,63769101.12,16944199.46,,,,,,182943416.53,427874403.32,-169043647.92,,,,31400.0,,31400.0,414371.27,,,,,414371.27,-382971.27,372702661.11,,15000000.0,490244011.11,,314300192.49,11162430.42,,28668740.22,354131363.13,136112647.98,,-33313971.21,88951799.46,55637828.25,102541350.0,102541350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,688511.SH,20210729,20210729,20200630,1,1,2,,,74258553.08,,,,,,,,,,,,,2106423.04,76364976.12,20261992.4,12758638.65,11774234.11,,,,,,3234563.77,48029428.93,28335547.19,2560000.0,38000000.0,139702.69,,,40699702.69,2518684.33,67000000.0,,,,69518684.33,-28818981.64,35000000.0,,247500.0,35247500.0,3310196.2118,30000000.0,872638.88,,,30872638.88,4374861.12,,3891426.67,20253892.17,24145318.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,605507.SH,20210730,20210730,20200630,1,1,2,,,1218732315.0,76839840.14,,,,,,,,,,,,32410334.81,1327982489.95,400883154.21,178781631.6,104813432.53,,,,,,109208696.98,793686915.32,534295574.63,,410822448.0,,,,410822448.0,242216274.21,390000000.0,,1399848.31,,633616122.52,-222793674.52,360900000.0,,2500000.0,363400000.0,149067795.5473,309178597.6,197432593.9,12923249.95,57952991.89,564564183.39,-201164183.39,6790138.69,117127855.41,783097043.01,900224898.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,300844.SZ,20210730,20210730,20200630,1,1,2,46600247.3,806396.52,182679876.05,,,,,,,,,,,,,3400688.35,186080564.4,18386029.43,138071371.61,21516570.28,,,,,,8686006.86,186659978.18,-579413.78,,32242915.01,,18496.7,,32261411.71,1250291.37,32000000.0,,,,33250291.37,-988879.66,,,,,44825276.9939,,,,1367924.53,1367924.53,-1367924.53,,-2936217.97,102633675.38,99697457.41,,,,,1719416.01,361136.52,1929439.42,,,,3699.45,,-242915.01,-1543722.78,,,-97708915.04,36624860.05,,-579413.78,,,,-2936217.97,,,10291485.11,,,99697457.41,102633675.38,,,1
9,688766.SH,20210802,20210802,20200630,1,1,2,26695286.4,-84046.8,220867444.67,984348.63,,,,,,,,,,,,2553890.37,224405683.67,236100939.72,19421428.35,11387790.75,,,,,,13999912.91,280910071.73,-56504388.06,,,,,,,12057364.04,,,,,12057364.04,-12057364.04,,,,90000000.0,,3000000.0,102850.0,,30280.0,3133130.0,86866870.0,180846.8,18485964.7,111780152.29,130266116.99,90000000.0,,,513654.98,2531530.18,353097.26,640001.66,,,,,,,-469995.06,,-48063326.16,-65137508.11,21005911.09,,-56504388.06,,,,18485964.7,,,2759645.5,,,130266116.99,111780152.29,,,1
