,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
893,605009.SH,20201027,20201027,20200930,1,1,3,,,2243646098.73,15495295.51,,,,,,,,,,,,138263590.73,2397404984.97,1494344075.75,137545953.97,147418401.95,,,,,,67568578.9,1846877010.57,550527974.4,,117000000.0,129205.47,985743.8,,118114949.27,337818791.25,117000000.0,,6281806.77,,461100598.02,-342985648.75,300175864.76,,,1848840472.58,83547252.3385,417252232.4,8032349.25,,18381168.39,443665750.04,1405174722.54,-334577.63,1612382470.56,97979097.14,1710361567.7,1548664607.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
894,002531.SZ,20201027,20201027,20200930,1,1,3,,,3944371771.56,80934023.74,,,,,,,,,,,,78525217.94,4103831013.24,3717227370.11,377687729.24,307594811.74,,,,,,140211944.32,4542721855.41,-438890842.17,27311491.34,242406276.13,128491891.93,1268500.0,37412156.42,436890315.82,879142017.68,9000000.0,,18622151.18,,906764168.86,-469873853.04,2741732694.2,,369930982.33,3111663676.53,-1428510145.7792,1974599040.44,355686161.81,,241432835.67,2571718037.92,539945638.61,-1810361.42,-370629418.02,890554515.28,519925097.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
895,002128.SZ,20201027,20201027,20200930,1,1,3,,,13474534787.55,,,,,,,,,,,,,490697543.35,13965232330.9,5744970038.49,1021948955.46,2571285868.35,,,,,,564609681.45,9902814543.75,4062417787.15,,19805400.0,,57577711.49,,77383111.49,1791963787.16,,,0.0,,1791963787.16,-1714580675.67,8172000164.09,,0.0,8172000164.09,647180442.7432,8299902626.22,1657496972.3,,387500200.0,10344899798.52,-2172899634.43,-5043.7,174932433.35,1313500728.12,1488433161.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
896,002705.SZ,20201027,20201027,20200930,1,1,3,,,8206336566.76,391268507.29,,,,,,,,,,,,80488518.12,8678093592.17,4876159173.29,1604595323.39,253493214.68,,,,,,523431685.15,7257679396.51,1420414195.66,,1027000000.0,28166412.47,2511776.7,,1057678189.17,536687497.78,931326300.0,,23413770.0,,1491427567.78,-433749378.61,701680500.0,,,701680500.0,874152424.611,695450000.0,331354979.65,,3056000.0,1029860979.65,-328180479.65,-33382089.67,625102247.73,1658210225.42,2283312473.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
897,600051.SH,20201027,20201027,20200930,1,1,3,,,3963969140.48,119213904.15,,,,,,,,,,,,613077212.2,4696260256.83,2866983439.0,100172937.98,425636763.62,,,,,,627516489.04,4020309629.64,675950627.19,,744308.95,965386.4,406297.98,2376338.8,4492332.13,44346224.54,1285368.75,,,,45631593.29,-41139261.16,530009283.66,,100000000.0,630009283.66,439922836.6255,674356325.15,75990570.83,1800000.0,256883819.49,1007230715.47,-377221431.81,33031.18,257622965.4,2014372287.87,2271995253.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
898,002032.SZ,20201027,20201027,20200930,1,1,3,,,8495154843.46,250606798.22,,,,,,,,,,,,82459815.6,8828221457.28,5463536920.44,1155349535.62,656378033.47,,,,,,939416852.28,8214681341.81,613540115.47,3804707488.53,,31821547.04,514967.66,,3837044003.23,228670819.81,,,2845000000.0,,3073670819.81,763373183.42,,,2056500.0,30856500.0,1214337420.9391,,1087305603.23,,279894789.91,1367200393.14,-1336343893.14,-8506887.52,32062518.23,1234132657.16,1266195175.39,28800000.0,28800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
899,002025.SZ,20201027,20201027,20200930,1,1,3,,,1578198914.93,5620685.87,,,,,,,,,,,,49841248.9,1633660849.7,1099904036.0,600727076.63,71736000.48,,,,,,126569098.94,1898936212.05,-265275362.35,,,,65900.0,,65900.0,81712487.21,,,,,81712487.21,-81646587.21,10000000.0,,,10000000.0,-471693046.9131,,71197950.0,6997950.0,,71197950.0,-61197950.0,-1499639.06,-409619538.62,857780189.7,448160651.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
900,002760.SZ,20201027,20201027,20200930,1,1,3,,,492770751.6,2877531.99,,,,,,,,,,,,4946696.27,500594979.86,343960924.43,65073983.96,31627680.2,,,,,,31827739.81,472490328.4,28104651.46,0.0,84000000.0,229925.33,167638.2,,84397563.53,22787127.54,84000000.0,,,,106787127.54,-22389564.01,80000000.0,,,80000000.0,-27662128.1458,106000000.0,4920147.8,,,110920147.8,-30920147.8,53871.54,-25151188.81,142206045.43,117054856.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
901,000550.SZ,20201027,20201027,20200930,1,1,3,,,23182317549.0,,,,,,,,,,,,,276518362.0,23458835911.0,17624001228.0,1637690537.0,1318344666.0,,,,,,2019537024.0,22599573455.0,859262456.0,156835539.0,12457000000.0,61692956.0,9215209.0,,12684743704.0,884027270.0,13657000000.0,,2324966.0,,14543352236.0,-1858608532.0,2300000000.0,,,2300000000.0,-2383744643.208,1000231444.0,75271714.0,,9104045.0,1084607203.0,1215392797.0,0.0,216046721.0,8937936658.0,9153983379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
902,688358.SH,20201027,20201027,20200930,1,1,3,,,231181812.59,17007608.13,,,,,,,,,,,,9270241.35,257459662.07,124805611.2,64270663.71,18758247.24,,,,,,32174631.16,240009153.31,17450508.76,,5653600000.0,19238906.32,58407.09,,5672897313.41,18653072.33,6465600000.0,,,,6484253072.33,-811355758.92,,,,,-831767235.2121,,80000000.0,,11179245.29,91179245.29,-91179245.29,-2807740.52,-887892235.97,1063002319.89,175110083.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
