,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
0,001207.SZ,20210601,20210601,20201231,1,1,4,120218357.0,7098322.34,685427686.92,3042531.02,,,,,,,,,,,,9546105.16,698016323.1,538299665.69,43873361.4,27547161.63,,,,,,33736187.34,643456376.06,54559947.04,,962111100.0,1042908.74,180148.0,,963334156.74,30274534.05,962442139.2,,,,992716673.25,-29382516.51,147401658.13,,4050000.0,154445876.13,238406382.8169,179337557.0,7180724.89,,,186518281.89,-32072405.76,-229898.22,-7124873.45,78199222.76,71074349.31,2994218.0,,,,44580589.21,2310708.54,4894592.55,,,-429588.44,1847709.63,,-1042908.74,29912.24,-66893.24,-9389631.03,-151456018.57,35455954.3,,54559947.04,,,,-7124873.45,,,508841.25,,,71074349.31,78199222.76,,,1
1,605028.SH,20210601,20210601,20201231,1,1,4,121206145.8,3829698.4,323965924.74,10864801.29,,,,,,,,,,,,14170923.98,349001650.01,113501749.17,18483212.38,42464840.39,,,,,,32036726.28,206486528.22,142515121.79,,,,1799465.9,,1799465.9,29930573.68,,,,,29930573.68,-28131107.78,59000000.0,,,59000000.0,90024704.5985,117200000.0,2927702.4,,18011637.31,138139339.71,-79139339.71,,35244674.3,12246254.7,47490929.0,,,,835742.83,39154376.5,873484.92,,,,-1780586.9,,,,1740865.58,,-851205.41,-39204235.4,16710835.47,,142515121.79,,,,35244674.3,,,,,,47490929.0,12246254.7,,,1
2,688621.SH,20210601,20210601,20201231,1,1,4,74162634.44,1040161.85,330621445.65,368512.9,,,,,,,,,,,,5020596.55,336010555.1,133523466.6,100771450.47,17820015.88,,,,,,20900794.52,273015727.47,62994827.63,,74000000.0,416684.83,,,74416684.83,27033494.23,79090000.0,3995006.27,,,110118500.5,-35701815.67,37000000.0,,,37000000.0,28085041.7633,25500000.0,1071367.22,,4905881.76,31477248.98,5522751.02,,32815762.98,76489455.94,109305218.92,,,,,9611320.34,841076.88,4384272.16,,,,78476.7,,-416684.83,-325153.24,,-2548168.48,-35125172.54,8646660.02,,62994827.63,,,,32815762.98,,,2645404.33,,,109305218.92,76489455.94,,,1
3,688425.SH,20210601,20210601,20201231,1,1,4,1567884856.66,51835450.46,7767013072.88,46421951.32,,,,,,,,,,,,404509718.32,8217944742.52,6607562108.38,985080300.18,436673754.82,,,,,,523472759.01,8552788922.39,-334844179.87,,,922755.06,,,922755.06,324480095.52,19700000.0,,,,344180095.52,-343257340.46,2275670217.2,,,2275670217.2,-493964989.7021,1060550251.63,1457026805.24,,8191405.26,2525768462.13,-250098244.93,-2325989.39,-930525754.65,2239991265.51,1309465510.86,,,,,331222742.95,19957367.37,,,,,1035067.84,,-280068280.24,10261029.6,,-1434587947.99,-1246382910.48,703018303.53,,-334844179.87,,,,-930525754.65,,,21060864.63,6670681.8,,1309465510.86,2239991265.51,,,1
4,301012.SZ,20210602,20210602,20201231,1,1,4,48458012.33,5035927.19,202195335.03,332429.28,,,,,,,,,,,,3710652.57,206238416.88,110320025.12,21742428.04,23165159.62,,,,,,9221953.72,164449566.5,41788850.38,,,,139700.0,,139700.0,12785176.69,,,,,12785176.69,-12645476.69,158800000.0,,,158800000.0,51620231.9946,173800000.0,7386511.22,,,181186511.22,-22386511.22,-160543.44,6596319.03,36404074.91,43000393.94,,,,274178.21,6367812.25,549977.04,,,,15985.59,,,,-164201.65,-21892.8,33421466.59,-6226455.55,-45921958.82,,41788850.38,,,,6596319.03,,,,,,43000393.94,36404074.91,,,1
5,688216.SH,20210602,20210602,20201231,1,1,4,80370028.8,3971820.87,401763142.21,440234.54,,,,,,,,,,,,19752400.96,421955777.71,192138909.89,109357776.11,26197641.73,,,,,,36728779.99,364423107.72,57532669.99,,,,1089936.36,,1089936.36,64876546.82,,,,,64876546.82,-63786610.46,85000000.0,,,85000000.0,101397400.7251,83406890.25,8988378.58,,3489706.92,95884975.75,-10884975.75,,-17138916.22,39249066.89,22110150.67,,,,3740339.32,58518502.84,888889.78,2280050.05,,,59345.49,,,,-3701709.11,16909.99,-22030611.91,-186996850.83,120415954.7,,57532669.99,,,,-17138916.22,,,,,,22110150.67,39249066.89,,,1
6,001208.SZ,20210602,20210602,20201231,1,1,4,93628664.26,15766745.76,1535799644.68,,,,,,,,,,,,,9617568.29,1545417212.97,1179500508.48,88809328.57,61515200.37,,,,,,104083486.14,1433908523.56,111508689.41,,,,2784327.0,,2784327.0,26118258.92,,,,,26118258.92,-23333931.92,398000000.0,,,398000000.0,46702099.1675,435500000.0,15079935.55,,5468183.5,456048119.05,-58048119.05,,30126638.44,347411206.57,377537845.01,,,,18076776.01,16695940.81,1838545.43,,,,-302214.13,-2252140.91,110200.0,-1503073.01,-3852510.57,-16530.0,53828425.66,-156565081.2,76054941.3,,111508689.41,,,,30126638.44,,,,,,377537845.01,347411206.57,,,1
7,688690.SH,20210603,20210603,20201231,1,1,4,72901590.14,1266392.23,184624887.97,80332.84,,,,,,,,,,,,32393437.77,217098658.58,36031883.65,60423170.96,25513731.24,,,,,,22921448.38,144890234.23,72208424.35,,,289595.02,11564.47,,301159.49,44532001.05,8613589.04,,60256300.08,,113401890.17,-113100730.68,5000000.0,,,6380000.0,-4626656.9002,52000000.0,220620.83,,2684242.24,54904863.07,-48524863.07,-1346994.61,-90764164.01,278860464.8,188096300.79,1380000.0,,,3156956.83,12209840.4,344481.12,398690.32,,,,44152.76,,-1113484.08,-489078.56,,-16977209.25,-28978462.27,18884279.47,,72208424.35,,,,-90764164.01,,,753367.55,,,188096300.79,278860464.8,,,1
8,688276.SH,20210604,20210604,20201231,1,1,4,418234848.74,4049741.71,1136508427.24,,,,,,,,,,,,,34403636.49,1170912063.73,145606926.23,132284005.06,121746671.54,,,,,,562109894.16,961747496.99,209164566.74,,320000000.0,2157142.69,,,322157142.69,335748594.09,320000000.0,,,,655748594.09,-333591451.4,69897460.73,,,419897446.13,-58390820.8351,234897460.73,4049741.71,,6559422.32,245506624.76,174390821.37,-100406.95,49863529.76,253206379.93,303069909.69,349999985.4,,,,40931892.37,17928029.07,662334.61,,,,48930.63,,-6416623.01,-11916918.96,,-59720557.52,-418577421.89,224567012.56,,209164566.74,,,,49863529.76,,,-626701.57,,,303069909.69,253206379.93,,,1
9,300984.SZ,20210604,20210604,20201231,1,1,4,57760450.77,2839546.89,569211753.95,31102528.74,,,,,,,,,,,,11579031.48,611893314.17,422542470.11,69655228.96,27474056.62,,,,,,21778924.02,541450679.71,70442634.46,,4000000.0,53724.13,36210010.6,,40263734.73,76101371.91,1700000.0,,,,77801371.91,-37537637.18,95692848.25,,3249423.4,98942271.65,54416601.7336,103719200.0,21615177.9,,3756864.54,129091242.44,-30148970.79,-873736.64,1882289.85,13466016.5,15348306.35,,,,245444.77,12351144.52,1000357.65,57076.18,,,174925.84,71766.71,-23224.52,-23076.6,-174770.04,,7167725.41,-21231737.29,10227004.17,,70442634.46,,,,1882289.85,,,,,,15348306.35,13466016.5,,,1
