,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
0,001207.SZ,20210601,20210601,20200331,1,1,1,,,145297421.39,608546.48,,,,,,,,,,,,794748.12,146700715.99,138462424.06,10308181.66,2518516.03,,,,,,6865214.38,158154336.13,-11453620.14,,253639000.0,180314.09,3798.0,,253823112.09,13699950.92,281837879.2,,,,295537830.12,-41714718.03,6347858.0,,3650000.0,9997858.0,,3291385.0,1863283.25,,,5154668.25,4843189.75,40998.95,-48284149.47,78199222.76,29915073.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,605028.SH,20210601,20210601,20200331,1,1,1,,,56445890.96,,,,,,,,,,,,,518273.94,56964164.9,27619229.75,5973789.96,11397356.07,,,,,,6790081.77,51780457.55,5183707.35,,,,,,,8259893.55,,,,,8259893.55,-8259893.55,29300000.0,,,29300000.0,,19400000.0,898237.61,,2057016.0,22355253.61,6944746.39,,3868560.19,12246254.7,16114814.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,688621.SH,20210601,20210601,20200331,1,1,1,16561633.63,253440.92,64530018.13,,,,,,,,,,,,,1610323.59,66140341.72,15639392.08,25708731.76,2229517.38,,,,,,4607113.69,48184754.91,17955586.81,,,,,,,4826215.16,,3995006.27,,,8821221.43,-8821221.43,27000000.0,,,27000000.0,-2712453.26,12000000.0,192620.42,,1503659.0,13696279.42,13303720.58,,22438085.96,76489455.94,98927541.9,,,,,2131112.28,191956.33,1046486.75,,,,63728.87,,,-718825.38,,348835.25,-8720862.91,6483677.96,,17955586.81,,,,22438085.96,,,314403.11,,,98927541.9,76489455.94,,,1
3,688425.SH,20210601,20210601,20200331,1,1,1,150177790.67,8272690.87,1422712438.43,,,,,,,,,,,,,40882225.67,1463594664.1,1392421290.15,208597135.24,93838531.73,,,,,,116229872.38,1811086829.5,-347492165.4,,,,,,,25493005.6,,,,,25493005.6,-25493005.6,247944243.41,,,247944243.41,,301800000.0,5860799.31,,98882.79,307759682.1,-59815438.69,2996403.43,-429804206.26,2239991265.51,1810187059.25,,,,,64996163.26,4969627.51,,,,,,,-33900508.44,3043893.3,,-610058559.37,265651210.76,-173763095.03,,-347492165.4,,,,-429804206.26,,,-2144077.16,1098003.23,,1810187059.25,2239991265.51,,,1
4,001208.SZ,20210602,20210602,20200331,1,1,1,,,152904235.96,,,,,,,,,,,,,12925147.66,165829383.62,303978681.07,22692828.51,8606890.04,,,,,,21459837.98,356738237.6,-190908853.98,,,,,,,4924902.88,,,,,4924902.88,-4924902.88,183000000.0,,,183000000.0,,130001378.26,3561503.42,,215445.0,133778326.68,49221673.32,,-146612083.54,347411206.57,200799123.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,301012.SZ,20210602,20210602,20200331,1,1,1,,,58840635.3,,,,,,,,,,,,,2394704.9,61235340.2,50474142.49,6238256.37,3370260.64,,,,,,581769.81,60664429.31,570910.89,,,,,,,1953258.38,,,,,1953258.38,-1953258.38,,,,,,10000000.0,3751052.9,,,13751052.9,-13751052.9,-9164.22,-15142564.61,36404074.91,21261510.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,688216.SH,20210602,20210602,20200331,1,1,1,1415001.11,914319.02,74259466.5,,,,,,,,,,,,,5408303.2,79667769.7,37770676.32,20221376.89,4858024.2,,,,,,6107167.93,68957245.34,10710524.36,,,,1077999.9,,1077999.9,4343047.85,,,,,4343047.85,-3265047.95,20000000.0,,,20000000.0,,37906890.25,957725.81,,250000.0,39114616.06,-19114616.06,,-11669139.65,39249066.89,27579927.24,,,,435531.25,13746069.64,222113.67,474996.06,,,,,,,-603678.04,,-11461600.39,2374777.34,51638.65,,10710524.36,,,,-11669139.65,,,,,,27579927.24,39249066.89,,,1
7,688690.SH,20210603,20210603,20200331,1,1,1,3275877.49,-219114.93,30772170.88,,,,,,,,,,,,,15146386.25,45918557.13,7794582.72,18539994.33,3967440.29,,,,,,4229627.99,34531645.33,11386911.8,,,,149.57,,149.57,15766278.71,8613589.04,,,,24379867.75,-24379718.18,3000000.0,,,3600000.0,-31781562.07,52000000.0,220620.83,,546000.0,52766620.83,-49166620.83,202975.62,-61956451.59,278860464.8,216904013.21,600000.0,,,265656.91,2982420.63,85802.25,79911.78,,,,2948.74,,13247.84,-90701.81,,-3553949.04,-3881954.7,9974830.38,,11386911.8,,,,-61956451.59,,,-28914.91,,,216904013.21,278860464.8,,,1
8,300984.SZ,20210604,20210604,20200331,1,1,1,,,147135645.18,8457984.56,,,,,,,,,,,,2445832.61,158039462.35,102003050.02,18844133.18,8154968.15,,,,,,5436094.27,134438245.62,23601216.73,,1300000.0,17264.3,20601437.17,,21918701.47,10899350.22,1700000.0,,,,12599350.22,9319351.25,32500000.0,,,32500000.0,,38600000.0,17910536.52,,5249074.09,61759610.61,-29259610.61,348151.88,4009109.25,13466016.5,17475125.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,688276.SH,20210604,20210604,20200331,1,1,1,49871729.36,2097517.68,118995805.88,,,,,,,,,,,,,1158708.17,120154514.05,28397733.66,45968811.03,19926692.37,,,,,,87887097.84,182180334.9,-62025820.85,,,,,,,80749776.46,,,,,80749776.46,-80749776.46,65197460.73,,,65197460.73,,,2097517.68,,,2097517.68,63099943.05,76710.42,-79598943.84,253206379.93,173607436.09,,,,,10155058.61,1456713.06,110772.84,,,,,,,429712.01,,-17504475.8,-28372317.45,-77888276.78,,-62025820.85,,,,-79598943.84,,,-2382254.38,,,173607436.09,253206379.93,,,1
10,301004.SZ,20210607,20210607,20200331,1,1,1,,,92517912.54,4679983.38,,,,,,,,,,,,2001481.81,99199377.73,42499674.56,27155651.14,2042508.45,,,,,,5851613.21,77549447.36,21649930.37,612616.98,79500000.0,206087.29,9141.97,,80327846.24,3841503.92,89500000.0,,437347.83,,93778851.75,-13451005.51,,,,,-10742133.23,,,,,,,1289429.14,9488354.0,123833572.96,133321926.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,001209.SZ,20210607,20210607,20200331,1,1,1,,,226567976.17,,,,,,,,,,,,,1833100.56,228401076.73,122508558.91,36007202.36,26236241.17,,,,,,26809518.34,211561520.78,16839555.95,30000000.0,,116424.26,,,30116424.26,10044736.36,,,75000000.0,,85044736.36,-54928312.1,,,,,,,,,,,,,-38088756.15,124677873.53,86589117.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,688601.SH,20210607,20210607,20200331,1,1,1,18301994.76,-779403.59,105724883.46,9764017.14,,,,,,,,,,,,3999842.52,119488743.12,102184191.46,14115354.41,597669.61,,,,,,8814397.94,125711613.42,-6222870.3,543471.95,100300000.0,1600178.77,14686.96,,102458337.68,1127689.63,80000000.0,,,,81127689.63,21330648.05,,,,,-564155.97,,20014089.17,,,20014089.17,-20014089.17,729520.81,-4176790.61,47232339.73,43055549.12,,,,1370607.08,896614.26,160631.15,,,,-4628.99,,1257052.05,-1600178.77,-57043.09,-121217.36,-21807039.39,-3030928.52,-1228993.29,,-6222870.3,,,,-4176790.61,,,419663.4,,,43055549.12,47232339.73,,,1
13,301013.SZ,20210607,20210607,20200331,1,1,1,21265468.39,-55.43,252289263.61,3836085.87,,,,,,,,,,,,10645110.08,266770459.56,164745121.01,21253585.23,13091281.57,,,,,,5424949.22,204514937.03,62255522.53,,60000000.0,432013.7,,,60432013.7,22352842.66,120000000.0,,,,142352842.66,-81920828.96,20000000.0,,,21500000.0,-67696043.97,,74316.67,,,74316.67,21425683.33,451.06,1760827.96,140737863.35,142498691.31,1500000.0,1500000.0,,430763.59,1007522.6,52877.34,494013.84,,,,,,-432013.7,529629.05,-54163.45,-39513262.8,98560668.25,-15540110.23,,62255522.53,,,,1760827.96,,,-4545814.92,,,142498691.31,140737863.35,,,1
14,603171.SH,20210608,20210608,20200331,1,1,1,,,204106833.07,95368.04,,,,,,,,,,,,27699126.21,231901327.32,46741072.28,306969707.96,11821146.91,,,,,,31515061.1,397046988.25,-165145660.93,457190000.0,,339061.42,8081.6,,457537143.02,2944523.24,2700000.0,,428140000.0,,433784523.24,23752619.78,14978395.58,,,14978395.58,,14978395.58,9023.69,,,14987419.27,-9023.69,,-141402064.84,1621956497.94,1480554433.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,605011.SH,20210608,20210608,20200331,1,1,1,,,435775596.54,3123174.24,,,,,,,,,,,,4105395.77,443004166.55,372732365.97,43461211.98,23877340.08,,,,,,6214205.24,446285123.27,-3280956.72,107598858.69,,,,,107598858.69,19011020.58,,,51000000.0,,70011020.58,37587838.11,294000000.0,,,294000000.0,,315140000.0,15970652.81,,,331110652.81,-37110652.81,,-2803771.42,355660287.38,352856515.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16,688367.SH,20210608,20210608,20200331,1,1,1,,,18697512.57,,,,,,,,,,,,,8218980.45,26916493.02,21942593.31,6872178.16,2118052.01,,,,,,7066131.2,37998954.68,-11082461.66,,8000000.0,84043.96,765000.0,,8849043.96,708693.33,16998181.23,,,,17706874.56,-8857830.6,,,,,,,,,,,,6145.11,-19934147.15,29409540.64,9475393.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
