,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
0,600812.SH,20200423,737347,86275.54,474530,55449.77,662638,77876.58,520984,61011.19,530399,62154.22,603330,70891.34,444279,52534.64,775819,91488.68,-269081,-30993.98
1,002013.SZ,20200423,115039,9401.95,130159,10641.93,184525,15078.49,190989,15610.48,181151,14804.16,176616,14440.07,48351,3973.41,31301,2565.54,104513,8613.18
2,600789.SH,20200423,176891,18213.0,193278,19923.95,211528,21796.64,205011,21115.85,146642,15110.55,132936,13687.89,29259,3014.49,33094,3406.99,5763,653.87
3,601636.SH,20200423,77019,3904.5,80447,4084.04,89728,4546.69,75139,3813.82,59430,3022.46,62086,3147.9,8223,419.64,16729,847.54,-52359,-2643.03
4,000807.SZ,20200423,92437,3651.7,103329,4083.27,91410,3611.48,102386,4046.85,71705,2833.94,64727,2556.99,40904,1617.39,26015,1027.41,-26328,-1030.15
5,002144.SZ,20200423,4289,390.68,3613,329.27,5624,512.22,4141,377.0,406,37.03,2565,233.66,0,0.0,0,0.0,-2089,-189.47
6,000938.SZ,20200423,30286,11567.09,27634,10570.67,40488,15481.24,44105,16865.3,34382,13145.87,33124,12656.27,9257,3542.52,9550,3644.48,-7417,-2800.51
7,002275.SZ,20200423,4228,568.83,3507,472.02,4437,596.76,4823,648.46,435,58.44,769,103.56,0,0.0,0,0.0,-687,-91.55
8,601898.SH,20200423,37544,1449.74,43486,1678.32,38933,1503.93,30661,1184.44,20656,797.54,22914,885.68,2650,102.29,2722,105.07,-28154,-1084.88
9,002685.SZ,20200423,52595,2582.16,31892,1566.54,55185,2709.54,39955,1963.41,17638,865.99,42064,2064.5,1794,87.44,13301,650.69,-33834,-1652.45
10,300349.SZ,20200423,8573,1260.3,4713,693.01,6953,1022.43,8810,1295.49,3217,473.04,5220,767.26,0,0.0,0,0.0,-1357,-198.7
11,300503.SZ,20200423,7514,941.34,7665,962.18,8525,1070.71,9072,1138.69,3311,417.02,3029,379.96,9416,1173.64,9000,1121.89,6855,857.84
12,600346.SH,20200423,143983,20132.07,74372,10400.51,121682,17007.51,186284,26048.06,130728,18280.73,158609,22175.13,49488,6926.25,26616,3722.86,118,55.07
13,300311.SZ,20200423,199704,16191.21,138155,11223.62,215672,17516.01,221271,17964.46,143025,11612.23,160296,13006.5,29015,2357.81,67693,5482.68,-120496,-9728.71
14,601001.SH,20200423,22231,786.69,22640,800.81,19458,688.56,17784,629.66,7398,261.65,8663,306.42,0,0.0,0,0.0,-9128,-321.44
15,603656.SH,20200423,3250,428.7,3233,426.81,3173,417.73,3016,397.85,754,99.54,928,121.3,0,0.0,0,0.0,442,59.94
16,603810.SH,20200423,1905,563.24,1898,561.48,2321,686.14,2118,626.16,300,88.48,510,150.23,0,0.0,0,0.0,-376,-109.77
17,002827.SZ,20200423,4989,429.63,3746,322.83,4342,373.38,4214,362.75,1836,157.41,2224,190.67,0,0.0,982,84.18,-4516,-388.15
18,300288.SZ,20200423,12994,1515.8,9502,1110.12,10576,1234.42,11874,1386.17,4097,478.41,4600,535.61,1000,116.1,2691,312.83,-6998,-813.83
19,300442.SZ,20200423,1969,307.36,1814,283.29,1511,236.21,1742,272.17,290,45.36,214,33.46,0,0.0,0,0.0,-1370,-213.67
20,600285.SH,20200423,28859,2488.51,23734,2049.22,30167,2604.88,27948,2412.55,13242,1142.26,20586,1773.88,0,0.0,0,0.0,-6711,-571.29
21,603787.SH,20200423,8642,995.09,8107,933.34,4819,554.52,6850,788.32,2475,284.39,979,112.35,0,0.0,0,0.0,-786,-89.86
22,002958.SZ,20200423,51141,2173.92,30033,1277.21,43305,1840.97,52406,2228.79,30675,1304.34,53245,2265.37,35380,1506.94,24817,1054.8,-53898,-2286.36
23,300573.SZ,20200423,2502,2376.75,3064,2916.4,3945,3753.82,3207,3053.0,2021,1926.85,2094,1992.8,217,208.2,319,303.42,1104,1060.89
24,600570.SH,20200423,14148,13531.06,9522,9117.31,20650,19763.65,18134,17365.07,19462,18630.03,21151,20243.65,4341,4165.49,9794,9364.21,-7327,-6972.81
25,600619.SH,20200423,5492,449.44,6701,549.06,4461,365.45,5008,410.36,2109,173.22,353,28.7,0,0.0,0,0.0,-547,-44.21
26,002920.SZ,20200423,17931,6507.19,16113,5855.03,14823,5384.04,12923,4692.29,3156,1145.27,5486,1986.8,0,0.0,1387,502.38,5091,1860.37
27,300381.SZ,20200423,41916,5152.59,45011,5542.81,59985,7380.11,60572,7464.14,33011,4065.47,41939,5169.34,18666,2324.66,6056,746.55,12511,1566.32
28,603880.SH,20200423,39389,5844.5,41438,6143.22,32008,4758.11,26693,3985.72,13082,1956.62,17551,2612.6,2000,302.6,797,120.29,-5108,-697.94
29,603929.SH,20200423,8178,1135.41,6084,845.13,3949,548.37,6583,913.24,1581,218.97,1041,144.37,0,0.0,0,0.0,-1189,-163.65
30,000088.SZ,20200423,12681,568.15,10298,461.82,18561,832.11,11822,529.81,4550,203.45,13671,612.09,0,0.0,0,0.0,20,2.69
