,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
0,002825.SZ,20201120,7437,1319.91,6250,1109.58,3717,659.43,3974,705.3,604,107.09,944,167.42,0,0.0,590,104.14,-473,-82.21
1,300286.SZ,20201120,54289,11324.18,57904,12130.27,63230,13233.79,64383,13467.15,35998,7567.13,29284,6125.8,2094,436.77,4038,838.65,-25023,-5160.56
2,300440.SZ,20201120,19896,1943.83,15257,1491.02,14598,1424.84,17156,1675.74,4625,451.32,6706,653.23,0,0.0,0,0.0,-9085,-884.48
3,600283.SH,20201120,7926,858.7,5283,573.0,7038,762.91,9094,985.71,2143,232.46,2730,295.36,0,0.0,0,0.0,-4483,-485.15
4,000301.SZ,20201120,95239,8994.92,81311,7676.97,68684,6485.33,73544,6952.37,43677,4129.32,44859,4238.7,5805,548.13,13692,1289.66,-7949,-728.41
5,002956.SZ,20201120,6377,2240.16,6017,2114.43,3461,1215.59,3624,1272.66,849,298.36,1046,367.02,0,0.0,0,0.0,-3413,-1189.37
6,300571.SZ,20201120,2769,1171.08,2473,1047.36,4053,1713.94,3481,1472.82,3070,1297.98,3264,1378.49,0,0.0,674,284.32,-1546,-652.76
7,600617.SH,20201120,6500,288.67,8562,380.25,6434,286.31,6749,300.4,14796,659.49,12418,553.82,0,0.0,0,0.0,5228,235.72
8,300905.SZ,20201120,8041,6840.76,4144,3529.82,9331,7942.22,10050,8558.57,3154,2682.06,6131,5206.13,504,427.63,705,598.15,-1872,-1590.12
9,600748.SH,20201120,26008,1372.21,24208,1278.06,27806,1466.91,27345,1444.16,14087,744.22,18251,961.86,1903,100.74,0,0.0,-7266,-378.69
10,000563.SZ,20201120,53469,1965.1,40440,1487.23,41043,1509.14,39248,1442.56,21575,793.03,32473,1193.08,8868,326.03,12794,470.42,-23811,-869.91
11,600754.SH,20201120,23856,12507.42,24790,13015.39,19183,10054.9,22281,11682.85,9870,5214.45,7884,4158.95,2446,1293.93,400,213.5,7691,4028.31
12,601601.SH,20201120,54275,18255.6,53976,18189.16,71266,24004.66,75415,25420.12,91393,30814.07,81061,27306.81,68154,22976.93,74636,25135.16,-34266,-11458.72
13,300765.SZ,20201120,6261,1370.53,4717,1033.27,6836,1496.74,7706,1687.57,3206,702.0,3151,689.47,0,0.0,728,158.97,-5083,-1111.33
14,000626.SZ,20201120,42195,4006.67,36610,3493.39,38384,3643.02,39996,3812.63,21267,2033.87,26323,2487.2,2173,210.9,1090,101.23,-2597,-249.73
15,300896.SZ,20201120,0,0.0,1,6.44,6018,34598.06,6180,35553.76,3857,22213.09,3772,21671.37,1862,10715.26,1784,10294.84,615,3573.19
16,600893.SH,20201120,94975,39819.97,81833,34361.13,150583,63258.45,154423,64883.96,190524,80094.17,195771,82351.36,123068,51878.05,127124,53454.19,-20628,-8504.27
17,603126.SH,20201120,109505,6331.04,116565,6739.2,128754,7431.6,144012,8329.98,69034,3996.74,60645,3505.21,29750,1722.24,15821,907.22,24186,1413.97
18,000757.SZ,20201120,32076,1432.89,38394,1720.26,41452,1856.82,48373,2162.93,14444,645.42,12339,552.34,11134,500.41,0,0.0,27191,1220.88
19,000911.SZ,20201120,24103,1896.67,16627,1311.75,15927,1254.38,26469,2084.67,9746,769.8,6615,519.26,1435,114.23,1500,119.4,-8244,-640.73
20,002094.SZ,20201120,21885,862.43,15408,607.61,18160,715.52,18991,748.98,11487,453.13,12056,474.96,0,0.0,5076,199.52,-8610,-337.72
21,000888.SZ,20201120,9730,580.19,11456,683.94,9573,571.95,10399,620.35,3268,195.19,1597,95.56,881,52.51,0,0.0,-2274,-133.57
22,002428.SZ,20201120,81890,12515.69,126317,19304.54,126852,19381.64,155401,23727.97,139264,21264.37,116752,17847.0,71459,10934.2,20995,3216.39,123743,18968.32
23,300043.SZ,20201120,43862,1717.84,42344,1659.29,44851,1757.37,46405,1819.01,23695,929.86,26859,1051.88,6000,234.9,2800,109.8,-12534,-485.18
24,603388.SH,20201120,5927,426.95,6532,470.81,7722,556.44,7825,564.37,6562,473.67,3976,286.29,0,0.0,1878,135.61,2057,149.31
25,688338.SH,20201120,1241,850.9,926,634.86,1641,1124.94,1858,1273.54,723,494.92,822,562.36,0,0.0,0,0.0,-1133,-775.91
26,002559.SZ,20201120,24830,1512.01,29722,1816.6,36012,2195.84,35744,2178.55,22444,1374.72,20324,1239.71,2502,152.29,0,0.0,15864,978.05
27,002713.SZ,20201120,20436,1615.61,17631,1394.04,10425,821.77,11486,907.16,1717,135.86,3461,272.04,0,0.0,0,0.0,1350,110.35
28,300174.SZ,20201120,22716,4530.59,12894,2575.93,21107,4207.61,20766,4142.27,14527,2910.09,13910,2772.95,4179,844.92,14960,3002.08,14718,2968.06
29,600171.SH,20201120,29056,4474.75,20411,3145.68,24688,3803.77,25912,3991.79,12934,1992.3,17892,2755.01,0,0.0,2463,378.34,-20111,-3092.97
30,000035.SZ,20201120,12922,590.92,9360,428.16,16835,770.16,15864,725.55,21148,966.99,22734,1039.69,0,0.0,2947,134.68,-12871,-586.99
31,300508.SZ,20201120,5599,1601.59,4279,1225.66,3829,1095.1,4318,1235.53,1170,333.74,1544,439.43,0,0.0,457,129.81,1061,305.03
32,600505.SH,20201120,7009,494.67,6833,482.72,4948,349.86,6576,464.56,2504,177.09,1052,74.35,0,0.0,0,0.0,318,23.74
33,000166.SZ,20201120,95859,5067.72,86198,4559.35,124918,6605.97,116690,6170.88,135531,7165.68,146219,7732.29,96322,5100.83,103523,5477.68,43857,2335.91
34,002975.SZ,20201120,7885,9688.83,7855,9667.85,9640,11852.55,9224,11339.66,6394,7860.21,6795,8352.13,1996,2460.84,2041,2502.79,2215,2757.05
35,300645.SZ,20201120,8980,1456.21,5630,913.73,9176,1487.72,10862,1760.26,1605,260.46,3269,530.4,0,0.0,0,0.0,-2882,-466.47
36,600488.SH,20201120,30190,1545.67,25932,1334.52,43346,2222.81,34786,1787.94,23308,1199.37,30176,1544.14,2012,103.38,7963,404.62,-10054,-504.46
37,600642.SH,20201120,18943,1041.7,25938,1425.62,19394,1065.46,15422,847.92,12038,662.07,11371,625.74,2356,130.05,0,0.0,-5567,-303.1
38,000506.SZ,20201120,121715,3453.22,186640,5302.76,153507,4353.75,197646,5631.17,131319,3742.8,147951,4243.31,150690,4348.4,24994,720.93,-52254,-1631.88
39,600597.SH,20201120,36184,5625.46,52302,8137.14,44298,6889.87,52685,8199.2,44169,6879.51,25332,3944.5,8013,1250.58,2345,364.58,-5234,-808.06
40,600751.SH,20201120,81973,2819.25,68801,2368.15,79112,2720.94,83757,2881.25,61956,2130.97,63195,2172.75,11411,392.0,18699,641.0,-44002,-1502.19
41,000615.SZ,20201120,147764,7167.04,146075,7103.43,201840,9788.59,210454,10218.94,175659,8527.19,160285,7771.59,31430,1535.75,39879,1924.62,-92907,-4456.53
42,300885.SZ,20201120,8733,3971.77,5657,2575.09,9153,4161.96,8776,3989.24,3059,1388.92,5492,2495.39,0,0.0,1020,462.93,-5449,-2479.36
43,600882.SH,20201120,30770,12246.38,31677,12618.0,41374,16472.15,34585,13778.31,17190,6848.77,27336,10880.69,12005,4790.4,7741,3080.7,20113,8047.59
44,603115.SH,20201120,6269,1047.43,7926,1328.04,9799,1639.95,7997,1338.14,3455,580.83,3581,598.84,916,152.87,935,156.05,993,171.34
45,000900.SZ,20201120,28901,1134.45,23548,925.01,26502,1040.77,22088,867.76,6237,245.88,13005,511.03,0,0.0,3000,117.3,6167,245.05
46,002083.SZ,20201120,123036,6170.34,76314,3830.24,118493,5940.52,134769,6760.39,50106,2513.34,83346,4175.28,17052,853.98,14258,712.27,-66587,-3330.99
47,601860.SH,20201120,55094,2219.06,42285,1702.92,64281,2588.46,52652,2120.45,44156,1777.7,42100,1696.19,0,0.0,26494,1065.66,-61491,-2471.47
48,000877.SZ,20201120,122620,21688.98,88482,15693.95,145773,25815.57,141540,25074.92,113227,20058.67,127379,22528.76,18523,3277.25,42741,7542.83,-2266,-367.15
49,002077.SZ,20201120,19265,1287.97,7899,528.87,22385,1496.93,22356,1494.38,10272,687.44,19905,1331.18,170,11.34,1932,129.26,-22920,-1533.9
50,002231.SZ,20201120,7913,467.25,8628,510.08,6289,371.56,8921,527.15,3882,229.71,2535,150.13,2000,118.84,0,0.0,2954,176.27
51,300776.SZ,20201120,5832,7457.57,8426,10894.33,11688,15111.22,12174,15950.08,9652,12660.32,9024,11968.97,10389,14215.78,7937,10631.5,1049,907.74
52,600773.SH,20201120,20834,1293.71,19167,1193.63,26368,1637.1,25347,1576.67,14037,876.44,14968,928.8,0,0.0,1757,108.15,6559,412.4
53,603006.SH,20201120,7425,761.64,7737,795.13,6412,659.23,7774,798.42,2988,307.68,1314,135.01,0,0.0,0,0.0,1981,203.66
54,000637.SZ,20201120,23533,1046.14,21403,953.92,34657,1543.61,32969,1469.19,30821,1377.57,40224,1796.02,10385,462.78,4800,210.97,39694,1780.52
55,000768.SZ,20201120,194837,57885.68,169879,50638.54,302632,89929.41,270345,80497.8,362533,107831.38,345936,102888.24,242105,72168.76,315948,93790.64,121014,36436.93
56,000922.SZ,20201120,25451,2033.48,18353,1469.21,24708,1976.76,31837,2547.57,16127,1291.9,10731,856.71,1677,135.0,7043,563.65,-5743,-450.35
57,002308.SZ,20201120,26511,1645.88,29678,1843.37,28568,1774.74,30671,1904.77,29444,1828.42,23591,1464.61,2517,155.9,3100,192.2,7201,451.41
58,601882.SH,20201120,11356,1359.95,11094,1330.75,8065,966.12,6589,790.66,2379,285.53,4117,490.18,0,0.0,0,0.0,-4792,-571.36
59,603268.SH,20201120,8159,1466.1,7681,1380.25,6814,1223.39,7968,1433.31,3369,604.89,2692,480.83,0,0.0,0,0.0,-2298,-403.28
60,688218.SH,20201120,1148,277.33,1136,274.79,1363,329.01,1395,336.91,1018,246.7,999,241.35,0,0.0,0,0.0,1072,259.58
61,000899.SZ,20201120,47542,2413.96,44396,2254.53,64775,3285.42,65206,3306.37,23014,1166.29,24825,1259.11,3753,190.27,4656,235.93,33094,1684.0
62,002390.SZ,20201120,30038,1856.36,38218,2364.82,24577,1522.16,21970,1360.54,14095,874.29,13779,854.47,5257,327.02,0,0.0,16228,1006.57
63,002439.SZ,20201120,13880,4373.5,10304,3248.31,15232,4798.86,12671,3992.15,7042,2220.38,9582,3018.57,0,0.0,3597,1133.7,-1105,-344.72
64,002362.SZ,20201120,19933,5131.39,14685,3782.62,13418,3455.73,14780,3803.61,4435,1140.11,8771,2255.11,3505,900.94,3055,786.83,-5465,-1400.9
65,300026.SZ,20201120,82494,4295.78,63983,3333.43,88283,4596.97,88758,4623.13,75550,3936.8,75401,3930.09,11128,580.37,29313,1523.26,-55064,-2849.51
66,600023.SH,20201120,78704,2975.87,58849,2223.48,48768,1841.25,40833,1544.18,20359,769.02,28149,1065.98,0,0.0,20000,752.5,-710,-17.92
67,601985.SH,20201120,83668,3911.5,66266,3098.48,84548,3951.02,64411,3014.27,84612,3956.06,71941,3366.63,37316,1749.96,87526,4089.15,-53974,-2507.0
68,002493.SZ,20201120,112815,26752.5,60383,14347.22,172900,41006.46,102295,24254.64,214439,50989.91,254317,60364.22,175862,41574.41,259021,61357.19,112459,26879.96
69,300157.SZ,20201120,91015,4490.72,73587,3632.95,93114,4595.24,89213,4406.79,39887,1968.59,49457,2439.44,0,0.0,11759,575.37,-44582,-2189.76
70,300311.SZ,20201120,78633,5857.84,47200,3522.85,78982,5883.32,78888,5888.06,57061,4250.0,55016,4095.97,19965,1482.51,53536,3966.79,-22193,-1649.94
71,601001.SH,20201120,72268,3825.77,120754,6403.87,113016,5990.61,123793,6566.48,113077,6001.13,75611,4012.36,24796,1320.89,3000,155.7,-4798,-200.05
72,603656.SH,20201120,2579,371.7,2094,302.09,2368,341.28,2321,334.55,150,21.57,681,97.9,0,0.0,0,0.0,55,8.19
73,603810.SH,20201120,3514,958.22,3293,899.03,3494,955.13,3287,897.6,822,224.7,1250,341.41,0,0.0,0,0.0,-197,-52.22
74,002827.SZ,20201120,22577,2936.06,15596,2030.54,15061,1959.38,16640,2166.0,5049,657.35,8325,1079.7,6,0.79,2132,277.34,-6381,-828.06
75,300288.SZ,20201120,16371,2157.37,15229,2008.12,12221,1611.07,15120,1992.88,5741,758.16,4398,580.23,1689,222.93,1275,168.3,-10942,-1440.27
76,300442.SZ,20201120,24976,10056.84,20870,8424.0,32380,13028.69,31419,12652.97,22066,8900.45,27322,10987.59,5689,2288.61,5500,2210.03,-16145,-6425.21
77,002061.SZ,20201120,34588,1958.15,24015,1361.24,39138,2217.38,41293,2340.48,20376,1155.07,27786,1571.93,2992,169.05,4000,226.0,-17143,-966.3
78,002192.SZ,20201120,6923,1760.48,13327,3402.38,16410,4182.58,18780,4802.82,20135,5155.01,18196,4669.04,15002,3873.23,8167,2097.06,5762,1462.29
79,300010.SZ,20201120,55606,7434.5,65620,8785.56,91870,12295.25,68378,9163.2,48936,6568.25,63886,8558.31,23865,3209.1,22393,3000.03,-9916,-1320.07
80,603355.SH,20201120,10134,3609.6,10387,3697.82,4941,1757.75,4118,1467.06,1798,639.72,2039,725.69,0,0.0,330,116.51,-290,-93.77
81,002526.SZ,20201120,60332,1572.87,69633,1819.37,71869,1876.46,85798,2238.45,70520,1839.68,53656,1397.59,38017,994.15,31651,827.76,-4467,-104.61
