,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
0,603897.SH,20200902,5704,1161.31,5781,1178.09,6566,1339.08,5968,1216.34,1454,296.22,1975,402.18,0,0.0,0,0.0,-1652,-334.52
1,000413.SZ,20200902,300094,9292.6,289866,8996.61,304154,9430.65,328115,10166.15,251080,7781.65,213366,6611.66,80877,2510.76,104858,3241.24,-54172,-1621.69
2,300683.SZ,20200902,2939,1626.12,2649,1467.28,3586,1984.2,3498,1936.0,2049,1134.52,2258,1249.45,200,111.26,369,203.37,-1043,-574.01
3,600729.SH,20200902,16707,5734.59,19600,6730.74,16659,5722.86,14523,4994.65,8829,3041.21,9164,3151.69,1874,645.91,781,267.49,-1529,-508.94
4,000544.SZ,20200902,35377,2697.05,32384,2472.92,46088,3518.09,36488,2784.9,17877,1366.72,28054,2138.12,3117,237.81,5534,423.72,-1084,-74.77
5,002215.SZ,20200902,66246,4602.69,47495,3307.07,78197,5439.3,67407,4690.35,56466,3929.22,61682,4286.02,1529,105.81,25855,1793.58,-55693,-3856.54
6,601838.SH,20200902,114514,11497.37,85828,8629.19,137219,13792.03,124047,12481.68,159111,16052.13,124710,12556.17,65126,6571.02,141384,14245.51,-127740,-12865.33
7,000960.SZ,20200902,31797,3092.92,33225,3232.47,48157,4685.0,41439,4034.09,35147,3420.65,27131,2639.94,8439,819.07,21745,2111.14,-43675,-4244.99
8,002346.SZ,20200902,12083,1350.89,7956,889.62,11108,1241.3,13745,1535.76,5530,617.14,6443,719.32,0,0.0,577,64.64,-7261,-809.2
9,002500.SZ,20200902,66908,5499.05,77525,6383.12,110337,9074.91,102343,8427.36,93819,7725.47,81636,6709.82,22029,1816.28,31589,2595.41,-15481,-1238.77
10,600007.SH,20200902,16423,2439.68,16294,2422.39,23033,3420.57,20206,3007.28,14430,2145.81,19010,2818.43,4392,655.71,2769,413.68,6348,947.28
11,601969.SH,20200902,33334,2010.15,25653,1547.32,26835,1619.54,29810,1799.47,11042,665.69,13078,789.53,0,0.0,2669,159.07,-20642,-1244.97
12,600072.SH,20200902,84077,12196.18,51078,7419.19,79535,11540.3,86805,12600.89,48435,7035.73,58602,8498.78,10508,1524.33,26071,3777.68,-70755,-10257.56
13,002745.SZ,20200902,56893,8765.04,59915,9243.23,85250,13133.39,85546,13202.88,78454,12082.04,70918,10926.68,17455,2703.5,21673,3311.19,60480,9327.81
14,300360.SZ,20200902,43415,4501.14,49883,5173.71,58647,6081.03,56069,5813.38,43172,4482.4,38792,4025.2,10300,1075.38,10790,1127.67,22738,2372.02
15,300409.SZ,20200902,59338,7773.13,65726,8613.75,95839,12560.47,88673,11618.57,63012,8267.96,71113,9332.51,9198,1209.42,1874,246.16,38643,5078.23
16,600406.SH,20200902,44787,10232.56,73859,16895.9,56631,12937.67,66271,15191.33,55226,12646.95,42577,9773.19,50775,11697.74,24712,5654.51,-160,37.15
17,603908.SH,20200902,3673,1005.28,3775,1033.89,4501,1234.34,3419,936.2,603,165.41,1583,434.94,0,0.0,0,0.0,303,86.89
18,002876.SZ,20200902,4344,1877.23,3258,1408.87,4071,1759.5,3930,1698.63,2773,1198.61,3102,1340.87,245,106.18,1142,493.15,-2163,-933.12
19,300491.SZ,20200902,53435,9935.08,46354,8749.12,70073,13067.1,72796,13703.31,49237,9243.24,67591,12623.91,51839,9974.42,37842,7143.48,-12623,-2481.37
20,600537.SH,20200902,96737,3724.69,152006,5862.11,160290,6170.51,153837,5928.74,130414,5020.88,116880,4500.82,68470,2657.27,33187,1281.68,68183,2629.39
21,603990.SH,20200902,4411,1946.37,2405,1063.29,5513,2432.4,3968,1752.31,5994,2647.88,8941,3945.45,2173,957.16,2777,1222.75,-2213,-974.25
22,300825.SZ,20200902,17482,4089.89,15723,3684.69,24482,5739.39,22150,5191.66,14012,3285.19,17708,4145.91,1058,249.92,1453,342.13,1205,292.1
23,600668.SH,20200902,21544,3530.47,15057,2469.28,30412,4985.32,26704,4379.25,17306,2836.75,22518,3688.64,0,0.0,4982,815.37,-17194,-2813.07
24,300808.SZ,20200902,14664,3160.98,16707,3602.86,25602,5520.27,26206,5647.54,11636,2507.1,10771,2321.01,2426,520.36,644,137.29,7867,1697.53
25,600805.SH,20200902,11333,494.79,8697,379.96,14874,649.05,18870,823.77,10978,479.23,9618,419.34,0,0.0,0,0.0,-5036,-217.06
26,000620.SZ,20200902,25159,986.48,14673,576.01,25086,983.79,17673,693.25,11591,454.2,19497,763.96,0,0.0,9993,391.26,-9576,-374.48
27,002006.SZ,20200902,34383,1861.49,43973,2386.09,41532,2252.57,37172,2015.48,21680,1180.99,16450,893.48,0,0.0,0,0.0,3379,188.96
28,600936.SH,20200902,16742,694.31,12714,527.7,17790,737.98,18622,772.68,19436,806.83,20047,831.97,0,0.0,2585,106.76,-15090,-623.39
29,000597.SZ,20200902,42609,2690.55,46297,2922.69,61272,3869.23,61830,3902.24,49435,3116.79,48277,3044.53,11202,705.75,8114,512.87,-15523,-968.34
30,000751.SZ,20200902,40741,1222.83,29904,899.67,38543,1159.66,38628,1161.3,54522,1643.39,50346,1516.44,2614,79.47,17542,527.94,-31613,-940.88
31,002137.SZ,20200902,37611,3184.49,40938,3469.84,60872,5156.19,61047,5170.87,36168,3067.81,33931,2873.61,3435,290.72,2170,184.88,22651,1926.38
32,000882.SZ,20200902,51882,1062.86,93504,1918.43,79788,1634.93,107222,2201.69,99615,2046.72,54786,1124.87,51270,1053.99,27044,553.52,80271,1657.1
33,002268.SZ,20200902,27068,5860.96,20717,4486.38,24121,5223.77,27706,6004.44,26673,5783.7,27837,6032.95,12422,2696.85,14024,3041.5,-13783,-2968.72
34,002422.SZ,20200902,37272,9507.21,34870,8909.8,61511,15712.48,51326,13114.37,64043,16359.4,70876,18107.35,24602,6304.29,30356,7751.86,-10965,-2765.15
35,688178.SH,20200902,1303,541.17,1290,537.45,2873,1194.88,2312,961.0,919,383.46,1494,621.06,0,0.0,0,0.0,-960,-398.28
36,002399.SZ,20200902,17294,4289.31,21948,5448.88,24992,6203.31,25781,6400.27,20534,5097.49,13593,3372.34,5032,1247.73,6529,1616.36,-1638,-396.32
37,600613.SH,20200902,17282,1277.45,9664,715.18,13388,989.63,14477,1069.62,5289,390.97,10216,754.64,0,0.0,1603,118.62,-7586,-558.8
38,300747.SZ,20200902,9047,6929.21,8422,6456.39,12623,9674.5,12070,9253.39,9829,7526.49,10980,8408.23,2164,1665.09,2191,1677.29,-3190,-2430.01
39,600744.SH,20200902,17085,427.88,15660,392.37,16788,419.83,13674,342.42,3720,93.41,8259,206.33,0,0.0,0,0.0,-7815,-193.92
40,000608.SZ,20200902,10968,492.11,13749,616.35,7766,348.22,7812,350.95,12072,540.38,3351,149.79,2218,100.03,8112,363.65,-12267,-548.37
41,300878.SZ,20200902,14576,9768.83,10430,6993.87,14107,9462.06,15388,10319.36,6240,4187.15,8583,5756.27,390,262.65,912,611.19,-3784,-2526.43
42,600875.SH,20200902,63545,6488.34,51893,5302.44,67704,6914.34,72319,7395.77,61281,6257.49,58824,6009.72,18913,1941.64,28407,2893.88,-22156,-2236.42
43,603108.SH,20200902,19373,2946.83,19015,2891.31,24711,3749.95,23410,3564.55,17817,2713.41,17719,2683.42,0,0.0,1758,270.91,1543,263.5
44,000690.SZ,20200902,60859,4236.19,47573,3314.88,49281,3427.84,44706,3111.96,29941,2084.65,41320,2870.22,4673,323.44,11155,775.06,-43207,-3001.21
45,000739.SZ,20200902,39939,11158.91,30796,8615.38,24399,6816.68,30123,8410.61,12679,3542.47,15826,4418.04,1169,326.46,1441,400.49,-558,-143.32
46,002076.SZ,20200902,15805,385.59,10728,262.27,24996,611.62,26305,642.91,11694,284.82,8125,198.46,0,0.0,7337,178.39,-23839,-580.68
47,002230.SZ,20200902,79221,30159.89,60420,23032.16,97208,37038.92,80917,30838.91,80101,30521.23,83904,31963.24,28686,10936.71,59974,22822.44,-51938,-19714.44
48,601699.SH,20200902,30141,1911.06,32001,2030.96,34966,2217.61,38868,2467.24,35067,2226.79,28704,1820.3,5387,341.42,5987,378.39,-17556,-1106.82
49,603507.SH,20200902,5220,1877.75,4279,1539.71,3673,1321.85,2715,978.0,784,280.97,2682,962.86,0,0.0,0,0.0,-477,-169.2
50,002475.SZ,20200902,152033,88222.59,165831,96517.63,248648,144477.0,301450,175272.49,282938,164626.05,277153,161167.31,261423,152358.03,200608,116726.24,72768,43139.92
51,300139.SZ,20200902,201364,23126.65,147722,17044.34,237176,27311.76,224378,25833.4,128425,14770.77,170326,19580.54,13529,1546.52,38068,4297.43,-57733,-6554.43
52,600136.SH,20200902,24577,1985.46,17631,1424.53,23166,1871.16,20323,1642.05,8919,719.77,18319,1478.77,2560,206.59,2949,237.63,-15068,-1215.71
53,603638.SH,20200902,11828,7645.79,10448,6753.74,6972,4508.59,9029,5836.05,4349,2815.05,3941,2549.0,683,440.25,415,270.88,5768,3747.55
54,002760.SZ,20200902,8583,2027.09,6505,1537.4,9840,2323.95,8709,2058.75,4013,947.94,6222,1469.46,0,0.0,1000,233.38,-524,-116.95
55,002809.SZ,20200902,14204,1969.23,14490,2010.9,17901,2483.84,20643,2863.56,10115,1402.91,7107,984.14,19,2.61,0,0.0,10719,1488.28
56,300424.SZ,20200902,37555,6642.01,37607,6685.44,51577,9146.67,49222,8719.5,29703,5266.26,31127,5500.74,5136,914.97,6015,1064.23,-5969,-1029.6
57,600267.SH,20200902,59883,11397.78,62906,11983.49,83974,15988.59,81264,15475.4,79123,15071.74,68679,13076.47,7434,1419.38,17565,3342.13,18555,3567.79
58,600421.SH,20200902,1316,208.91,1418,225.07,3898,620.67,5784,922.44,3359,535.49,4871,778.28,3500,560.71,0,0.0,3687,591.84
59,002891.SZ,20200902,13764,6525.53,16440,7798.4,15262,7236.39,14050,6663.53,8442,4014.64,7092,3380.46,626,303.67,511,237.85,-2713,-1256.47
60,300555.SZ,20200902,79957,8686.54,75558,8234.6,113448,12338.69,105437,11457.57,62398,6777.54,71903,7795.12,3194,344.18,6099,659.65,-12050,-1245.49
61,600398.SH,20200902,40151,2881.37,56108,4034.08,52085,3740.14,53077,3812.56,61352,4408.05,42327,3035.67,2843,204.7,4919,351.95,-11248,-794.13
62,002283.SZ,20200902,59799,4012.4,37569,2526.32,54385,3652.8,48455,3254.66,29330,1970.66,48430,3248.58,3746,250.61,12806,856.91,-41638,-2787.06
63,300101.SZ,20200902,108285,17858.31,124337,20708.62,145282,24058.49,161866,26819.9,117707,19576.44,106287,17632.09,56274,9476.56,35058,5809.2,-13865,-2107.38
64,603600.SH,20200902,20051,3990.6,23210,4615.84,14859,2958.34,11797,2354.33,4026,805.26,3374,672.85,0,0.0,554,111.18,-10114,-2006.95
65,002617.SZ,20200902,175296,11600.57,130278,8645.53,241661,16009.08,220298,14609.28,183332,12167.69,226544,15024.56,85479,5688.71,108648,7186.68,-108941,-7156.48
66,300078.SZ,20200902,73965,9395.02,108669,13817.63,117561,14933.24,125534,15966.59,109932,13991.98,85929,10924.95,40824,5202.15,22150,2813.23,61813,7894.01
67,300232.SZ,20200902,100843,10392.26,127815,13162.72,186072,19149.18,227148,23395.28,297839,30713.3,257760,26575.9,80552,8314.75,52584,5435.6,153839,15932.38
68,600075.SH,20200902,31215,2088.47,35458,2375.3,36669,2454.95,33415,2239.08,28055,1881.43,27724,1855.16,2158,144.74,1500,100.05,-25257,-1683.31
69,603577.SH,20200902,11248,1254.32,8886,991.51,10278,1146.7,12001,1338.85,3576,399.39,4215,470.06,0,0.0,0,0.0,-7881,-877.57
70,002748.SZ,20200902,8297,626.66,7602,574.06,9089,686.01,8826,666.93,4032,304.09,4990,375.78,0,0.0,0,0.0,-1908,-142.39
71,002902.SZ,20200902,8863,1817.8,7879,1617.07,11150,2289.43,12371,2538.24,8416,1727.9,8268,1698.24,900,184.23,809,165.8,-937,-188.26
72,300363.SZ,20200902,22168,7919.85,17843,6382.93,20158,7205.31,18525,6619.7,8433,3011.22,13799,4924.45,1364,487.11,1956,696.42,-3006,-1066.32
73,600360.SH,20200902,79180,6706.23,67313,5712.93,81010,6867.66,85988,7287.85,46713,3968.77,54990,4659.67,6457,549.59,5069,431.81,-2728,-208.71
74,300631.SZ,20200902,22554,5058.78,25211,5653.11,28882,6485.25,34186,7634.12,24622,5506.37,19453,4366.51,4617,1019.07,1824,415.73,6332,1395.31
75,603976.SH,20200902,15405,9107.66,16010,9479.07,15273,9045.25,13937,8254.93,7838,4639.88,9682,5727.29,2169,1296.75,1056,628.25,-2675,-1575.36
