,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
0,300179.SZ,20200813,105353,6397.21,87394,5305.94,87864,5339.78,90001,5483.31,33599,2053.03,45383,2766.22,6077,374.21,10116,608.76,-77472,-4695.41
1,600751.SH,20200813,118806,3844.47,96501,3124.41,106603,3450.05,118174,3824.54,90320,2926.64,96812,3134.68,11088,357.93,15329,495.45,15260,504.48
2,000615.SZ,20200813,83743,3774.69,77150,3485.35,88134,3973.82,92057,4162.13,51069,2307.62,53456,2409.46,17241,786.79,17523,785.99,-11217,-497.17
3,600882.SH,20200813,12568,5263.72,13237,5546.58,12613,5283.87,12870,5386.58,8682,3639.16,8349,3500.39,843,351.32,250,104.52,-2596,-1080.11
4,603115.SH,20200813,5734,1073.62,5232,980.34,6142,1150.51,5842,1093.82,1040,194.92,1142,213.94,0,0.0,700,130.95,-1213,-225.93
5,000900.SZ,20200813,25108,986.5,31062,1222.18,38530,1514.44,30122,1185.03,35302,1389.77,25437,999.57,2278,89.08,14597,573.02,-6582,-254.76
6,002083.SZ,20200813,43132,2304.43,40307,2155.52,52507,2806.67,49027,2620.51,35925,1920.71,36700,1961.33,2469,132.13,8000,426.58,7636,413.28
7,601860.SH,20200813,52428,2307.4,61128,2690.58,71851,3162.09,88288,3886.06,75934,3341.91,72157,3176.32,49198,2167.06,27839,1225.49,1178,61.57
8,000877.SZ,20200813,480684,115572.91,261938,62963.8,656917,157985.89,435470,104442.37,566820,136115.25,602822,144553.72,315406,75639.99,719598,173354.15,34532,9210.4
9,002417.SZ,20200813,409414,53378.56,360129,47055.53,399793,52133.12,455616,59624.43,286258,37394.05,351397,45989.19,226890,30069.81,155213,20306.39,-40345,-4856.63
10,300032.SZ,20200813,20596,894.95,14775,641.67,31164,1352.6,34667,1505.36,20677,896.34,21117,915.53,0,0.0,1878,81.32,-7995,-343.64
11,601991.SH,20200813,54271,1331.08,55802,1369.53,61474,1508.36,64410,1580.63,35015,859.27,40614,995.58,10066,247.02,0,0.0,15928,395.93
