,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1857,000833.SZ,20200217,36435,1870.08,68489,3531.04,47405,2437.5,70670,3643.3,68204,3513.11,37459,1928.83,43282,2243.2,18708,960.73,46691,2421.62
1858,002170.SZ,20200217,293626,12253.64,262308,10979.41,341450,14273.73,340489,14239.24,199616,8372.24,230221,9618.92,21942,921.36,23615,983.41,-97164,-3946.99
1859,002219.SZ,20200217,155093,4023.71,145036,3769.6,124596,3235.12,124166,3228.07,66782,1737.55,72632,1885.86,29280,758.79,33918,871.65,53382,1393.35
1860,300676.SZ,20200217,16551,12969.02,21224,16636.65,28189,22085.38,28372,22231.05,31838,24962.82,27810,21787.58,7231,5654.06,6403,5016.01,2261,1783.04
1861,600673.SH,20200217,60208,5273.97,51053,4474.18,88667,7768.23,91154,7987.2,89494,7843.0,90042,7888.15,15171,1329.59,21291,1865.24,-1441,-116.2
1862,601366.SH,20200217,14212,747.64,16989,894.04,20243,1064.87,20209,1063.05,9022,475.34,6279,330.76,0,0.0,0,0.0,2679,142.59
1863,000537.SZ,20200217,36313,2476.22,34970,2389.53,46302,3160.31,47191,3218.83,50562,3454.91,56261,3841.58,6944,474.44,1700,115.94,13133,901.53
1864,603037.SH,20200217,22752,4330.95,18647,3562.8,25276,4820.55,22257,4241.92,10820,2061.75,15586,2962.94,0,0.0,2358,445.6,-6220,-1184.17
1865,000668.SZ,20200217,5381,645.91,4781,574.32,6218,747.07,6304,757.56,1023,123.07,1537,184.17,0,0.0,0,0.0,2774,333.59
1866,000822.SZ,20200217,30580,1236.87,33836,1371.18,44746,1810.64,43468,1759.56,27808,1126.08,24556,992.93,4999,203.46,6273,253.37,8159,332.74
1867,002208.SZ,20200217,20245,1253.19,19209,1190.33,29848,1848.24,27572,1706.54,7315,453.59,8127,503.26,0,0.0,2500,154.9,-5839,-359.5
1868,603168.SH,20200217,12654,1061.96,13352,1123.02,18835,1583.31,17736,1491.31,7174,604.23,6226,522.58,0,0.0,1350,112.6,2134,183.21
1869,603322.SH,20200217,11771,2144.57,13525,2467.05,13890,2532.77,13766,2511.36,6522,1192.27,4891,891.2,0,0.0,0,0.0,4624,848.4
1870,688118.SH,20200217,6144,3508.45,7492,4294.46,28458,16376.65,30732,17697.36,16517,9466.24,12659,7226.0,763,435.39,1000,568.91,5687,3332.42
1871,000799.SZ,20200217,26287,8614.65,26537,8717.9,31328,10274.35,31616,10375.86,24515,8048.08,25651,8401.5,4853,1601.42,3180,1043.24,4119,1378.86
1872,000953.SZ,20200217,12984,602.09,10697,496.03,17941,831.98,20766,962.74,15792,732.45,28927,1342.16,18883,876.19,5211,241.77,-40178,-1863.99
1873,300665.SZ,20200217,4819,466.88,6002,582.26,5886,570.98,6465,626.9,2653,258.08,891,86.78,0,0.0,0,0.0,1382,134.09
1874,600662.SH,20200217,25631,1036.09,32999,1337.04,33580,1358.17,40936,1656.76,23019,933.77,21295,860.45,13000,526.22,0,0.0,23173,941.41
1875,000526.SZ,20200217,7256,2076.81,7469,2148.15,11242,3233.4,11956,3434.38,8799,2523.14,7872,2250.83,0,0.0,0,0.0,-911,-258.37
1876,300796.SZ,20200217,15263,3545.25,26423,6178.76,20971,4872.15,22645,5292.33,12704,2967.25,10355,2422.13,11585,2769.88,1101,261.31,-2103,-490.22
1877,600793.SH,20200217,4566,622.03,3254,443.93,4166,568.12,5662,771.99,2180,297.89,1996,272.12,0,0.0,0,0.0,2209,301.18
1878,603026.SH,20200217,16118,5604.42,18673,6500.91,21596,7512.58,23808,8283.62,25231,8780.71,21628,7526.45,8013,2795.54,6849,2382.28,14518,5061.6
1879,000657.SZ,20200217,28866,1836.23,29184,1858.68,34466,2192.3,35689,2271.17,31548,2009.18,23205,1477.29,4661,298.66,11462,729.24,3152,207.09
1880,000811.SZ,20200217,22182,1508.65,23597,1606.94,28538,1938.61,28265,1922.18,25595,1744.64,24218,1647.84,1617,110.76,1851,125.71,8592,586.02
1881,603157.SH,20200217,34412,1845.01,31525,1692.16,42537,2282.58,35381,1898.69,20442,1096.96,28385,1521.55,0,0.0,2100,112.16,-12564,-668.79
1882,603311.SH,20200217,20203,2659.58,17887,2357.65,29370,3869.82,25786,3399.52,10037,1324.83,15261,2011.87,969,128.3,1645,213.48,-2059,-267.8
1883,000788.SZ,20200217,45849,3318.94,48585,3520.32,58508,4236.17,50967,3689.91,35227,2552.75,31640,2290.2,852,61.68,9245,669.11,11690,858.7
