,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
0,688168.SH,20200330,1571,1405.36,1007,902.2,2907,2602.16,2539,2271.85,1368,1224.39,2045,1829.76,0,0.0,255,228.1,-227,-200.13
1,001696.SZ,20200330,43729,2316.21,39887,2121.24,40825,2168.62,38768,2056.16,21649,1149.05,29793,1576.54,2246,120.06,0,0.0,-9559,-486.11
2,002389.SZ,20200330,70146,7974.93,41720,4752.11,71287,8103.96,55067,6269.37,40523,4603.69,73661,8365.0,4650,526.38,16158,1822.48,-36257,-4108.16
3,002543.SZ,20200330,8595,676.73,6231,491.04,4776,375.7,4578,360.77,1723,135.48,4286,336.1,0,0.0,0,0.0,-2031,-158.83
4,300207.SZ,20200330,127718,17989.07,120901,17132.42,158602,22325.41,151606,21360.33,125407,17720.41,130297,18317.88,28111,3977.5,37034,5201.76,-9205,-1263.44
5,603706.SH,20200330,6044,922.14,5395,824.25,3002,458.43,3927,599.04,869,133.16,593,90.44,0,0.0,0,0.0,-915,-139.72
6,688299.SH,20200330,12466,2438.94,7757,1521.72,16221,3172.76,16465,3221.44,9061,1772.03,13527,2640.57,0,0.0,0,0.0,-7923,-1552.59
7,002674.SZ,20200330,10155,890.41,10655,934.84,11442,1004.67,12033,1057.85,3328,292.57,2237,194.96,0,0.0,0,0.0,3111,275.49
8,300338.SZ,20200330,12015,918.3,9808,749.97,9104,696.12,8936,683.37,4029,308.86,6070,464.36,0,0.0,334,25.57,-8250,-630.27
9,600335.SH,20200330,29721,1483.64,22575,1130.52,21745,1084.34,25192,1260.66,6436,321.67,20045,999.64,11499,579.81,1589,78.64,-9414,-469.3
10,601028.SH,20200330,9306,508.06,10611,581.35,15005,822.09,11491,630.14,5075,277.65,7284,396.32,0,0.0,0,0.0,-8900,-486.41
11,000150.SZ,20200330,138222,6784.46,135412,6669.27,147561,7258.37,131109,6447.47,69451,3416.37,93609,4597.58,21004,1035.39,16109,780.26,-39015,-1854.15
12,300469.SZ,20200330,7820,1054.71,8434,1139.88,7781,1050.73,9932,1336.04,7378,988.7,5888,788.86,3166,426.08,1891,255.44,2673,368.64
13,300146.SZ,20200330,41921,7072.73,24834,4195.63,45271,7637.96,39578,6686.85,35374,5979.47,45077,7606.93,10686,1818.68,23763,4019.42,-9300,-1539.98
14,300300.SZ,20200330,35894,2982.88,33970,2817.2,74097,6151.8,64209,5322.86,59056,4915.88,59894,4987.54,10776,901.12,21750,1824.08,28483,2417.61
15,600143.SH,20200330,194102,15411.25,124858,9936.9,198449,15789.97,172085,13689.43,99341,7913.71,145314,11555.08,12037,948.95,61672,4882.48,-94856,-7480.37
16,000007.SZ,20200330,32694,2513.81,23094,1800.38,37737,2910.76,43860,3417.66,33906,2639.21,36536,2819.95,23976,1793.76,24824,1819.56,9869,610.14
17,002816.SZ,20200330,5194,1446.69,3041,846.91,5662,1580.71,7112,1984.92,2782,778.36,3885,1086.25,400,112.32,0,0.0,944,264.72
18,300277.SZ,20200330,13841,1019.48,15793,1162.6,9183,675.76,7837,577.1,3468,254.72,2862,210.25,0,0.0,0,0.0,-2506,-182.47
19,300431.SZ,20200330,38008,980.02,28440,733.93,23662,610.82,28076,723.83,6392,164.61,11546,297.7,0,0.0,0,0.0,-4957,-126.94
20,603776.SH,20200330,15334,2706.42,11273,1992.48,11608,2049.59,13112,2313.96,2723,481.03,4499,792.77,0,0.0,781,137.83,-880,-153.39
21,688009.SH,20200330,85134,5391.08,34797,2208.09,121737,7714.87,105757,6705.86,107296,6808.97,173613,11000.97,0,0.0,0,0.0,-74705,-4727.0
22,002181.SZ,20200330,20979,944.7,14696,661.9,14301,644.02,17171,773.17,6950,312.65,10363,466.3,0,0.0,0,0.0,-9304,-417.14
23,000975.SZ,20200330,157190,22868.04,113673,16618.78,199560,29087.22,188510,27529.65,186796,27321.14,200812,29304.2,43017,6327.32,83569,12151.08,-76717,-11092.77
24,002515.SZ,20200330,246335,14594.88,190611,11341.21,257414,15273.83,231908,13756.95,128957,7655.5,200001,11860.15,45345,2710.3,55530,3276.2,-27840,-1514.49
25,300130.SZ,20200330,48056,6624.12,29405,4061.31,40259,5541.76,54748,7534.83,14397,1979.95,15185,2088.3,1000,137.5,4374,598.9,-23146,-3182.58
26,688233.SH,20200330,8262,4126.3,4756,2381.85,15245,7609.56,15236,7613.57,8812,4403.77,11523,5754.4,1847,931.54,2652,1321.35,-5554,-2787.53
27,002454.SZ,20200330,28580,1321.37,24412,1131.15,32641,1511.56,29269,1355.72,10223,474.75,15326,707.78,0,0.0,2436,113.03,-14378,-662.88
