,trade_date,ts_code,name,close,pct_chg,amp,fc_ratio,fl_ratio,fd_amount,first_time,last_time,open_times,strth,limit
0,20200709,300840.SZ,酷特智能,9.41,10.06,0.0,83583.105,26.4986,149611264.0,09:25:03,09:25:03,0,100.0,U
1,20200709,300843.SZ,胜蓝股份,23.21,10.0,0.0,11337.357,7.8728,68029600.0,09:25:03,09:25:03,0,100.0,U
2,20200709,600956.SH,新天绿能,9.81,9.98,0.0,2250.9954,6.3037,83328544.0,09:25:01,09:25:01,0,100.0,U
3,20200709,601880.SH,大连港,2.08,10.05,0.0,1505.3805,1.2098,194668496.0,09:25:01,09:25:01,0,100.0,U
4,20200709,603087.SH,甘李药业,195.46,10.0,0.0,1812.1794,5.6115,440922400.0,09:25:04,09:25:04,0,100.0,U
5,20200709,603301.SH,振德医疗,85.92,10.0,0.0,1090.0257,1.7972,122252560.0,09:25:04,09:25:04,0,100.0,U
6,20200709,688027.SH,N国盾,370.45,923.91,377.83,0.0666,0.0457,2757630.0,09:25:00,09:25:00,0,100.0,U
7,20200709,600317.SH,营口港,2.67,9.88,0.0,961.2869,0.5525,95486672.0,09:25:04,09:25:04,0,98.64504,U
8,20200709,000796.SZ,凯撒旅业,20.34,10.01,0.0,824.4563,1.4325,233803728.0,09:25:00,09:25:00,0,93.85597,U
9,20200709,300378.SZ,鼎捷软件,20.44,10.01,0.0,818.4125,3.4728,187941856.0,09:25:03,09:25:03,0,93.64444,U
10,20200709,002255.SZ,*ST海陆,3.57,5.0,0.0,770.5517,1.3159,30394908.0,09:25:00,09:25:00,0,91.96931,U
11,20200709,600856.SH,*ST中天,1.28,4.92,0.0,638.0998,0.5631,9682258.0,09:25:04,09:25:04,0,87.333496,U
12,20200709,600685.SH,中船防务,23.03,9.98,0.0,332.2138,1.1882,224789312.0,09:25:14,09:25:14,0,76.62749,U
13,20200709,000881.SZ,中广核技,9.38,9.96,0.0,314.495,0.9404,61014088.0,09:25:00,09:25:00,0,76.007324,U
14,20200709,600316.SH,洪都航空,23.42,10.0,0.56,60.5264,0.9167,153965040.0,09:25:14,09:25:14,0,75.53848,U
15,20200709,600760.SH,中航沈飞,51.56,10.01,0.0,287.3545,2.1784,447607360.0,09:25:04,09:25:04,0,75.0574,U
16,20200709,000576.SZ,广东甘化,10.49,9.96,0.0,230.9045,1.7013,76380240.0,09:25:03,09:25:03,0,73.08166,U
17,20200709,600228.SH,ST昌九,10.9,5.01,0.0,227.0935,0.4242,11157697.0,09:25:05,09:25:05,0,72.94827,U
18,20200709,300668.SZ,杰恩设计,17.42,9.97,10.42,172.871,13.0192,128977680.0,13:07:42,13:07:42,0,71.9671,U
19,20200709,002681.SZ,*ST奋达,4.56,5.07,0.0,148.0417,0.5578,27612258.0,09:25:00,09:25:00,0,70.18146,U
20,20200709,002979.SZ,雷赛智能,38.08,9.99,2.48,20.1763,1.9689,38986612.0,09:25:00,09:25:00,0,69.63607,U
21,20200709,601878.SH,浙商证券,19.32,10.02,3.53,22.931,0.7868,506704160.0,09:31:10,09:31:10,0,68.802444,U
22,20200709,000698.SZ,沈阳化工,5.46,10.08,0.0,103.8833,1.8289,78457880.0,09:25:00,09:25:00,0,68.63592,U
23,20200709,300447.SZ,全信股份,12.99,9.99,5.42,36.3949,1.405,31036616.0,09:37:21,09:37:21,0,68.28974,U
24,20200709,600536.SH,中国软件,117.88,10.0,0.0,59.5779,0.6563,382641408.0,09:25:01,09:25:01,0,67.08523,U
25,20200709,601698.SH,中国卫通,23.18,10.01,0.0,59.2434,2.0849,197002192.0,09:25:00,09:25:00,0,67.073524,U
26,20200709,600671.SH,*ST目药,7.19,4.96,5.55,64.7176,1.0125,8860956.0,09:35:53,09:36:05,2,65.97238,U
