,trade_date,ts_code,name,close,pct_chg,amp,fc_ratio,fl_ratio,fd_amount,first_time,last_time,open_times,strth,limit
0,20200727,002691.SZ,冀凯股份,6.44,10.09,0.0,1998.2244,5.0386,110029976.0,09:25:00,09:25:00,0,100.0,U
1,20200727,300853.SZ,申昊科技,48.17,10.0,0.0,15596.112,10.6919,105116952.0,09:25:03,09:25:03,0,100.0,U
2,20200727,300855.SZ,图南股份,18.3,9.98,0.0,16203.458,13.1546,120364728.0,09:32:21,09:32:21,0,100.0,U
3,20200727,300856.SZ,科思股份,58.58,10.01,0.0,2618.4164,8.5812,141858272.0,09:25:03,09:25:03,0,100.0,U
4,20200727,300858.SZ,N科拓,34.13,44.01,12.03,6062.3207,16.207,114113864.0,09:32:09,09:32:09,0,100.0,U
5,20200727,600145.SH,*ST新亿,1.52,4.83,0.0,1045.679,0.6735,15263933.0,09:30:00,09:30:00,0,100.0,U
6,20200727,605199.SH,葫芦娃,21.29,10.03,0.0,3256.2878,21.4265,182924544.0,09:30:00,09:30:00,0,100.0,U
7,20200727,002210.SZ,*ST飞马,1.85,5.11,1.7,76.5686,0.676,20649832.0,09:34:27,09:37:06,5,70.99066,U
8,20200727,002361.SZ,神剑股份,6.28,9.98,0.0,138.1676,3.5481,139188864.0,09:25:00,09:25:00,0,69.83586,U
9,20200727,603039.SH,泛微网络,85.54,10.01,0.0,83.2489,0.2574,45529692.0,09:25:04,09:25:04,0,67.91371,U
10,20200727,603488.SH,展鹏科技,12.54,10.0,1.23,38.5084,1.8927,69302120.0,09:25:02,10:08:10,3,67.71548,U
11,20200727,600086.SH,*ST金钰,0.91,4.6,2.3,47.839,0.7537,7248393.0,09:32:14,09:32:14,0,67.52158,U
12,20200727,600226.SH,*ST瀚叶,1.17,5.41,4.5,51.2756,0.7682,17910914.0,09:32:18,09:32:18,0,65.66597,U
13,20200727,002026.SZ,山东威达,7.52,9.94,2.19,42.1169,2.0996,66329280.0,09:25:00,09:57:57,1,62.12667,U
14,20200727,002575.SZ,*ST群兴,4.32,5.11,4.87,19.5223,0.2583,6562849.0,09:33:21,10:43:24,22,62.09515,U
15,20200727,000890.SZ,*ST胜尔,2.94,5.0,4.29,5.7414,0.2484,2771832.0,09:40:57,13:37:24,14,61.296555,U
16,20200727,600531.SH,豫光金铅,6.17,9.98,5.17,12.4359,1.0307,69333152.0,09:38:09,09:53:18,5,61.125122,U
17,20200727,600179.SH,*ST安通,5.26,4.99,4.39,1.5155,0.0231,835814.06,14:52:23,14:52:23,0,60.762703,U
18,20200727,002681.SZ,*ST奋达,4.85,4.98,1.52,12.3852,0.39,20533236.0,09:25:00,09:46:21,3,59.738018,U
19,20200727,000408.SZ,*ST藏格,7.6,4.97,1.8,14.6751,0.2326,8369538.0,09:40:27,09:54:57,8,59.67914,U
20,20200727,002219.SZ,*ST恒康,1.6,5.26,5.26,43.9836,0.2659,7847328.0,09:47:18,09:47:36,3,59.151657,U
21,20200727,002716.SZ,*ST金贵,1.54,4.76,2.72,15.9236,0.6427,7744536.5,09:32:30,10:29:39,35,58.9045,U
22,20200727,300155.SZ,安居宝,7.01,10.05,9.11,26.1097,1.5992,31146854.0,10:00:39,10:00:39,0,58.58093,U
23,20200727,002287.SZ,奇正藏药,25.53,10.0,9.56,31.0945,0.4237,57107216.0,10:49:51,10:49:51,0,58.570637,U
