,trade_date,ts_code,name,close,pct_chg,amp,fc_ratio,fl_ratio,fd_amount,first_time,last_time,open_times,strth,limit
0,20200826,603931.SH,格林达,49.6,10.0,0.0,1562.9805,8.4414,106558056.0,09:25:02,09:25:02,0,100.0,U
1,20200826,605008.SH,长鸿高科,20.21,10.02,0.0,1358.907,9.645,89665888.0,09:25:02,09:25:02,0,100.0,U
2,20200826,605123.SH,派克新材,48.05,10.0,0.0,5041.2518,8.0765,104779944.0,09:30:02,09:30:02,0,100.0,U
3,20200826,605255.SH,天普股份,20.05,9.98,0.0,8188.9755,14.8977,100124064.0,09:25:06,09:25:06,0,100.0,U
4,20200826,605333.SH,沪光股份,13.52,10.01,0.0,3296.2738,17.9795,97476160.0,09:25:02,09:25:02,0,100.0,U
5,20200826,688356.SH,N键凯,136.84,232.3,58.14,0.0537,0.0431,803798.1,09:25:02,09:25:02,0,100.0,U
6,20200826,000590.SZ,启迪古汉,11.43,10.01,0.0,554.6641,7.3364,200731328.0,09:25:00,09:25:00,0,84.413246,U
7,20200826,600983.SH,惠而浦,6.96,9.95,0.0,339.7972,1.8135,67250960.0,09:25:04,09:25:04,0,76.8929,U
8,20200826,600228.SH,ST昌九,12.5,5.04,1.6,95.3871,0.3856,11632488.0,09:32:13,09:32:13,0,72.95799,U
9,20200826,000755.SZ,山西路桥,4.72,10.02,1.17,44.5794,2.544,56346880.0,09:25:00,10:14:54,1,68.415146,U
10,20200826,603380.SH,易德龙,21.22,10.01,0.0,80.6277,1.201,40776352.0,09:25:03,09:25:03,0,67.82197,U
11,20200826,002352.SZ,顺丰控股,80.21,10.0,0.0,32.8189,0.1298,467476224.0,09:25:00,09:25:00,0,66.14866,U
12,20200826,002787.SZ,华源控股,9.33,10.02,9.79,64.8684,3.1851,53977332.0,09:39:33,09:39:33,0,61.85609,U
13,20200826,600145.SH,*ST新亿,1.66,5.06,5.06,4.1741,0.0992,2456268.8,09:33:33,13:53:14,20,60.362377,U
14,20200826,002672.SZ,东江环保,11.72,10.05,9.3,40.6397,0.998,77772200.0,09:36:21,09:36:21,0,59.813866,U
