,trade_date,ts_code,name,close,pct_chg,amp,fc_ratio,fl_ratio,fd_amount,first_time,last_time,open_times,strth,limit
0,20200615,002425.SZ,凯撒文化,11.28,10.05,0.0,1285.9609,4.5822,420205440.0,09:25:00,09:25:00,0,100.0,U
1,20200615,600824.SH,益民集团,3.88,9.92,0.0,585.7229,0.898,36726680.0,09:25:03,09:25:03,0,85.5003,U
2,20200615,600243.SH,*ST海华,2.81,4.85,0.0,568.3926,0.4228,5213365.0,09:25:03,09:25:03,0,84.89374,U
3,20200615,600918.SH,中泰证券,13.52,10.01,0.0,497.0772,6.3707,600220290.0,09:25:03,09:25:03,0,82.397705,U
4,20200615,300469.SZ,信息发展,11.59,9.96,0.0,399.1963,5.5819,107218104.0,09:25:03,09:25:03,0,78.97187,U
5,20200615,600723.SH,首商股份,8.36,10.0,1.45,45.9181,0.7758,42680524.0,09:30:01,09:30:01,0,73.1806,U
6,20200615,002989.SZ,中天精装,46.99,10.0,3.44,33.7016,4.962,88253240.0,09:25:00,09:25:00,0,70.17826,U
7,20200615,300165.SZ,天瑞仪器,5.64,9.94,0.0,119.4282,2.8712,51723864.0,09:25:03,09:25:03,0,69.17999,U
8,20200615,600275.SH,ST昌鱼,2.45,5.15,6.87,104.9398,1.1535,14380736.0,09:42:30,09:43:51,4,68.681656,U
9,20200615,601801.SH,皖新传媒,6.14,10.04,3.94,23.8771,0.3708,45290984.0,09:32:07,09:32:07,0,68.46625,U
10,20200615,300410.SZ,正业科技,7.08,9.94,0.0,41.83,1.3024,33600504.0,09:25:03,09:25:03,0,66.46405,U
11,20200615,603863.SH,松炀资源,13.97,10.0,12.68,119.9317,12.8501,92396816.0,13:00:41,13:00:41,0,64.41317,U
12,20200615,300246.SZ,宝莱特,30.34,10.01,7.07,9.3126,1.162,37988440.0,10:16:18,10:16:18,0,63.919365,U
13,20200615,002331.SZ,皖通科技,12.06,10.04,11.31,89.3584,1.2989,60013940.0,09:48:54,09:48:54,0,62.69078,U
14,20200615,300318.SZ,博晖创新,5.91,10.06,0.37,22.3339,0.561,24020934.0,10:25:09,10:25:27,3,61.891438,U
15,20200615,605168.SH,三人行,273.94,10.0,4.02,5.2716,1.2698,60075044.0,09:25:03,13:56:06,8,61.57065,U
16,20200615,603608.SH,天创时尚,9.8,9.99,10.55,69.0637,1.5627,65043024.0,13:02:28,13:02:28,0,61.4345,U
17,20200615,603439.SH,贵州三力,40.49,10.0,5.08,5.2544,2.6507,43725232.0,09:32:37,13:26:38,11,60.57798,U
18,20200615,300374.SZ,恒通科技,13.67,9.98,8.77,38.6171,1.0659,24832116.0,09:32:12,09:33:36,2,60.145004,U
19,20200615,300016.SZ,北陆药业,11.61,10.05,6.82,17.4485,1.2878,60591716.0,10:04:24,10:04:24,0,59.989235,U
20,20200615,600859.SH,王府井,40.08,9.99,5.71,4.867,0.3533,80538120.0,09:36:49,14:50:53,16,59.794365,U
21,20200615,002513.SZ,*ST蓝丰,4.41,5.0,3.81,31.3416,0.2271,3148299.0,09:32:15,10:00:39,11,59.335518,U
22,20200615,300044.SZ,赛为智能,7.48,10.0,7.06,9.8426,1.1799,48212340.0,09:51:03,09:51:03,0,58.983253,U
23,20200615,300677.SZ,英科医疗,99.95,10.0,6.54,2.4324,0.1437,18780604.0,09:39:21,13:44:12,44,58.710423,U
24,20200615,002551.SZ,尚荣医疗,8.35,10.01,6.72,1.1335,0.275,12940922.0,14:05:06,14:50:57,19,58.4071,U
25,20200615,603301.SH,振德医疗,47.01,9.99,7.04,2.602,0.4894,17557106.0,14:35:36,14:35:36,0,58.24467,U
