,trade_date,ts_code,name,close,pct_chg,amp,fc_ratio,fl_ratio,fd_amount,first_time,last_time,open_times,strth,limit
0,20200817,002993.SZ,N奥海,38.71,44.01,24.0,5906.8523,15.8859,277954976.0,09:25:00,09:25:00,0,100.0,U
1,20200817,605088.SH,N冠盛,22.42,43.99,24.02,6626.112,22.3384,200330432.0,09:25:03,09:25:03,0,100.0,U
2,20200817,605366.SH,宏柏新材,19.13,10.01,0.0,2887.8128,8.3277,132225616.0,09:25:03,09:25:03,0,100.0,U
3,20200817,688055.SH,N龙腾,9.85,707.38,155.74,0.0067,0.0048,127675.7,09:30:01,09:30:01,0,100.0,U
4,20200817,688229.SH,N博睿,121.11,84.0,38.71,0.033,0.0242,295750.62,09:25:03,09:25:03,0,100.0,U
5,20200817,688335.SH,N复洁,65.12,40.89,23.02,0.4721,0.339,3666712.0,09:25:04,09:25:04,0,100.0,U
6,20200817,000536.SZ,*ST华映,2.24,5.16,0.0,610.1862,0.4888,30254744.0,09:25:03,09:25:03,0,86.35652,U
7,20200817,600226.SH,*ST瀚叶,1.29,4.88,0.0,393.1591,0.8045,25426478.0,09:25:04,09:25:04,0,78.76057,U
8,20200817,600255.SH,*ST梦舟,1.47,5.0,0.0,244.722,0.6873,17879684.0,09:25:19,09:25:19,0,73.56527,U
9,20200817,002451.SZ,摩恩电气,9.5,9.95,0.0,186.5808,3.204,128823528.0,09:25:00,09:25:00,0,71.53033,U
10,20200817,002259.SZ,*ST升达,3.48,5.14,3.02,118.4231,0.7954,20824316.0,09:32:15,09:33:45,2,68.862076,U
11,20200817,002445.SZ,*ST中南,2.06,5.1,0.0,109.7822,0.4198,11814615.0,09:25:00,09:25:00,0,68.84238,U
12,20200817,000504.SZ,ST生物,14.95,4.99,0.63,39.9851,0.2133,9907963.0,09:25:00,09:32:06,1,68.37917,U
13,20200817,300799.SZ,左江科技,71.94,10.0,7.55,42.1152,5.0996,93551280.0,09:46:27,09:46:27,0,66.76152,U
14,20200817,000669.SZ,*ST金鸿,2.12,4.95,5.45,64.759,0.3803,5485160.5,09:49:27,09:49:27,0,66.044914,U
15,20200817,300455.SZ,康拓红外,17.64,9.98,3.99,46.9267,1.2105,106855320.0,09:37:18,09:37:18,0,65.76319,U
16,20200817,300350.SZ,华鹏飞,5.25,10.06,7.13,14.3178,1.4601,23597002.0,09:45:39,09:45:39,0,64.37479,U
17,20200817,600761.SH,安徽合力,13.26,10.04,4.81,32.2011,0.6366,62477780.0,09:34:25,09:34:25,0,63.441936,U
18,20200817,300733.SZ,西菱动力,12.53,10.01,10.1,83.5174,9.6866,82339368.0,10:31:18,10:31:18,0,63.351746,U
19,20200817,002177.SZ,御银股份,5.82,10.02,6.99,34.7732,2.1186,93855744.0,09:38:57,09:38:57,0,61.59325,U
20,20200817,002575.SZ,*ST群兴,4.63,4.99,4.76,7.2708,0.0675,1836679.4,10:18:00,14:51:24,21,60.97045,U
21,20200817,600999.SH,招商证券,22.54,10.0,5.81,13.2813,0.1657,277231904.0,10:18:03,10:18:03,0,60.52642,U
22,20200817,300368.SZ,汇金股份,12.83,10.03,6.43,17.791,1.6593,99787888.0,09:33:33,09:34:48,2,60.432064,U
23,20200817,600095.SH,哈高科,16.51,9.99,2.07,21.1941,2.2828,136158256.0,09:25:04,09:43:12,3,60.16355,U
24,20200817,603787.SH,新日股份,22.94,10.02,9.06,41.6343,0.4973,23271690.0,09:40:45,09:40:45,0,60.128292,U
25,20200817,600158.SH,中体产业,11.96,10.03,5.61,5.7724,0.4752,37365984.0,09:47:30,10:20:30,43,59.991,U
26,20200817,603661.SH,恒林股份,77.96,10.0,7.0,17.6862,1.118,25058370.0,10:27:57,10:27:57,0,59.82452,U
27,20200817,601519.SH,大智慧,11.12,9.99,2.18,17.873,0.6362,140630832.0,09:36:45,09:42:33,11,59.63911,U
28,20200817,601628.SH,中国人寿,47.11,9.99,11.21,8.3689,0.0233,228643680.0,11:28:37,11:28:37,0,59.62806,U
29,20200817,002708.SZ,光洋股份,7.34,10.04,10.34,48.7781,1.2464,35985600.0,09:34:30,09:34:30,0,59.60013,U
30,20200817,600083.SH,*ST博信,5.97,4.92,8.61,31.0686,0.6956,9468306.0,09:34:34,09:35:25,2,59.53164,U
31,20200817,600363.SH,联创光电,22.68,9.99,7.08,11.5004,0.703,70712816.0,09:37:31,09:37:31,0,59.105194,U
32,20200817,600132.SH,重庆啤酒,76.4,10.01,4.18,29.0541,0.1909,70584816.0,09:38:57,09:41:12,3,58.73495,U
33,20200817,600086.SH,*ST金钰,1.3,4.84,4.03,25.9821,0.3639,4999761.0,09:33:00,09:35:45,4,58.586407,U
34,20200817,002681.SZ,*ST奋达,6.46,5.04,7.15,6.5779,0.288,20194586.0,14:23:45,14:23:45,0,58.52219,U
35,20200817,603161.SH,科华控股,16.35,10.03,7.87,7.8578,2.4285,27556012.0,09:40:03,11:28:36,18,58.037205,U
36,20200817,601456.SH,国联证券,17.45,10.03,12.86,2.6074,1.5602,129516856.0,10:52:18,10:52:18,0,57.47875,U
37,20200817,603318.SH,派思股份,10.53,10.03,10.76,31.5458,1.1152,47224944.0,10:06:39,10:06:39,0,57.45034,U
38,20200817,601838.SH,成都银行,11.08,10.03,10.03,19.7931,0.9155,192152656.0,10:07:19,10:07:19,0,56.995087,U
39,20200817,601216.SH,君正集团,9.21,10.04,9.08,8.0943,0.5532,429926816.0,11:20:21,11:20:21,0,56.757088,U
40,20200817,000723.SZ,美锦能源,7.05,9.98,9.52,11.5344,0.4651,123743976.0,14:44:36,14:44:36,0,56.6567,U
41,20200817,603416.SH,信捷电气,71.45,10.01,3.77,3.9148,0.2668,17388286.0,09:46:21,11:17:12,54,56.634823,U
42,20200817,603650.SH,彤程新材,36.08,10.0,10.3,16.1724,0.8258,39158420.0,11:06:24,11:06:24,0,56.358532,U
43,20200817,603319.SH,湘油泵,30.87,10.01,9.52,6.2838,0.6983,22613820.0,14:17:19,14:54:49,12,56.1433,U
44,20200817,002586.SZ,*ST围海,1.94,4.86,4.86,8.6158,0.0645,1110103.0,09:52:21,11:09:30,4,56.004803,U
45,20200817,300816.SZ,艾可蓝,99.23,10.0,6.99,28.9657,1.696,33658816.0,09:45:45,09:45:57,1,55.99137,U
46,20200817,002288.SZ,超华科技,9.46,10.0,9.42,3.274,0.3784,28648646.0,10:38:24,10:45:33,5,55.926315,U
47,20200817,300225.SZ,金力泰,11.86,10.02,9.18,0.7764,0.0995,5514864.5,09:50:15,14:50:48,67,55.902615,U
48,20200817,300476.SZ,胜宏科技,24.22,9.99,9.58,4.0372,0.0899,16606249.0,10:29:33,10:29:33,0,55.828213,U
49,20200817,000409.SZ,ST地矿,4.42,4.99,4.75,3.2782,0.1062,1904016.8,09:58:06,13:57:57,44,55.58313,U
50,20200817,603959.SH,百利科技,10.8,9.98,9.88,3.5926,0.1767,8378078.5,10:12:39,13:14:25,4,55.4881,U
51,20200817,600540.SH,新赛股份,6.61,9.98,11.48,18.6775,1.6535,51470088.0,13:08:59,13:08:59,0,55.47043,U
52,20200817,600290.SH,*ST华仪,1.51,4.86,4.86,0.4254,0.0134,154171.0,10:33:12,14:53:07,47,55.183216,U
53,20200817,300157.SZ,恒泰艾普,4.95,10.0,10.44,3.5882,0.3033,10613879.0,09:58:39,13:19:24,7,54.933983,U
54,20200817,300120.SZ,经纬辉开,17.05,10.0,12.58,21.9694,1.7873,72203152.0,09:41:03,09:46:48,1,54.706306,U
55,20200817,300531.SZ,优博讯,23.38,10.02,6.16,6.447,0.3321,21741062.0,09:51:18,10:22:09,4,54.501305,U
56,20200817,603027.SH,千禾味业,38.5,10.0,5.63,1.1294,0.0416,10555160.0,09:25:04,14:50:37,72,54.485016,U
57,20200817,600139.SH,西部资源,4.13,10.13,11.2,4.6606,0.5888,16094181.0,14:53:16,14:53:16,0,54.295494,U
58,20200817,600069.SH,退市银鸽,0.24,9.09,9.09,30.3646,0.4788,1866024.2,10:15:39,10:40:54,26,53.970398,U
59,20200817,300512.SZ,中亚股份,20.23,10.01,9.62,35.3298,0.6689,29295062.0,09:43:00,09:45:45,6,53.946423,U
60,20200817,300464.SZ,星徽精密,25.21,9.99,7.9,15.6133,0.3887,25263898.0,09:47:30,09:54:39,3,53.680767,U
61,20200817,600856.SH,*ST中天,1.8,5.26,7.02,2.6217,0.0372,899820.0,10:14:28,14:29:12,22,53.244026,U
62,20200817,600118.SH,中国卫星,39.72,10.0,7.2,3.4724,0.1736,81537096.0,09:48:12,11:23:51,13,53.15592,U
63,20200817,300858.SZ,科拓生物,103.14,10.0,12.09,1.9029,0.5429,11551680.0,10:13:33,14:31:00,5,53.127434,U
64,20200817,300798.SZ,锦鸡股份,15.54,9.98,9.91,28.2884,7.5014,48703912.0,14:22:33,14:25:48,3,53.018837,U
65,20200817,603758.SH,秦安股份,9.17,9.95,7.91,8.8224,0.2754,11080460.0,09:54:27,10:22:36,28,52.986004,U
66,20200817,603017.SH,中衡设计,14.81,10.03,12.63,4.7732,0.4579,18509538.0,13:09:25,13:09:25,0,52.87021,U
67,20200817,002585.SZ,双星新材,9.93,9.97,8.31,9.8374,0.9671,84488888.0,14:42:30,14:43:42,2,52.72209,U
68,20200817,300156.SZ,神雾退,0.14,7.69,7.69,202.8187,3.0069,3038567.8,09:25:03,14:54:12,43,52.660347,U
69,20200817,300474.SZ,景嘉微,78.41,10.0,8.24,8.7365,0.2894,34278108.0,09:52:12,10:00:21,16,52.648117,U
70,20200817,600634.SH,*ST富控,1.21,5.22,7.83,3.0016,0.0794,552970.0,09:51:15,14:54:43,52,52.47413,U
71,20200817,000587.SZ,*ST金洲,1.31,4.8,8.0,3.3652,0.1532,2434242.0,10:12:48,14:46:51,109,52.344177,U
72,20200817,600230.SH,沧州大化,12.65,10.0,8.43,6.9311,0.5419,28235306.0,13:00:53,14:01:48,31,52.290203,U
73,20200817,603298.SH,杭叉集团,16.3,9.99,8.77,5.3655,0.1184,16726326.0,09:43:33,13:39:55,12,51.772472,U
74,20200817,002488.SZ,金固股份,6.47,10.03,10.03,14.7403,0.6342,33821200.0,09:40:00,10:33:03,1,51.47574,U
75,20200817,300481.SZ,濮阳惠成,25.92,10.02,9.97,13.7958,0.4639,30834976.0,09:54:09,10:34:51,19,51.432774,U
76,20200817,601882.SH,海天精工,14.49,10.02,14.2,6.1996,0.1906,14418289.0,14:37:34,14:37:34,0,51.42949,U
77,20200817,300687.SZ,赛意信息,22.54,10.0,9.18,4.6499,0.1538,7504242.5,11:17:48,11:27:27,16,51.292686,U
78,20200817,600330.SH,天通股份,11.59,9.96,8.92,1.6403,0.1446,16696716.0,10:00:36,10:43:51,4,51.25126,U
79,20200817,300560.SZ,中富通,21.45,10.0,10.31,14.2831,0.6886,27961578.0,10:01:48,10:05:27,3,51.152737,U
80,20200817,603655.SH,朗博科技,34.97,10.0,9.47,5.4126,0.9291,11047023.0,11:08:23,11:12:53,1,51.117714,U
