,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,603898.SH,20200217,14.8,15.25,14.8,15.21,14.78,0.43,2.9093,10496.32,15856.202
1,002336.SZ,20200217,5.13,5.21,5.08,5.19,5.13,0.06,1.1696,15242.45,7878.976
2,002343.SZ,20200217,11.12,12.1,11.06,11.91,11.1,0.81,7.2973,231204.61,270977.594
3,002347.SZ,20200217,4.06,4.19,4.06,4.18,4.05,0.13,3.2099,37332.96,15485.684
4,002351.SZ,20200217,20.67,21.1,20.41,21.1,20.53,0.57,2.7764,296022.36,617684.27
5,603920.SH,20200217,28.43,29.41,28.0,29.3,28.43,0.87,3.0601,217245.17,625015.086
6,603926.SH,20200217,10.74,11.03,10.64,10.95,10.64,0.31,2.9135,10958.02,11905.533
7,603960.SH,20200217,35.35,36.78,34.85,36.48,35.59,0.89,2.5007,33940.85,121544.926
8,002382.SZ,20200217,16.0,16.37,15.75,16.27,15.64,0.63,4.0281,310252.37,502106.142
9,603992.SH,20200217,16.88,17.24,16.69,17.08,16.79,0.29,1.7272,26246.24,44647.725
10,603993.SH,20200217,5.31,5.43,5.24,5.4,5.42,-0.02,-0.369,5307174.57,2830266.44
11,688001.SH,20200217,54.56,56.99,54.01,55.33,52.76,2.57,4.8711,70732.37,390865.347
12,002398.SZ,20200217,6.6,6.66,6.5,6.66,6.54,0.12,1.8349,62669.32,41458.146
13,002400.SZ,20200217,2.89,2.97,2.88,2.97,2.88,0.09,3.125,318433.0,93533.287
14,688015.SH,20200217,36.34,39.55,36.34,39.49,36.62,2.87,7.8372,54117.48,206854.046
15,002412.SZ,20200217,8.38,8.58,8.36,8.54,8.33,0.21,2.521,47404.34,40384.876
16,002418.SZ,20200217,2.3,2.36,2.28,2.35,2.3,0.05,2.1739,167848.0,39247.204
17,002419.SZ,20200217,9.1,9.34,9.09,9.31,9.1,0.21,2.3077,59356.8,54921.692
18,002426.SZ,20200217,2.01,2.28,2.0,2.25,2.07,0.18,8.6957,2258389.5,484022.058
19,688111.SH,20200217,217.0,228.88,213.99,222.0,218.0,4.0,1.8349,22636.67,500937.618
20,688118.SH,20200217,55.55,59.97,54.5,58.48,55.3,3.18,5.7505,51882.22,297868.866
21,002442.SZ,20200217,4.42,4.58,4.41,4.56,4.4,0.16,3.6364,186275.07,83838.349
22,688196.SH,20200217,45.61,46.5,45.41,46.29,45.18,1.11,2.4568,35042.61,161159.264
23,002452.SZ,20200217,4.48,4.71,4.44,4.68,4.45,0.23,5.1685,96196.49,44382.014
24,002453.SZ,20200217,4.89,5.04,4.87,5.02,4.86,0.16,3.2922,84825.33,42263.514
25,002456.SZ,20200217,18.2,18.38,17.62,17.99,17.6,0.39,2.2159,2182515.8,3917197.791
26,688299.SH,20200217,27.5,29.47,27.2,28.18,27.14,1.04,3.832,107168.82,305040.667
27,002460.SZ,20200217,57.77,62.01,57.71,62.0,57.78,4.22,7.3036,634668.93,3775872.118
28,688333.SH,20200217,58.99,69.55,58.99,69.55,57.96,11.59,19.9965,44179.35,285551.521
29,688363.SH,20200217,84.76,86.9,84.02,86.54,84.7,1.84,2.1724,23147.36,199199.654
30,002468.SZ,20200217,19.75,21.02,19.5,20.8,19.11,1.69,8.8435,447507.58,921414.116
31,688389.SH,20200217,24.3,25.4,23.86,24.72,24.32,0.4,1.6447,48667.82,120223.604
32,002471.SZ,20200217,2.02,2.21,2.02,2.21,2.01,0.2,9.9502,360758.9,78137.82
33,002475.SZ,20200217,44.45,46.22,44.43,46.16,44.36,1.8,4.0577,845440.25,3844669.787
34,002496.SZ,20200217,2.77,2.95,2.77,2.87,2.69,0.18,6.6914,513414.5,146747.714
35,002501.SZ,20200217,1.85,1.91,1.84,1.86,1.86,0.0,0.0,123381.77,23041.499
36,002502.SZ,20200217,2.62,2.71,2.61,2.71,2.61,0.1,3.8314,124977.89,33503.349
37,002504.SZ,20200217,2.66,2.75,2.64,2.75,2.67,0.08,2.9963,94037.11,25504.688
38,002506.SZ,20200217,5.49,5.63,5.43,5.55,5.42,0.13,2.3985,930056.29,514585.188
39,002507.SZ,20200217,25.55,25.99,25.39,25.69,25.62,0.07,0.2732,114903.52,294381.925
40,002519.SZ,20200217,3.87,4.02,3.84,4.01,3.84,0.17,4.4271,201079.58,79620.322
41,002526.SZ,20200217,2.06,2.2,2.05,2.16,2.05,0.11,5.3659,631924.94,133944.676
42,002534.SZ,20200217,7.29,7.54,7.25,7.5,7.26,0.24,3.3058,27301.11,20338.778
43,002546.SZ,20200217,3.84,3.96,3.83,3.94,3.86,0.08,2.0725,80846.11,31648.577
44,002561.SZ,20200217,7.26,7.42,7.25,7.41,7.26,0.15,2.0661,18787.59,13842.2
45,002568.SZ,20200217,26.5,27.3,26.33,26.76,26.59,0.17,0.6393,33840.5,90960.044
46,002576.SZ,20200217,8.78,9.25,8.78,9.19,8.8,0.39,4.4318,28704.0,26084.895
47,300470.SZ,20200217,26.33,28.82,26.33,28.46,26.34,2.12,8.0486,43432.5,121715.276
48,300473.SZ,20200217,28.6,29.39,28.6,29.39,28.56,0.83,2.9062,56010.8,163077.672
49,300474.SZ,20200217,67.3,68.79,65.56,68.6,66.11,2.49,3.7664,94134.11,635953.225
50,300478.SZ,20200217,11.26,11.49,10.99,11.49,10.88,0.61,5.6066,20306.9,22803.999
51,300511.SZ,20200217,7.99,8.3,7.9,8.07,8.01,0.06,0.7491,169022.57,136998.81
52,300515.SZ,20200217,8.66,9.05,8.66,9.05,8.66,0.39,4.5035,24596.09,21978.099
53,300531.SZ,20200217,16.48,17.13,16.4,17.1,16.39,0.71,4.3319,55964.03,94668.727
54,300545.SZ,20200217,32.11,35.16,32.07,35.16,31.96,3.2,10.0125,44051.16,147945.96
55,300559.SZ,20200217,31.66,32.45,31.35,32.25,31.55,0.7,2.2187,43217.34,138437.306
56,300561.SZ,20200217,14.15,14.7,14.11,14.7,14.07,0.63,4.4776,91420.34,132913.453
57,300579.SZ,20200217,42.89,44.83,42.89,44.3,42.99,1.31,3.0472,82573.08,364330.243
58,300583.SZ,20200217,31.82,32.28,31.5,32.09,31.41,0.68,2.1649,8194.0,26067.492
59,300593.SZ,20200217,17.96,19.58,17.91,19.58,17.8,1.78,10.0,72944.34,138606.697
60,300606.SZ,20200217,23.61,24.2,23.38,23.6,23.41,0.19,0.8116,23891.0,56518.759
61,300613.SZ,20200217,179.0,182.12,176.91,180.92,178.7,2.22,1.2423,14378.82,258187.25
62,300616.SZ,20200217,67.41,73.47,66.59,73.47,66.79,6.68,10.0015,11365.88,80520.106
63,300620.SZ,20200217,37.6,39.39,37.6,39.22,37.6,1.62,4.3085,13624.0,52794.881
64,300633.SZ,20200217,26.0,26.94,26.0,26.82,26.27,0.55,2.0936,16891.89,44737.547
65,300634.SZ,20200217,18.57,19.0,18.35,19.0,18.33,0.67,3.6552,45103.72,84539.212
66,300664.SZ,20200217,13.78,13.79,13.55,13.66,13.59,0.07,0.5151,102526.55,139944.144
