,163817.OF,000008.OF,000051.OF,006104.OF
2021-05-20,2.695,1.87799996,1.7422,1.61813272
2021-05-21,2.688,1.87284813,1.7258,1.61746545
2021-05-24,2.688,1.87747427,1.7326,1.62213635
2021-05-25,2.727,1.89829187,1.7847,1.64204328
2021-05-26,2.741,1.90092035,1.7853,1.64582448
2021-05-27,2.749,1.91669126,1.7909,1.65928112
2021-05-28,2.75,1.9128011,1.7857,1.65583355
2021-05-31,2.777,1.92951827,1.7893,1.67017988
2021-06-01,2.775,1.93288273,1.7924,1.68007774
2021-06-02,2.756,1.91774266,1.7766,1.66339595
2021-06-03,2.746,1.91448333,1.7659,1.65972596
2021-06-04,2.755,1.92184309,1.7753,1.66417444
2021-06-07,2.75,1.92962341,1.7741,1.67807592
2021-06-08,2.731,1.92047628,1.7597,1.66962382
2021-06-09,2.73,1.9232099,1.7617,1.67852077
2021-06-10,2.754,1.94297611,1.7736,1.69342316
2021-06-11,2.74,1.92951827,1.7598,1.68274682
2021-06-15,2.723,1.91269596,1.7407,1.66984624
2021-06-16,2.676,1.88641111,1.7136,1.64170964
2021-06-17,2.687,1.90102549,1.7215,1.65694567
2021-06-18,2.713,1.91416792,1.7225,1.66728837
2021-06-21,2.751,1.92794118,1.7187,1.6797441
2021-06-22,2.783,1.93750886,1.729,1.68830741
2021-06-23,2.789,1.95212324,1.7376,1.70632374
2021-06-24,2.783,1.94297611,1.7406,1.69631467
2021-06-25,2.802,1.96021897,1.7688,1.71733371
2021-06-28,2.816,1.96463483,1.7724,1.72556339
2021-06-29,2.802,1.94791766,1.7539,1.71633281
2021-06-30,2.815,1.96011383,1.7655,1.72945581
2021-07-01,2.807,1.93551121,1.7672,1.710661
2021-07-02,2.777,1.91963517,1.7194,1.69409043
2021-07-05,2.797,1.9346701,1.7208,1.70721343
2021-07-06,2.786,1.93445982,1.7212,1.7040995
2021-07-07,2.85,1.95086157,1.7402,1.72889975
2021-07-08,2.856,1.94781252,1.7241,1.72511854
2021-07-09,2.89,1.96379371,1.7195,1.74257881
2021-07-12,2.963,1.99091968,1.7402,1.77027056
2021-07-13,2.976,2.00700601,1.7453,1.78139175
2021-07-14,2.938,1.99060426,1.7264,1.76793511
2021-07-15,2.947,1.99975139,1.7487,1.776276
2021-07-16,2.934,1.99901541,1.7317,1.77583116
2021-07-19,2.89,1.98955287,1.7377,1.77049299
2021-07-20,2.9,1.99312761,1.7363,1.76826875
2021-07-21,2.973,2.01594286,1.7484,1.78817567
2021-07-22,2.991,2.028875,1.7511,1.80519109
2021-07-23,2.97,2.01888676,1.7311,1.79273536
2021-07-26,2.943,1.98660896,1.6779,1.77027056
2021-07-27,2.855,1.94655085,1.622,1.7265643
2021-07-28,2.847,1.91984544,1.6249,1.70354344
2021-07-29,2.957,1.95748535,1.6543,1.74269002
2021-07-30,2.953,1.96000869,1.6422,1.75425605
2021-08-02,2.981,1.98881689,1.682,1.78128054
2021-08-03,2.927,1.97357168,1.6822,1.76637815
2021-08-04,2.99,2.00542892,1.6966,1.80040898
2021-08-05,3.004,2.00069764,1.6869,1.79206809
2021-08-06,3.028,2.0075317,1.6785,1.80107625
2021-08-09,2.991,2.01878162,1.6992,1.81820288
2021-08-10,3.001,2.02950584,1.7178,1.8249868
2021-08-11,3.012,2.04485619,1.709,1.83833223
2021-08-12,3.022,2.05105942,1.6954,1.85367947
2021-08-13,3.003,2.04948232,1.6868,1.84911978
2021-08-16,2.958,2.03991464,1.6858,1.84355919
2021-08-17,2.894,1.99701776,1.6523,1.80730412
2021-08-18,2.899,2.00963449,1.671,1.82242893
2021-08-19,2.932,2.01142186,1.6606,1.82153924
2021-08-20,2.929,2.0040621,1.6313,1.81964863
2021-08-23,2.98,2.03297544,1.6541,1.84900857
2021-08-24,3.022,2.05147997,1.6712,1.87069488
2021-08-25,3.032,2.06830228,1.675,1.88459637
2021-08-26,3.029,2.05947057,1.6436,1.87447609
2021-08-27,3.053,2.07618773,1.6519,1.88259455
2021-08-30,3.086,2.08869932,1.6473,1.89138029
2021-08-31,3.065,2.0964,1.6449,1.9019
2021-09-01,3.026,2.07913164,1.6659,1.88092637
2021-09-02,3.093,2.11035804,1.666,1.90428087
2021-09-03,3.025,2.10268286,1.6575,1.88704303
2021-09-06,3.044,2.1236056,1.6869,1.90806207
2021-09-07,3.114,2.16397913,1.7063,1.95098985
2021-09-08,3.092,2.17649072,1.6996,1.95755135
2021-09-09,3.082,2.19657234,1.6987,1.97890403
2021-09-10,3.112,2.19446956,1.713,1.97901524
