,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,002529.SZ,20200219,5.52,3.0556,5.0521,1.05,,,1.0617,5.9658,5.1866,0.0,,26000.0,26000.0,15725.427,143520.0,143520.0
1,000829.SZ,20200219,5.74,1.0159,1.6884,0.94,,,2.3609,0.1402,0.1215,0.0,,103732.5399,92959.7944,55931.9427,595424.779,533589.2199
2,002585.SZ,20200219,4.49,1.9195,2.4563,1.26,16.1559,26.9147,0.6828,1.3458,1.2171,4.4543,4.4543,115627.8085,85219.2212,66595.441,519168.8602,382634.3032
3,002831.SZ,20200219,28.2,0.3741,1.2273,0.91,26.1577,24.4562,4.1254,2.8834,2.6119,0.9644,0.9644,87709.8616,87466.3559,26659.2137,2473418.0971,2466551.2364
4,603236.SH,20200219,242.05,4.7695,4.7695,0.96,119.5999,131.9573,13.0193,7.9905,5.843,0.0,,8918.0,2230.0,2230.0,2158601.9,539771.5
5,600891.SH,20200219,1.25,1.4426,1.8029,0.78,,,,0.1634,,0.0,,61758.5803,38424.2051,30744.9819,77198.2254,48030.2564
6,002463.SZ,20200219,24.28,6.0935,9.262,1.11,73.4092,40.3255,8.7757,7.6182,6.2893,0.412,0.412,172471.7363,168828.6541,111072.0938,4187613.7574,4099159.7215
7,603959.SH,20200219,10.48,4.08,9.9513,1.03,30.6618,36.9999,4.032,3.8904,3.0071,0.6543,0.6543,43904.0,43904.0,18000.64,460113.92,460113.92
8,300624.SZ,20200219,82.45,11.0303,15.3639,1.61,81.2131,66.4899,9.3378,12.2904,9.9002,0.3022,0.3022,8142.75,4979.666,3575.0878,671369.7375,410573.4617
9,000839.SZ,20200219,3.37,1.6635,2.6176,1.38,6.5846,6.3442,1.4496,3.3238,3.8428,0.0,,391982.6352,391900.7202,249051.8857,1320981.4806,1320705.4271
10,300274.SZ,20200219,12.8,7.3053,8.8617,1.17,23.0361,24.6426,2.2498,1.7987,1.5662,0.4693,0.4693,145708.685,107451.4101,88579.0581,1865071.168,1375378.0493
11,600152.SH,20200219,7.38,9.0802,14.4042,1.62,56.9149,,2.2525,1.9382,2.0438,0.0,,42092.0087,30027.419,18928.8738,310639.0242,221602.3522
12,300049.SZ,20200219,8.35,3.3748,4.1068,0.85,62.0196,2426.2398,1.6247,2.5334,2.5612,0.0,,26305.31,22802.4122,18738.4467,219649.3385,190400.1419
13,600540.SH,20200219,4.01,4.4269,7.6555,1.44,92.7325,,3.0124,1.4713,1.7868,0.0,,47092.3313,47092.3313,27232.0354,188840.2485,188840.2485
14,002686.SZ,20200219,5.52,0.582,0.9468,0.99,93.429,,1.5826,1.5908,1.6929,0.3623,0.3623,43556.8564,34077.8014,20946.8002,240433.8473,188109.4637
15,300810.SZ,20200219,66.39,14.2183,14.2183,1.33,60.8917,47.5824,5.4133,17.5149,16.169,,,7870.0,1970.0,1970.0,522489.3,130788.3
16,603327.SH,20200219,32.2,16.7548,16.7548,0.94,81.0507,52.2948,10.5824,13.1192,10.9898,,,40100.0,5100.0,5100.0,1291220.0,164220.0
17,601311.SH,20200219,9.92,2.695,5.1837,1.07,15.3167,14.2506,1.3755,0.929,0.9186,1.5047,1.5047,86382.3718,86382.3718,44909.3986,856913.1283,856913.1283
18,600358.SH,20200219,3.98,2.3653,3.5845,2.29,,,4.4577,7.3029,5.9968,0.0,,50493.666,50493.666,33319.7,200964.7907,200964.7907
19,300648.SZ,20200219,17.17,5.3345,5.3345,0.88,113.3199,994.673,4.3479,7.6788,6.9268,0.0874,0.0874,13540.0,6004.1338,6004.1338,232481.8,103090.9773
20,002382.SZ,20200219,16.06,4.8056,7.0528,1.01,44.6545,33.5575,1.8509,5.8355,4.4767,0.2491,0.2491,96403.1086,64036.6838,43632.7502,1548233.9241,1028429.1418
21,002963.SZ,20200219,29.93,6.1838,6.1838,1.23,26.3464,16.288,2.7634,4.8814,3.4348,,,15035.993,3759.0,3759.0,450027.2705,112506.87
