,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,300682.SZ,20201209,16.18,1.7294,3.8065,1.31,16.1976,25.8215,3.4644,5.5668,5.2969,0.2116,0.4118,102127.5726,69999.8276,31802.8456,1652424.1247,1132597.2106
1,300225.SZ,20201209,14.54,13.9136,19.1069,1.85,236.4649,101.5874,7.2569,8.7437,8.4135,0.0,0.0661,48920.53,46728.8643,34027.8043,711304.5062,679437.6869
2,002494.SZ,20201209,4.37,2.0428,2.3186,1.38,99.7586,,0.9356,3.5309,4.7909,0.2288,,38556.0818,29502.0038,25992.5945,168490.0775,128923.7566
3,002575.SZ,20201209,3.49,1.1234,1.6045,1.45,,,3.0921,61.62,68.9835,0.0,,61872.0,58872.0,41216.89,215933.28,205463.28
4,300157.SZ,20201209,4.16,1.8426,2.7043,0.97,,,1.2619,2.7838,4.0925,0.0,,71211.3257,70706.9951,48177.6592,296239.1149,294141.0996
5,600651.SH,20201209,3.63,0.4543,0.5835,1.25,,,3.1295,3.1086,2.3243,0.0,,250702.8015,98522.0002,76713.4489,910051.1694,357634.8607
6,300538.SZ,20201209,23.24,6.647,10.4218,0.51,89.3826,111.2177,7.6406,1.9712,1.5321,0.3589,0.4303,15159.8811,7745.5674,4940.082,352315.6368,180006.9864
7,002552.SZ,20201209,13.89,0.5271,1.3693,0.81,75.865,566.0958,6.3494,12.4969,11.9374,0.0,,30623.2338,23134.4046,8904.4168,425356.7175,321336.8799
8,600082.SH,20201209,3.23,0.6391,0.9097,1.44,139.3443,,1.2481,3.0797,4.3476,0.0,,64611.5826,63428.9782,44563.224,208695.4118,204875.5996
9,002103.SZ,20201209,5.03,1.3604,2.5488,1.0,209.359,433.6704,2.6012,1.2412,1.1023,0.0,,53427.2953,36109.1316,19271.8935,268739.2954,181628.9319
10,300609.SZ,20201209,24.25,2.9421,3.7438,1.11,43.1912,975.022,2.4863,9.1029,10.772,0.8437,1.0277,12192.239,11057.2597,8689.4458,295661.7958,268138.5477
11,002479.SZ,20201209,5.96,1.2559,1.9118,1.38,17.6351,18.596,1.381,1.2872,1.0874,0.8428,2.5092,88888.8,88214.422,57950.8862,529777.248,525757.9551
12,002123.SZ,20201209,16.79,4.7553,5.0709,2.41,,,3.1644,4.2522,4.4536,0.0,,81060.1186,66373.8076,62242.3732,1360999.3913,1114416.2296
13,002049.SZ,20201209,112.59,2.7746,4.1259,1.25,168.3787,94.2051,14.1724,19.9165,20.9468,0.0515,0.0604,60681.7968,60604.0767,40755.7067,6832163.5017,6823412.9957
14,000565.SZ,20201209,5.17,0.8565,1.4406,1.08,34.5368,54.1345,1.9197,4.739,5.1872,0.2515,0.2901,43359.222,43359.222,25778.3238,224167.1777,224167.1777
15,002434.SZ,20201209,9.0,1.2125,2.6319,0.9,30.1251,21.4781,1.8433,2.3648,2.0277,1.6326,1.0884,134000.0,117377.2044,54074.63,1206000.0,1056394.8396
16,000523.SZ,20201209,3.69,1.4622,2.6734,0.92,37.7404,,3.1891,0.1868,0.2768,0.542,0.542,62753.3125,62695.3976,34291.4294,231559.7231,231346.0171
17,002530.SZ,20201209,7.9,0.8939,1.9515,1.32,,,1.7994,4.876,5.0925,0.0,,77919.8175,63688.1461,29173.1544,615566.5583,503136.3542
18,688219.SH,20201209,24.32,9.015,9.015,0.7,102.608,64.8449,6.7742,2.7706,2.7228,,,45928.3632,4149.0958,4149.0958,1116977.793,100906.0099
19,601238.SH,20201209,13.0,0.6084,2.6482,0.97,20.1122,25.1859,1.6069,2.2469,2.2408,2.5378,1.3846,1023793.04,713931.0095,164017.0026,13309309.52,9281103.1235
20,600028.SH,20201209,4.07,0.082,0.6102,0.74,8.5562,13.0301,0.6837,0.1661,0.2154,9.3366,6.3882,12107120.9646,9555777.1046,1284854.3653,49275982.3259,38892012.8157
21,300202.SZ,20201209,10.28,2.8066,4.3911,1.17,149.0599,215.8066,3.5063,8.4437,9.6112,0.0,0.7782,54950.4,44622.1971,28520.9835,564890.112,458716.1862
22,603389.SH,20201209,3.86,0.2474,0.8605,0.87,,,1.622,2.7238,3.6479,0.0,,26275.2,26275.2,7555.2,101422.272,101422.272
23,605018.SH,20201209,15.07,7.0643,7.0643,0.89,30.5544,34.916,3.3907,4.3888,4.6177,,,41668.0,4168.0,4168.0,627936.76,62811.76
24,002132.SZ,20201209,3.25,3.1255,4.37,0.97,48.1302,68.9895,1.4865,1.206,1.3791,1.49,1.49,125649.8403,125341.4703,89646.0098,408361.981,407359.7785
25,688020.SH,20201209,93.63,2.3322,2.9313,1.38,58.2195,62.921,4.7465,25.679,27.2205,,,8000.0,3666.2518,2916.9846,749040.0,343271.156
26,300756.SZ,20201209,24.09,1.9531,1.9531,0.9,22.4316,55.26,2.3281,3.9284,5.8963,1.3027,0.9488,10196.62,3336.1658,3336.1658,245636.5758,80368.2341
27,000892.SZ,20201209,3.02,0.7847,0.8703,0.97,,,1.1827,5.4857,7.0564,0.0,,98098.0473,53817.6216,48524.6118,296256.1028,162529.2172
28,603063.SH,20201209,15.77,3.5004,5.5888,1.15,102.8704,26.5981,2.4719,3.8205,3.1813,0.0947,0.101,43275.0568,42640.2568,26706.8168,682447.6457,672436.8497
29,000659.SZ,20201209,2.6,0.8048,1.104,0.7,184.9957,303.1849,4.6849,2.1455,2.5244,0.0,,128570.252,128570.252,93726.8112,334282.6552,334282.6552
30,600658.SH,20201209,5.85,0.8521,1.9218,0.95,18.6445,10.1516,0.9509,3.5858,2.0294,2.3419,2.2906,111858.5045,111858.5045,49598.5174,654372.2513,654372.2513
31,603906.SH,20201209,28.41,1.1101,2.6747,0.7,76.3638,55.0554,5.2771,5.6798,5.2121,0.334,0.3981,34245.717,34101.861,14154.1578,972920.82,968833.871
32,002718.SZ,20201209,17.25,2.0303,3.7398,0.93,23.5055,20.9467,1.7445,3.207,3.2334,1.1594,0.8696,13144.7829,6637.4502,3603.3326,226747.505,114496.016
33,300835.SZ,20201209,61.62,9.7765,9.7765,0.98,51.4574,72.1789,5.3737,7.903,8.283,,0.8114,7067.0,1767.0,1767.0,435468.54,108882.54
34,300124.SZ,20201209,84.03,0.5907,0.7741,0.79,151.8047,80.0942,14.573,19.5536,13.6579,0.23,0.2142,171972.344,138144.0471,105413.1094,14450836.0663,11608244.2778
35,002729.SZ,20201209,44.01,1.2998,3.872,1.55,135.8044,158.9257,6.4728,16.4793,17.8775,0.1591,0.1591,6668.0,6668.0,2238.456,293458.68,293458.68
36,000045.SZ,20201209,7.63,1.0406,2.2995,1.4,196.8659,137.2275,1.4063,1.7952,1.9463,0.0,,50777.2279,45701.7874,20681.9406,387430.2489,348704.6379
37,603693.SH,20201209,11.22,1.6058,2.6264,1.54,27.3041,16.796,1.4296,4.6712,4.3483,1.7825,1.3369,61800.0,19300.0,11800.0,693396.0,216546.0
38,600418.SH,20201209,11.5,18.4738,27.2317,1.99,205.3775,814.5549,1.6806,0.4605,0.4341,0.0,0.1478,189331.2117,189331.2117,128440.9962,2177308.9346,2177308.9346
39,600557.SH,20201209,11.64,0.9218,1.4857,2.03,13.6119,21.4732,1.6856,1.5115,1.9881,0.6873,0.6873,59288.1038,59288.1038,36783.3772,690113.5282,690113.5282
40,002884.SZ,20201209,25.8,0.8115,1.1147,0.63,23.9127,19.0181,3.4793,5.7379,5.0586,2.7734,3.876,25245.7018,21749.3262,15834.2152,651339.1064,561132.616
41,603678.SH,20201209,54.65,1.5812,2.7388,0.99,64.855,47.9441,7.1249,9.628,7.4584,0.183,0.3101,45266.595,45266.595,26134.5355,2473819.4168,2473819.4168
42,600383.SH,20201209,14.17,0.3598,0.3902,0.58,6.3494,6.6343,1.218,1.0141,1.0483,4.2343,4.7283,451458.3572,451458.3572,416280.5943,6397164.9215,6397164.9215
43,300303.SZ,20201209,6.11,2.7203,3.2245,0.7,25.3175,27.3952,3.3656,3.1149,3.3264,0.7334,1.6367,127802.3219,114505.934,96599.4786,780872.1868,699631.2567
44,000863.SZ,20201209,5.0,0.5538,1.0993,0.73,21.7167,55.1147,1.2786,3.0822,1.639,0.0,7.7094,122520.816,122511.7252,61721.2207,612604.08,612558.626
45,600683.SH,20201209,4.23,0.3617,0.8775,0.81,40.7954,15.8244,1.0075,0.7241,0.5124,4.7281,,74077.7597,74077.7597,30535.247,313348.9235,313348.9235
46,000728.SZ,20201209,8.74,1.6247,2.6283,0.73,41.7115,29.4522,1.2474,11.923,8.5032,2.206,1.3236,436377.7891,429129.033,265267.3456,3813941.8767,3750587.7484
47,000420.SZ,20201209,2.03,0.7105,1.3321,0.72,44.0044,,1.4287,1.4869,1.6659,0.0,,197070.6656,196965.6614,105057.4659,400053.4512,399840.2926
48,000989.SZ,20201209,8.3,0.7518,1.2497,1.12,37.5527,31.1851,1.8593,2.2664,2.0658,4.6562,4.6562,86935.4236,58875.7592,35419.3391,721564.0159,488668.8014
49,601179.SH,20201209,4.36,0.2425,0.7121,0.7,54.0824,66.8042,1.1285,1.4623,1.4745,0.7798,1.1468,512588.2352,512588.2352,174567.4299,2234884.7055,2234884.7055
50,002194.SZ,20201209,14.74,1.9632,3.6285,1.13,38.2938,33.0836,4.8458,5.8186,6.142,0.28,0.28,67633.9106,49235.1796,26638.1365,996923.8422,725726.5473
51,300567.SZ,20201209,49.06,2.8376,3.3259,0.9,44.8713,60.1641,7.7936,6.204,6.9188,0.676,0.6097,24668.304,16930.2309,14444.5731,1210226.9942,830597.128
