,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,000001.SZ,20200804,14.04,1.2603,2.8434,1.94,9.6634,9.2999,0.9794,1.9749,1.8999,0.9138,1.5527,1940591.8198,1940575.268,860111.1956,27245909.15,27245676.7627
1,000002.SZ,20200804,27.74,1.2829,1.9257,1.53,8.2907,8.2633,1.6457,0.876,0.8774,3.7675,3.7675,1161773.2201,971517.0043,647235.9252,32227589.1256,26949881.6993
2,000004.SZ,20200804,29.35,4.115,5.7513,1.28,1562.9944,3094.7473,3.4701,44.7524,197.3483,0.0,,16505.2625,8392.0684,6004.3836,484429.4544,246307.2075
3,000005.SZ,20200804,3.03,1.7123,2.1937,1.73,18.3605,18.7071,2.0906,5.804,6.2328,0.0,,105853.6842,105794.6242,82576.0487,320736.6631,320557.7113
4,000006.SZ,20200804,9.04,9.173,14.343,2.16,15.2328,14.915,1.843,3.2707,3.074,2.1571,1.9801,134999.5046,134830.7972,86230.9824,1220395.5216,1218870.4067
5,000007.SZ,20200804,8.79,3.3058,5.219,1.66,136.6361,,16.3247,72.4707,73.2979,0.0,,34644.8044,30894.8044,19569.4167,304527.8307,271565.3307
6,000008.SZ,20200804,3.11,1.3265,2.1823,1.37,19.9095,27.5046,1.1811,2.6857,2.8535,0.3194,0.3141,278079.5346,266529.7419,162009.8594,864827.3526,828907.4973
7,000009.SZ,20200804,8.52,3.8858,4.6129,0.67,72.9733,79.8397,3.9517,1.8391,1.9407,0.1956,,257921.3965,254383.6879,214287.5327,2197490.2982,2167349.0209
8,000010.SZ,20200804,4.1,2.4463,2.6117,1.68,72.3275,105.363,7.713,1.7756,1.9059,0.0,,81985.4713,52217.1498,48909.8798,336140.4323,214090.3142
9,000011.SZ,20200804,29.41,10.2042,36.7728,2.02,21.4327,19.6634,5.6835,4.4243,3.9501,1.0201,1.2241,59597.9092,52647.5543,14609.332,1752774.5096,1548364.572
10,000012.SZ,20200804,6.65,8.044,8.4166,2.03,38.0666,39.6106,2.2029,1.95,2.0454,0.6966,1.0526,307069.2107,195705.9361,187042.5914,2042010.2512,1301444.4751
11,000014.SZ,20200804,13.86,9.7239,14.7369,1.57,132.5876,78.5005,3.1177,6.3807,5.3992,0.4762,0.0794,20170.5187,20170.5187,13309.1796,279563.3892,279563.3892
12,000016.SZ,20200804,7.67,4.6597,6.9345,1.75,87.1036,,2.3904,0.3351,0.3541,1.3038,0.6519,240794.5408,159657.43,107282.7368,1846894.1279,1224572.4881
13,000017.SZ,20200804,2.84,3.0933,3.9137,1.58,,,239.882,20.5969,25.4594,0.0,,55134.7947,30298.1008,23947.2261,156582.8169,86046.6063
14,000019.SZ,20200804,10.1,11.4584,17.6169,1.95,32.0235,35.7995,2.724,1.0525,1.1431,0.9901,1.9802,115253.5254,41621.6407,27071.6427,1164060.6065,420378.5711
