,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,000001.SZ,20200921,15.86,0.4618,1.0419,1.01,10.916,11.6274,1.0935,2.231,2.0732,0.8089,1.3745,1940591.8198,1940575.268,860111.1956,30777786.262,30777523.7505
1,000002.SZ,20200921,29.14,0.7464,1.1205,0.93,8.7091,8.5624,1.8418,0.9202,0.903,3.5865,3.4887,1161773.2201,971431.4935,647150.4144,33854071.6337,28307513.7206
2,000004.SZ,20200921,24.21,3.3401,4.6684,0.88,1289.2707,526.2789,2.865,36.915,73.9019,0.0,,16505.2625,8391.8684,6004.1836,399592.4051,203167.134
3,000005.SZ,20200921,2.78,0.7166,0.9181,0.93,16.8456,36.6367,1.8185,5.3252,11.2443,0.0,,105853.6842,105794.6242,82577.4301,294273.2421,294109.0553
4,000006.SZ,20200921,6.3,3.4895,5.4562,1.79,10.6158,10.4333,1.2663,2.2793,2.1371,3.0952,2.8413,134999.5046,134830.7972,86230.9824,850496.879,849434.0224
5,000007.SZ,20200921,9.29,1.2773,2.0165,0.63,144.4083,,17.9265,76.593,76.0745,0.0,,34644.8044,30894.8044,19569.4167,321850.2329,287012.7329
6,000008.SZ,20200921,3.01,0.4815,0.7921,1.03,19.2693,109.889,1.1732,2.5993,3.0848,0.33,0.3245,278079.5346,266518.2273,161998.3448,837019.3991,802219.8642
7,000009.SZ,20200921,7.62,2.5177,2.987,1.32,65.2648,65.8747,3.4935,1.6448,1.9589,0.2187,0.2625,257921.3965,255189.7988,215093.6436,1965361.0413,1944546.2669
8,000010.SZ,20200921,4.16,0.9185,1.0659,0.98,73.3859,75.6895,7.4491,1.8016,1.7282,0.0,,81985.4713,52217.1498,44997.6834,341059.5606,217223.3432
9,000011.SZ,20200921,18.55,5.7227,19.8142,1.82,13.5184,11.9386,3.5142,2.7906,2.3891,1.6173,1.9407,59597.9092,52647.5543,15205.6342,1105541.2157,976612.1323
10,000012.SZ,20200921,5.59,1.1052,1.1564,1.38,31.9988,31.1779,1.8151,1.6391,1.7151,0.8287,1.2522,307069.2107,195705.9361,187042.5914,1716516.8878,1093996.1828
