,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,000001.SZ,20200703,14.25,1.9419,4.3812,2.42,9.8079,9.439,0.9941,2.0045,1.9283,0.9003,1.5298,1940591.8198,1940575.268,860111.1956,27653433.4322,27653197.569
1,000002.SZ,20200703,28.65,1.7955,2.6951,1.12,8.5626,8.5344,1.6997,0.9047,0.9062,3.6478,3.6478,1161773.2201,971517.0043,647235.9252,33284802.7559,27833962.1732
2,000004.SZ,20200703,28.46,6.7056,9.3722,1.24,1515.5986,3000.9032,3.3649,43.3953,191.364,0.0,,16505.2625,8392.0684,6004.3836,469739.7708,238838.2667
3,000005.SZ,20200703,2.72,0.9222,1.1816,1.59,16.482,16.7932,1.8767,5.2102,5.5951,0.0,,105853.6842,105794.6242,82576.0487,287922.021,287761.3778
4,000006.SZ,20200703,7.51,6.5392,10.2247,1.06,12.6547,12.3907,1.5311,2.7171,2.5537,2.5965,2.3835,134999.5046,134830.7972,86230.9824,1013846.2795,1012579.287
5,000007.SZ,20200703,8.73,1.5746,2.4858,0.98,135.7034,,16.2132,71.976,72.7976,0.0,,34644.8044,30894.8044,19569.4167,302449.1424,269711.6424
6,000008.SZ,20200703,3.07,1.3212,2.1103,1.97,19.6534,27.1509,1.166,2.6511,2.8168,0.3236,0.3182,278079.5346,266529.7419,166869.6652,853704.1712,818246.3076
7,000009.SZ,20200703,8.56,3.0407,3.6959,0.91,73.3159,80.2145,3.9702,1.8477,1.9498,0.1947,0.1947,257921.3965,254383.6879,209287.5349,2207807.154,2177524.3684
8,000010.SZ,20200703,3.79,0.265,0.283,0.91,66.8588,97.3965,7.1298,1.6414,1.7618,0.0,,81985.4713,52217.1498,48909.8798,310724.9362,197902.9977
9,000011.SZ,20200703,15.99,4.5475,16.3879,0.77,11.6528,10.6909,3.0901,2.4055,2.1476,1.8762,2.2514,59597.9092,52647.5543,14609.332,952970.5681,841834.3933
10,000012.SZ,20200703,5.08,2.741,2.8679,1.36,29.0795,30.2589,1.6829,1.4896,1.5625,0.9119,1.378,307069.2107,195705.9361,187042.5914,1559911.5904,994186.1554
11,000014.SZ,20200703,10.93,3.2998,5.0009,0.7,104.5586,61.9056,2.4586,5.0318,4.2578,0.6038,0.1006,20170.5187,20170.5187,13309.1796,220463.7694,220463.7694
12,000016.SZ,20200703,7.37,7.6916,11.4466,1.65,83.6967,,2.2617,0.322,0.3403,1.3569,1.3569,240794.5408,159657.43,107282.7368,1774655.7657,1176675.2591
13,000017.SZ,20200703,2.36,1.3423,1.6982,1.14,,,199.3385,17.1157,21.1564,0.0,,55134.7947,30298.1008,23947.2261,130118.1155,71503.5179
14,000019.SZ,20200703,8.25,6.2324,9.5821,1.47,26.1578,29.2422,2.2251,0.8597,0.9337,1.2121,2.4242,115253.5254,41621.6407,27071.6427,950841.5846,343378.5358
15,000020.SZ,20200703,11.85,5.3407,15.637,1.1,614.5477,698.8979,10.1981,4.6503,5.0425,0.0,,28316.1227,18116.5391,6187.5497,335546.054,214680.9883
16,000021.SZ,20200703,22.77,3.5813,6.6927,0.84,95.0907,101.5693,4.8749,2.5334,2.5958,0.4392,0.2635,147125.9363,146932.7064,78623.0917,3350057.5696,3345657.7247
17,000023.SZ,20200703,15.93,1.0847,1.6766,0.69,43.4905,90.5775,4.7803,1.2075,1.3194,0.3766,0.3766,13875.624,13875.624,8977.5024,221038.6903,221038.6903
18,000025.SZ,20200703,18.58,1.8348,6.6483,1.32,36.4596,38.7171,6.3662,14.0246,14.911,0.0,0.226,43105.832,39277.832,10840.0358,800906.3586,729782.1186
19,000026.SZ,20200703,9.08,1.9993,3.6811,1.94,18.0067,28.0555,1.5802,1.0496,1.1437,2.212,4.4146,42817.1881,35671.6368,19373.9041,388780.0679,323898.4621
20,000027.SZ,20200703,4.91,0.5737,2.1894,1.8,13.7306,15.1384,0.7884,1.1221,1.1435,0.8486,0.8486,475738.9916,475738.9916,124668.8147,2335878.4488,2335878.4488
21,000028.SZ,20200703,46.7,1.9557,5.3976,0.87,15.727,16.3889,1.5613,0.3842,0.3773,0.8565,1.2848,42812.6983,36773.3625,13323.9404,1999353.0106,1717316.0288
22,000030.SZ,20200703,6.11,1.1954,3.8102,1.06,12.4158,13.721,1.7062,1.0992,1.1284,2.4117,2.6736,181055.2111,175988.087,55216.3837,1106247.3398,1075287.2116
23,000031.SZ,20200703,5.39,1.2917,2.4497,1.96,9.7136,16.8522,1.1975,0.6838,0.7495,1.8692,,428631.3339,181372.2958,95636.8818,2310322.8897,977596.6744
24,000032.SZ,20200703,21.0,1.6539,4.0944,0.73,64.7816,69.7519,5.9669,5.7807,6.3836,0.381,0.381,41321.9661,41128.366,16613.138,867761.2881,863695.686
25,000034.SZ,20200703,25.04,5.644,7.385,1.22,23.35,23.9644,3.7906,0.1887,0.1973,1.0034,0.838,65407.0434,49089.3581,37516.3039,1637792.3667,1229197.5268
26,000035.SZ,20200703,5.25,0.792,1.0604,2.05,18.5832,17.876,1.2387,0.7129,0.6503,0.0,,252377.7297,236830.4444,176890.7763,1324983.0809,1243359.8331
27,000036.SZ,20200703,4.76,2.2213,3.3315,1.7,8.6396,8.2495,1.3433,2.2292,1.8758,9.6962,,148393.4025,147900.0654,98613.2894,706352.5959,704004.3113
28,000037.SZ,20200703,12.47,0.6308,1.0683,0.73,301.8538,191.4965,3.8025,6.148,5.7894,0.0,0.1604,60276.2596,33889.4011,20012.1057,751644.9572,422600.8317
29,000038.SZ,20200703,12.13,8.2855,12.3304,1.08,51.8165,45.6906,2.2837,3.456,4.2137,0.0,,52277.7419,23207.6797,15594.4852,634129.0092,281509.1548
30,000039.SZ,20200703,7.62,1.2891,1.9531,1.98,17.7185,55.1932,0.7976,0.3184,0.331,6.0009,1.5748,358607.4802,152533.264,100672.6428,2732588.9991,1162303.4717
31,000040.SZ,20200703,3.03,4.0912,4.8009,2.28,,,0.3369,0.662,0.8764,2.4752,2.4752,148687.387,106034.067,90359.3956,450522.7826,321283.223
32,000042.SZ,20200703,10.68,0.2509,0.7996,1.39,9.0202,14.7791,0.9489,0.9844,1.0959,0.9363,,66483.1139,66214.9964,20773.5049,710039.6565,707176.1616
33,000045.SZ,20200703,7.89,1.6516,3.6497,0.68,204.2022,1157.8275,1.476,1.8621,2.0615,0.0,,50933.8429,45701.6599,20681.8131,401868.0205,360586.0966
34,000046.SZ,20200703,4.23,0.7681,2.4591,2.67,20.0758,,1.0244,7.265,8.8253,3.5461,3.5461,519620.0656,517508.8333,161641.5425,2197992.8775,2189062.3649
35,000048.SZ,20200703,24.44,0.286,1.0038,1.05,8.9359,9.3743,4.3813,1.9999,2.1324,,,40249.1731,40242.8671,11465.0117,983689.7906,983535.6719
36,000049.SZ,20200703,49.15,1.748,3.1914,0.63,20.2791,21.1484,4.8396,0.5522,0.57,0.5039,1.4242,20719.7738,20524.3738,11241.6699,1018376.8823,1008772.9723
37,000050.SZ,20200703,15.46,1.6332,3.5014,1.01,38.1786,37.6403,1.1796,1.0456,1.0584,0.4528,0.5175,204812.3051,182892.0459,85308.1486,3166398.2368,2827511.0296
38,000055.SZ,20200703,4.55,1.9635,2.4818,1.13,14.2383,13.2913,0.9707,1.6474,1.8012,4.3956,1.0989,108827.8951,67827.2529,53663.3187,495166.9227,308614.0007
39,000056.SZ,20200703,3.96,0.9393,2.7125,0.54,91.9177,730.9591,0.8531,4.9013,5.3495,0.2522,0.2522,117452.872,90372.8783,31292.7578,465113.3731,357876.5981
40,000058.SZ,20200703,7.58,4.198,7.8355,0.68,119.3958,1427.2433,4.962,6.2725,7.1536,0.4617,0.4617,123565.6249,53801.3278,28825.1758,936627.4367,407814.0647
