,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,000001.SZ,20200929,14.8,0.6093,1.3747,1.57,10.1865,10.8503,1.0204,2.0818,1.9346,0.8669,1.473,1940591.8198,1940575.268,860111.1956,28720758.933,28720513.9664
1,000002.SZ,20200929,28.29,0.4251,0.6381,0.71,8.4551,8.3127,1.7881,0.8934,0.8766,3.6942,3.5935,1161773.2201,971431.4935,647150.4144,32866564.3966,27481796.9511
2,000004.SZ,20200929,23.0,1.4845,2.0749,0.75,1224.8338,499.9759,2.7218,35.07,70.2083,0.0,,16505.2625,8391.8684,6004.1836,379621.0375,193012.9732
3,000005.SZ,20200929,2.54,0.6974,0.8935,0.81,15.3913,33.4738,1.6615,4.8654,10.2735,0.0,,105853.6842,105794.6242,82577.4301,268868.3579,268718.3455
4,000006.SZ,20200929,6.47,2.3294,3.6422,1.17,10.9022,10.7149,1.3005,2.3408,2.1948,3.0139,2.7666,134999.5046,134830.7972,86230.9824,873446.7948,872355.2579
5,000007.SZ,20200929,8.99,1.401,2.2118,1.06,139.745,,17.3476,74.1196,73.6178,0.0,,34644.8044,30894.8044,19569.4167,311456.7916,277744.2916
6,000008.SZ,20200929,2.91,0.3485,0.5734,0.61,18.6291,106.2382,1.1342,2.513,2.9823,0.3414,0.3357,278079.5346,266518.2273,161998.3448,809211.4457,775568.0414
7,000009.SZ,20200929,6.96,1.2809,1.5197,0.79,59.612,60.169,3.1909,1.5024,1.7892,0.2395,0.2874,257921.3965,255189.7988,215093.6436,1795132.9196,1776120.9996
8,000010.SZ,20200929,3.8,1.0116,1.1739,0.98,67.0352,69.1395,6.8044,1.6457,1.5786,0.0,,81985.4713,52217.1498,44997.6834,311544.7909,198425.1692
9,000011.SZ,20200929,17.65,3.235,11.2008,1.12,12.8625,11.3593,3.3437,2.6552,2.2732,1.6997,2.0397,59597.9092,52647.5543,15205.6342,1051903.0974,929229.3334
10,000012.SZ,20200929,5.4,0.8441,0.8832,0.98,30.9112,30.1182,1.7534,1.5834,1.6568,0.8578,1.2963,307069.2107,195705.9361,187042.5914,1658173.7378,1056812.0549
11,000014.SZ,20200929,10.37,1.8459,2.7975,0.7,99.2016,43.3163,2.2927,4.774,3.695,0.6365,0.1061,20170.5187,20170.5187,13309.1796,209168.2789,209168.2789
12,000016.SZ,20200929,6.04,0.7271,1.082,0.57,68.5927,,1.8084,0.2639,0.3121,1.6556,0.8278,240794.5408,159657.43,107282.7368,1454399.0264,964330.8772
13,000017.SZ,20200929,2.45,0.3544,0.4484,0.53,,,136.2102,17.7684,16.8001,0.0,,55134.7947,30298.1008,23947.2261,135080.247,74230.347
14,000019.SZ,20200929,8.34,1.0114,1.555,0.49,26.4432,25.9037,2.1841,0.8691,0.8724,1.199,2.3981,115253.5254,41618.4832,27068.4852,961214.4018,347098.1499
15,000020.SZ,20200929,11.88,0.8609,2.5205,0.98,616.1035,556.4639,10.1143,4.6621,4.9248,0.0,,28316.1227,18116.5391,6187.5497,336395.5377,215224.4845
16,000021.SZ,20200929,20.78,2.6917,4.7999,1.78,86.7802,77.4902,4.3518,2.3119,2.2301,0.4812,0.2887,147125.9363,146902.4359,82381.6201,3057276.9563,3052632.618
17,000023.SZ,20200929,17.42,0.5453,0.9957,0.49,47.5584,421.4879,5.2875,1.3205,1.5059,0.3444,0.0574,13875.624,13875.624,7599.4741,241713.3701,241713.3701
18,000025.SZ,20200929,20.46,0.9039,3.1498,0.64,40.1487,43.9906,6.8985,15.4437,18.0042,0.0,0.2053,43105.832,39277.832,11271.0813,881945.3227,803624.4427
19,000026.SZ,20200929,16.21,1.9201,3.5354,1.19,32.1427,40.7864,2.7298,1.8735,1.9823,1.2392,1.234,42812.4881,35671.6368,19373.9041,693990.4321,578237.2325
20,000027.SZ,20200929,5.44,0.3657,1.4031,1.34,15.2128,7.3732,0.9866,1.2432,1.3464,0.7659,0.7659,475738.9916,475738.9916,123991.4671,2588020.1143,2588020.1143
