,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,601019.SH,20200410,6.43,0.707,0.707,0.88,9.0366,9.2249,1.3228,1.435,1.4781,4.5101,4.5101,208690.0,42690.0,42690.0,1341876.7,274496.7
1,002212.SZ,20200410,22.55,1.9736,2.7874,2.11,53.8349,71.2627,2.9214,4.1464,3.6772,0.0,,115848.3285,111497.8469,78947.0154,2612379.8077,2514276.4476
2,300768.SZ,20200410,40.0,3.9022,3.9022,1.03,79.6012,63.4071,9.4207,22.726,19.905,0.0,,40001.0,4001.0,4001.0,1600040.0,160040.0
3,002524.SZ,20200410,8.18,2.3059,3.1448,0.81,,52.0985,4.705,3.5895,3.2593,0.0,,51572.9591,48422.7195,35505.8487,421866.8054,396097.8455
4,603099.SH,20200410,8.13,0.5115,1.2614,0.83,32.0572,29.8181,1.9911,4.6711,4.6557,0.3198,0.3198,26667.0,26667.0,10813.694,216802.71,216802.71
5,600333.SH,20200410,3.91,0.7447,1.57,0.88,,,1.1876,1.5182,1.477,0.0,,60903.0684,52961.9808,25121.9808,238130.9974,207081.3449
6,002594.SZ,20200410,54.57,1.1559,1.6695,0.77,53.5483,92.3763,2.6229,1.1447,1.1655,0.3738,0.3738,272814.2855,114066.1634,78976.6656,14887475.5597,6224590.5367
7,002950.SZ,20200410,35.83,3.2633,6.6336,0.69,66.4085,45.5335,7.3416,7.4607,6.4349,0.4186,0.4186,42217.6938,26181.5067,12879.5562,1512659.9689,938083.3851
8,002048.SZ,20200410,17.51,2.233,2.7375,0.73,14.984,11.1268,1.1932,0.7346,0.6333,0.8567,0.8567,62622.7314,54496.6742,44454.3386,1096524.0268,954236.7652
9,300438.SZ,20200410,20.94,7.4479,9.8076,2.9,22.233,29.5254,2.4936,2.2919,1.7768,0.2854,0.2854,28115.1873,21224.1878,16117.5597,588732.0221,444434.4925
10,601636.SH,20200410,5.02,1.686,2.9349,2.1,10.0187,10.0187,1.6378,1.4496,1.4496,5.8617,5.8617,268715.314,266025.904,152821.3862,1348950.8763,1335450.0381
11,002715.SZ,20200410,18.09,0.9122,1.7084,1.17,446.1441,446.1441,3.3748,4.9577,4.9577,0.0,,9200.0,8686.2704,4638.2901,166428.0,157134.6315
12,600900.SH,20200410,17.05,0.0566,0.1486,1.16,16.5893,17.398,2.5095,7.3242,7.5191,3.9883,3.9883,2200000.0,2200000.0,837777.0708,37510000.0,37510000.0
13,600592.SH,20200410,14.25,2.2539,3.6266,1.21,64.8832,51.0217,2.9907,5.5503,6.2824,0.7018,0.7018,39955.3571,39955.3571,24831.9771,569363.8387,569363.8387
14,600216.SH,20200410,17.44,4.7095,7.5029,0.99,46.1715,80.0799,2.153,2.4541,2.3796,0.8541,0.8541,96512.8,96512.3725,60580.3791,1683183.232,1683175.7764
15,300403.SZ,20200410,4.8,1.2738,2.0981,0.87,17.7498,17.7498,2.2439,3.3508,3.3508,4.1667,7.0833,60300.0,38080.125,23118.3144,289440.0,182784.6
16,603605.SH,20200410,118.05,2.0882,2.0882,0.92,60.5067,60.5067,11.7062,7.6068,7.6068,0.3643,0.3643,20126.956,6246.13,6246.13,2375987.1558,737355.6465
17,600986.SH,20200410,3.73,2.3392,2.6928,0.91,18.8036,,0.8,0.3479,0.2772,0.2665,0.2665,132519.2361,128307.5912,111458.2727,494296.7507,478587.3152
18,600848.SH,20200410,19.51,0.3445,0.7104,1.08,94.2117,31.5434,3.0428,21.2558,10.5448,0.3123,0.3123,210206.8212,101277.3777,49116.3278,4101135.0816,1975921.6389
19,603456.SH,20200410,21.07,2.0439,4.3772,1.43,71.3868,71.3868,5.9466,8.4169,8.4169,0.9495,0.9495,80566.2371,80330.7971,37509.1743,1697530.6157,1692569.8949
20,300526.SZ,20200410,129.47,1.3437,4.7307,3.81,973.4213,713.0813,38.3853,55.1218,41.8807,0.0233,0.0233,17066.0816,17010.1741,4831.528,2209545.5848,2202307.2407
21,603025.SH,20200410,7.74,0.3405,1.9492,0.81,28.1616,28.1616,3.9873,7.3684,7.3684,3.8581,3.8581,92615.1711,91832.9604,16042.4881,716841.4243,710787.1135
22,600023.SH,20200410,3.38,0.0822,0.2953,1.11,11.3909,11.7616,0.7289,0.8117,0.8633,5.3254,5.3254,1360068.9988,1360068.9988,378752.2987,4597033.2159,4597033.2159
23,002683.SZ,20200410,25.84,2.8371,4.3998,1.04,85.3592,59.1055,5.7371,3.9892,3.1173,0.5805,0.5805,70705.6376,60714.6395,39150.5751,1827033.6756,1568866.2847
24,000720.SZ,20200410,5.81,1.1637,1.483,0.59,6.9832,8.44,3.1168,2.8788,1.919,0.0,,128965.0962,86346.0,67757.9241,749287.2089,501670.26
25,600728.SH,20200410,10.49,11.2942,14.057,1.55,27.0122,27.0122,3.4017,3.6674,3.6674,0.502,0.502,175218.4097,171850.5597,138075.1893,1838041.1178,1802712.3713
26,300791.SZ,20200410,54.67,7.5225,7.5225,1.25,21.5209,30.6763,2.2495,2.7414,2.7634,,,8000.0,2000.0,2000.0,437360.0,109340.0
27,000902.SZ,20200410,7.8,0.951,1.8723,0.53,12.4265,14.0283,1.5521,1.0144,1.0432,2.536,2.536,130452.929,117349.5004,59605.4154,1017532.8462,915326.1031
28,600004.SH,20200410,13.41,0.3159,0.6453,0.51,24.5752,35.4215,1.7514,3.5821,3.5684,1.2677,1.2677,206932.0514,206932.0514,101297.3731,2774958.8093,2774958.8093
29,000099.SZ,20200410,6.21,0.6761,1.1017,0.86,17.7985,17.7985,1.151,2.4015,2.4015,0.4026,0.4026,60607.042,60607.042,37195.0946,376369.7308,376369.7308
