,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
33,000045.SZ,20200828,8.9,1.4211,3.1403,0.67,230.3421,360.7053,1.6601,2.1004,2.2602,0.0,,50933.8429,45701.7874,20681.9406,453311.2018,406745.9079
34,000046.SZ,20200828,4.15,0.175,0.5603,0.86,19.6961,,1.03,7.1276,8.6584,3.6145,2.4096,519620.0656,517508.8333,161641.5425,2156423.2722,2147661.6582
35,000048.SZ,20200828,37.15,1.6733,5.8742,0.76,13.583,13.7276,7.6943,3.0399,3.264,,2.0188,40249.1731,40240.7651,11462.9097,1495256.7807,1494944.4235
36,000049.SZ,20200828,56.94,1.3278,2.4242,0.74,23.4933,23.333,5.2752,0.6397,0.6313,0.4349,1.2294,20719.7738,20524.3738,11241.6699,1179783.9202,1168657.8442
37,000050.SZ,20200828,16.39,0.9636,2.0658,0.84,40.4752,39.9046,1.2506,1.1085,1.122,0.4271,0.4881,204812.3051,182892.0459,85308.1486,3356873.6806,2997600.6323
38,000055.SZ,20200828,4.88,0.9768,1.24,0.82,15.271,14.5092,1.0259,1.7669,1.8756,4.0984,1.0246,108827.8951,67827.2529,53429.7995,531080.1281,330996.9942
39,000056.SZ,20200828,3.75,0.675,1.9343,1.1,87.0433,,0.8065,4.6414,5.9945,0.2663,,117452.872,90372.8783,31535.9178,440448.27,338898.2936
40,000058.SZ,20200828,8.76,4.3761,8.1643,0.75,137.9825,199.5987,5.6358,7.249,7.194,0.3995,0.3425,123565.6249,53828.2117,28852.0597,1082434.8741,471535.1345
41,000059.SZ,20200828,5.13,0.5632,1.0802,0.63,8.2634,,0.6516,0.2072,0.2375,4.8733,4.5809,159944.2537,159940.9531,83399.0356,820514.0215,820497.0894
42,000060.SZ,20200828,4.46,0.5599,0.8269,0.94,18.6841,21.6947,1.4899,0.6983,0.6436,1.7937,1.6143,356968.5327,356839.7881,241613.7958,1592079.6558,1591505.4549
43,000061.SZ,20200828,8.08,1.2912,1.9571,0.7,44.2064,44.6252,2.6669,4.806,4.6457,0.1238,0.7426,169696.4131,169542.0483,111850.282,1371147.0178,1369899.7503
44,000062.SZ,20200828,15.19,0.4284,1.8082,0.85,25.2167,27.8837,2.9782,1.1067,1.0618,1.135,0.9875,104590.9322,104463.9729,24747.0504,1588736.2601,1586807.7484
45,000063.SZ,20200828,38.83,1.4096,2.0076,1.07,34.7987,35.3663,4.4377,1.9743,1.99,0.0,0.5151,461343.4898,347625.38,244077.36,17913967.7089,13498293.5054
46,000065.SZ,20200828,8.15,0.6034,1.3581,1.17,8.8802,8.6755,1.3091,0.567,0.5641,0.9816,1.1288,76950.8854,67308.5268,29903.559,627149.716,548564.4934
47,000066.SZ,20200828,17.89,1.3979,2.3799,0.69,46.9825,67.0403,6.7489,4.8309,5.2153,0.2802,0.4863,292818.2053,292781.1543,171979.0425,5238517.6928,5237854.8504
48,000068.SZ,20200828,3.52,0.9892,1.83,0.7,590.6787,1815.3144,7.4049,15.7428,14.2405,0.0,,100667.1464,100667.1464,54417.5769,354348.3553,354348.3553
49,000069.SZ,20200828,7.23,0.5545,0.9102,0.99,4.8054,5.0821,0.8854,0.9879,0.997,4.1505,4.1497,820179.3915,703687.3141,428731.4348,5929897.0005,5087659.2809
50,000070.SZ,20200828,11.96,2.5301,4.1021,0.69,30.2168,44.3519,3.5053,2.0974,2.4106,0.2889,0.5769,81650.0162,79516.5811,49044.3461,976534.1938,951018.31
51,000078.SZ,20200828,4.47,1.0198,1.9029,0.9,51.2478,74.6955,1.9348,0.2976,0.3207,0.4474,,276258.3257,262119.9543,140475.4415,1234874.7159,1171676.1957
52,000088.SZ,20200828,7.13,1.2503,2.5814,0.65,44.6164,49.9221,2.2616,27.0267,28.489,0.3787,0.2104,224916.1747,194220.0,94071.1747,1603652.3256,1384788.6
53,000089.SZ,20200828,9.31,1.3015,3.0246,0.85,32.1579,141.8416,1.6254,5.0157,5.9107,0.8761,0.8593,205076.9509,205076.9509,88247.3977,1909266.4129,1909266.4129
54,000090.SZ,20200828,7.94,1.5709,2.5999,0.88,12.0016,6.6271,1.7628,1.0117,0.8242,2.422,4.7859,186854.5434,186829.5089,112883.0861,1483625.0746,1483426.3007
55,000096.SZ,20200828,12.02,0.2038,0.4436,0.74,50.8241,54.253,2.3243,3.9102,4.4906,0.1664,0.1664,52800.0,51084.8,23472.9623,634656.0,614039.296
56,000099.SZ,20200828,7.9,0.9247,1.5068,0.69,22.6422,24.9707,1.4462,3.055,3.1825,0.3165,0.6329,60607.042,60607.042,37195.0946,478795.6318,478795.6318
57,000100.SZ,20200828,6.76,3.0596,3.4072,1.16,34.9116,40.6757,3.1429,1.2196,1.547,1.463,1.4225,1351927.9411,1265996.0284,1136858.4399,9139032.8818,8558133.152
58,000150.SZ,20200828,3.58,0.938,1.8596,0.7,,,4.8175,1.7532,1.914,0.0,,87769.7557,80599.0242,40656.3603,314215.7254,288544.5066
59,000151.SZ,20200828,9.62,0.7703,1.2799,0.3,325.365,91.4758,2.9935,2.4056,2.4539,2.079,0.2079,29598.0,26654.3967,16042.0467,284732.76,256415.2963
60,000153.SZ,20200828,10.36,3.5918,5.164,0.98,39.9622,39.3855,2.355,0.9987,0.9956,0.9653,,31214.123,31197.723,21699.4605,323378.3143,323208.4103
61,000155.SZ,20200828,4.98,0.7704,1.3621,0.95,29.4377,36.4689,1.7046,3.0835,3.0637,0.0,,127000.0,127000.0,71835.1849,632460.0,632460.0
62,000156.SZ,20200828,11.21,1.4198,3.3239,1.1,24.8908,28.652,1.5686,4.3302,4.2975,1.9625,5.62,143335.1902,128029.5337,54686.8435,1606787.4821,1435211.0728
63,000157.SZ,20200828,8.67,0.8078,1.1197,0.72,15.6936,11.801,1.5482,1.5841,1.3756,2.6837,,791281.5374,645052.3831,465382.657,6860410.9293,5592604.1615
64,000158.SZ,20200828,9.35,1.2576,2.1754,0.79,147.8432,889.9654,2.5711,1.5823,1.7385,0.0,,159861.6721,156991.019,90754.2212,1494706.6341,1467866.0277
65,000159.SZ,20200828,6.45,2.8776,3.77,0.56,101.9338,35.9075,1.387,7.2037,7.1242,0.4651,0.3101,48068.5993,48068.5993,36690.4677,310042.4655,310042.4655
66,000166.SZ,20200828,5.74,0.5264,1.2201,1.34,25.06,24.5248,1.7345,5.8442,5.3563,0.8711,1.3937,2503994.456,2253550.7316,972220.3457,14372928.1774,12935381.1994
67,000301.SZ,20200828,5.9,0.9237,1.2569,0.9,17.6762,19.0877,1.5556,1.1462,1.1516,1.4124,1.4124,483486.3866,121823.6445,89526.3992,2852569.6809,718759.5026
68,000333.SZ,20200828,70.28,0.4726,0.6985,1.52,20.3828,21.5563,5.2044,1.7738,1.8906,1.7349,2.2557,702179.5879,683894.8248,462690.1635,49349181.4376,48064128.2869
69,000338.SZ,20200828,14.9,2.69,2.7383,3.14,12.9836,13.9114,2.482,0.678,0.6642,2.8859,1.9195,793387.3895,424431.5825,416941.0776,11821472.1036,6324030.5793
70,000400.SZ,20200828,15.86,1.844,3.2498,1.09,37.5122,26.3402,1.9252,1.5746,1.4223,0.3026,0.3783,100832.7309,100827.014,57210.6876,1599207.1121,1599116.442
71,000401.SZ,20200828,18.02,1.1758,1.8666,0.84,8.9915,10.9302,1.9392,0.7037,0.743,2.2198,2.7747,134752.2914,134721.4076,84863.0701,2428236.291,2427679.765
72,000402.SZ,20200828,6.93,0.2663,0.3868,1.43,6.018,6.9148,0.6086,0.7911,0.8443,4.329,4.329,298892.9907,298763.1546,205692.3393,2071328.4256,2070428.6614
73,000403.SZ,20200828,37.99,0.5627,1.2241,1.01,116.596,128.288,22.6094,20.4308,19.881,0.0,0.1763,49243.4666,48710.6903,22393.2696,1870759.2961,1850519.1245
74,000404.SZ,20200828,4.39,2.2952,3.5211,0.62,99.7643,99.1196,0.9404,0.3186,0.3191,0.4556,0.4556,69599.5979,69435.076,45260.5788,305542.2348,304819.9836
75,000407.SZ,20200828,4.08,0.6246,0.7751,0.8,26.9116,28.4471,1.4572,0.6714,0.8371,0.0,0.8578,88008.4656,87574.383,70578.1571,359074.5396,357303.4826
76,000408.SZ,20200828,7.86,1.047,1.047,0.9,43.5894,60.0624,1.9935,7.592,7.9467,0.0,,199377.9522,47348.6085,47348.6085,1567110.7043,372160.0628
77,000409.SZ,20200828,4.37,1.6444,1.9627,1.47,,,4.7362,1.0062,0.7541,0.0,,51093.1158,40562.7494,33985.8804,223276.916,177259.2149
78,000410.SZ,20200828,4.71,0.1401,0.2284,0.62,,,8.9663,7.9149,10.3757,0.0,,168403.5944,168091.4444,103142.7331,793180.9296,791710.7031
79,000411.SZ,20200828,19.04,6.2375,13.7632,0.83,31.37,35.4147,2.9873,0.1927,0.1921,0.569,0.3204,24893.9935,20732.2071,9395.8099,473981.6362,394741.2232
80,000413.SZ,20200828,3.15,1.8566,2.2302,0.54,,,0.5883,1.0298,1.2243,2.2222,,573025.0118,486413.0314,404940.7543,1805028.7872,1532201.0489
81,000415.SZ,20200828,2.92,0.7888,1.3926,1.0,9.7696,18.7842,0.4744,0.4654,0.444,0.0,,618452.1282,354739.6604,200941.5394,1805880.2143,1035839.8084
82,000416.SZ,20200828,5.5,2.0893,2.6983,1.42,103.0122,115.1102,3.3079,423.0205,490.2865,0.5455,0.5455,53187.1494,53164.1098,41165.967,292529.3217,292402.6039
83,000417.SZ,20200828,5.84,0.5111,0.8249,0.8,28.5361,38.2074,1.1384,0.4175,0.4621,2.5685,1.3699,77988.42,77902.7451,48263.6984,455452.3728,454952.0314
84,000419.SZ,20200828,4.96,0.6968,1.2521,0.78,15.4574,13.7229,0.9282,0.7802,0.9253,3.2258,,54358.2655,54328.9983,30231.7499,269616.9969,269471.8316
85,000420.SZ,20200828,2.14,0.7611,1.427,0.55,46.3889,,1.44,1.5674,1.7671,0.0,,197070.6656,196965.6614,105057.4659,421731.2244,421506.5154
86,000421.SZ,20200828,7.03,2.3467,5.1281,0.75,39.7755,9.0155,1.354,1.1202,0.5801,1.4225,0.9246,57264.6934,57264.6934,26205.6287,402570.7946,402570.7946
87,000422.SZ,20200828,2.6,0.2645,0.3627,0.29,14.2004,,161.0271,0.1592,0.1663,0.0,,89786.6712,89781.2984,65470.0299,233445.3451,233431.3758
88,000423.SZ,20200828,46.2,1.1151,1.6401,0.75,,,3.1848,10.2128,13.9665,2.1645,0.4329,65402.1537,65386.7313,44458.0466,3021579.5009,3020866.9861
89,000425.SZ,20200828,6.49,1.0051,1.752,1.0,14.0421,15.9936,1.5232,0.8591,0.8676,0.9245,0.9245,783366.843,699503.7403,401277.8785,5084050.8111,4539779.2745
90,000426.SZ,20200828,7.53,0.7767,1.3861,0.7,135.3369,270.7808,2.6335,15.8346,18.7074,0.0,,183719.2219,147529.443,82668.6508,1383405.7409,1110896.7058
91,000428.SZ,20200828,3.41,0.6126,1.4826,0.86,69.1664,,1.4197,3.1287,3.647,0.0,,101892.6,101888.215,42097.323,347453.766,347438.8132
92,000429.SZ,20200828,7.06,0.1657,0.4339,0.9,11.7279,28.5895,1.8654,4.8271,6.604,7.9603,5.9773,209080.6126,130291.0534,49742.136,1476109.125,919854.837
93,000430.SZ,20200828,5.52,1.2922,1.6366,0.96,202.1181,,1.4487,5.2547,7.6767,0.0,,40481.7686,33173.88,26192.4635,223459.3627,183119.8176
94,000488.SZ,20200828,5.46,2.028,2.7721,0.67,9.8359,9.7972,0.6659,0.5361,0.5317,4.1956,2.6223,298420.82,165937.2085,121397.5957,1629377.6772,906017.1584
95,000498.SZ,20200828,5.6,0.5667,1.5482,0.81,10.1209,7.4117,1.1023,0.2697,0.2458,1.3393,1.4286,112013.9063,112009.0313,41000.9383,627277.8753,627250.5753
96,000501.SZ,20200828,19.12,2.9255,5.1349,0.95,12.0025,20.8496,1.6129,0.8281,1.0283,1.046,1.1506,76899.2731,76775.7255,43741.3192,1470314.1017,1467951.8716
97,000502.SZ,20200828,7.49,2.2983,2.9784,1.33,,,7.0838,84.8289,83.5785,0.0,,18481.9607,18334.7957,14148.3491,138429.8856,137327.6198
98,000503.SZ,20200828,12.25,0.8785,1.1908,1.21,631.7849,1161.0666,9.9524,84.7535,79.6201,0.0,,89882.2204,89882.2204,66311.9611,1101057.1999,1101057.1999
