code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
000001.SH,-0.07707977713446656,-0.11973205269486076,-0.1936050206667036,-0.15079832461481646,-0.05737967290607582,0.02375051840532283,0.1500504735662287,0.24178124033766046,0.0831796104871092,0.17400638082147646,0.09936397590870683,0.006121459177834687
000001.SZ,-0.13347044037889444,-0.060966878904279986,-0.16887035229179248,0.007665384287564914,-0.009146341463414531,-0.039039039039038936,-0.014544065392192551,0.19004598680570428,0.04335650172158356,0.29061278454948947,0.19027520199846992,-0.03541147132169575
000002.SZ,-0.00012860299024319843,0.018003903584825842,-0.09128682546053679,-0.01759530791788877,-0.08508365966536136,-0.009848484848484773,0.022086824067022004,0.06190678466615296,-0.06661367376786753,0.07281011798872439,-0.022253199821388625,-0.06666666666666665
000003.SZ,,,,,,,,,,,,
000004.SZ,-0.11206225680933846,0.7165752846900044,0.2208883553421368,-0.05432183122651191,-0.0437086092715232,0.015656909462219204,-0.011375387797311287,-0.15298013245033104,-0.48425284788921164,0.2950340798442066,0.23690103000447826,-0.25270758122743686
000005.SZ,0.1692913385826773,0.05283018867924527,-0.06484641638225253,-0.11842105263157887,-0.03745318352059923,0.00766283524904221,0.08955223880597019,0.08487084870848705,-0.10416666666666685,-0.05243445692883908,-0.17834394904458617,-0.02692307692307705
000006.SZ,-0.14565384032377815,-0.34505799079548705,-0.31212914603164355,-0.4684695598579548,-0.3768261353246335,0.4410271994802828,0.7168326960577895,0.48645292339265933,0.3747317475291254,0.2898341054506195,0.09349018611565896,-0.02772963604852685
000007.SZ,-0.0277481323372466,-0.09253417455310176,-0.10310421286031046,-0.0975056689342404,-0.06719817767653746,0.0,0.09275730622617528,0.11685116851168509,0.06818181818181812,0.08048780487804885,-0.006282722513089145,-0.2616525423728815
000008.SZ,0.3009745020180903,0.06857639208382849,0.026062413306723098,0.02237305800923628,0.010135135135135087,-0.026490066225165698,-0.03778892504775355,-0.031568768927403235,-0.12168030816229114,-0.1236903516489779,-0.26438424132250593,-0.06959706959706957
000009.SZ,-0.16486463131377938,-0.02356090369701147,-0.24022874705446162,-0.2451093210586882,-0.19203747072599509,0.20197740112994356,0.24183976261127582,0.2634262981102624,-0.08983353413010786,0.2999612569477561,0.11989131020624422,0.008032128514056325
000010.SZ,-0.07711442786069644,-0.1953488372093024,-0.326923076923077,-0.035799522673031214,0.05804749340369386,-0.050000000000000044,0.024691358024691468,0.3670520231213874,0.09523809523809512,0.11647727272727293,0.22580645161290303,-0.05783132530120494
000011.SZ,-0.3970109038538715,-0.6109899355925469,-0.5923330217151489,-0.6960176983741762,-0.45895096921322687,0.6276703967446593,1.9671830124543668,1.5733481222075287,1.368615679432037,0.8343407501864872,0.5129003666473755,-0.10907759882869694
000012.SZ,-0.2800119026872331,-0.1926347064114119,-0.2574871054001344,-0.3361843632652951,-0.0843629632000682,0.07494646680942174,0.36118260430474036,0.3475689385771352,0.05740051059930962,0.4575000891903984,0.3783261647775946,0.06493506493506507
000013.SZ,,,,,,,,,,,,
000014.SZ,-0.01301006703571339,-0.2603467839267064,-0.2911656679297603,-0.41888879190790684,-0.25555717301806125,0.229509154398301,0.6162447243317486,0.4239105802353278,0.24574263392461493,0.13036054806487374,-0.014834384329870942,-0.11914893617021283
000015.SZ,,,,,,,,,,,,
000016.SZ,-0.1936052919673904,0.5407566596833462,0.16697579612678481,-0.008962850274504275,-0.050578034682080775,-0.020289855072463725,-0.0612471617635405,-0.1710251729571609,-0.3955832599982678,0.2531268359280707,0.5275971383992777,-0.04063860667634245
000017.SZ,0.6666666666666667,0.510204081632653,0.35496183206106857,0.13167259786476881,-0.030172413793103425,0.004366812227073913,-0.08609271523178819,-0.25360230547550444,-0.37075718015665804,-0.3111111111111111,-0.4519650655021835,-0.04743083003952553
000018.SZ,,,,,,,,,,,,
000019.SZ,-0.2551561764825744,-0.30252096625336045,-0.22569408399367907,-0.11186174659228554,0.013267103725592255,-0.04079943577237177,0.05137866342955322,0.39403259674032576,0.32285931593465866,0.5119940278699404,0.29887730837937276,-0.049429657794676674
000020.SZ,-0.0009775171065492527,-0.21584478577202915,-0.26499189627228525,-0.34682080924855496,-0.17276595744680845,0.15045135406218657,0.4526431718061672,0.3569060773480661,0.21521521521521492,0.09239130434782639,-0.08088235294117663,-0.019627085377821207
