code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
300700.SZ,2.8652,2.6511,2.467,2.5936,2.8231,2.7745,3.2621,3.2667,3.364,3.7979,3.5725,3.4723
002898.SZ,3.3085,3.0818,3.1326,3.0872,3.1953,3.4753,3.677,3.5963,3.2892,3.0991,3.3633,2.6039
603386.SH,3.6538,3.4983,3.1219,3.1619,3.0942,3.2416,3.3295,3.6845,3.9836,3.7698,3.4971,3.2236
603648.SH,2.1369,1.8803,1.873,1.8234,1.9598,1.8746,2.209,2.1311,1.9147,1.9409,2.0676,1.8228
002893.SZ,2.9831,2.5898,2.5502,2.2734,2.4997,2.6921,3.1091,3.1259,3.083,3.1464,3.1095,2.9016
603321.SH,2.384,2.1221,2.1633,2.1821,2.2112,2.0755,2.3353,2.2688,2.1424,2.1395,2.2757,2.3126
002899.SZ,1.5423,1.4058,1.4598,1.409,1.5213,1.5099,1.8329,1.809,1.6335,1.6777,1.639,1.4576
300701.SZ,7.1213,6.1367,6.4618,6.5522,6.3788,7.6956,9.008,8.6244,7.5143,7.1359,6.303,5.5005
603813.SH,2.5573,2.3365,2.3753,2.1639,2.1807,2.258,2.5464,2.5532,2.3826,2.4414,2.3207,1.9613
300702.SZ,5.4651,5.3879,8.2527,6.3911,6.2252,9.156,8.9906,9.8218,7.0314,6.7064,6.1606,6.6707
300703.SZ,3.4705,3.5319,2.6047,2.5483,2.9185,3.6482,3.7753,4.1888,3.3404,3.2393,2.9473,2.6646
603106.SH,2.0126,2.1295,1.6942,1.9544,1.8948,2.317,2.533,2.7389,2.0659,1.987,1.9596,1.793
603533.SH,5.7157,6.1918,6.526,10.5316,9.9727,12.3863,10.9635,8.7309,7.9629,7.6247,11.6755,10.0152
603055.SH,1.944,1.9529,1.7362,1.7545,1.9046,2.2189,2.861,2.6427,2.6034,2.2068,1.9291,1.7128
603963.SH,4.2175,3.9255,3.7416,3.8401,3.8365,3.9749,4.5495,4.2657,3.8574,3.8131,3.9619,3.6271
002901.SZ,16.0317,15.5418,15.7123,18.4388,20.4136,26.4689,26.8156,22.9285,20.8907,19.1513,14.445,15.4151
002900.SZ,2.1464,1.9794,1.9293,1.8762,1.8999,2.0353,2.2223,2.0898,1.8649,1.7727,1.796,1.6563
603157.SH,1.0934,0.9883,1.7662,1.8224,1.9349,,1.5207,2.4948,2.1518,2.1822,2.1822,1.741
603363.SH,7.1586,8.1383,11.1655,9.3349,4.4052,5.0119,5.0814,5.1554,3.9116,3.6822,3.3231,3.1122
