code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
002030.SZ,115.1023,112.8635,133.8614,71.972,69.1364,95.6058,47.9025,41.5753,37.905,40.9257,18.6616,19.4203
002031.SZ,43.4077,42.7364,42.5126,204.3238,201.0977,201.0977,217.2285,266.9759,249.2619,254.3231,,
002032.SZ,31.9687,31.4135,29.5659,31.6039,32.477,34.0601,39.8336,39.8037,37.1031,33.1075,32.7467,36.5419
600971.SH,5.2198,4.7113,4.481,5.4316,5.3986,5.0247,5.7174,6.0364,6.8568,7.1691,8.1074,9.2217
002033.SZ,18.3689,17.2921,15.6084,22.2484,21.9862,22.0237,43.2465,46.0846,43.4492,50.6123,52.4929,52.3294
002034.SZ,15.5812,14.6423,13.1079,16.3882,17.0779,16.9419,19.3511,20.1534,17.0723,14.4627,14.6772,14.0337
600961.SH,,,,18.5297,18.4347,18.2446,27.9371,20.4368,16.9964,16.6113,17.8787,16.0095
002035.SZ,13.8676,13.8587,12.9604,14.8979,14.9636,13.3083,13.6367,18.4384,16.2365,15.4401,16.6491,15.2501
002036.SZ,47.1379,42.6735,33.5701,38.5349,39.9484,46.2795,43.4287,49.9636,43.3178,40.3153,42.6293,42.8978
600979.SH,14.9501,14.9501,14.3241,17.8875,17.6617,18.0276,20.7288,24.5975,19.6403,18.4277,20.6028,20.2403
002037.SZ,17.9596,16.0844,20.5676,46.4544,47.2185,49.9691,58.3737,48.0298,41.6989,25.5379,27.6908,24.2016
002038.SZ,26.889,26.051,24.1139,32.905,33.2299,37.8378,41.2937,39.4011,36.6653,39.8801,41.5268,36.157
600027.SH,13.0171,12.1346,9.9877,9.4698,9.4182,8.8247,9.3666,9.5504,8.4787,7.3214,7.8443,7.4085
002039.SZ,11.8772,14.143,14.4903,13.2662,13.7586,15.4271,15.1262,13.7957,13.1016,11.0098,10.8828,10.3012
002040.SZ,23.7217,20.9495,23.0674,23.7602,23.7984,23.6838,25.7084,25.9655,24.5208,23.7261,27.0367,26.4061
600970.SH,7.3514,7.0402,6.6001,6.661,6.4214,6.0222,6.8206,7.7656,8.7894,,8.4742,8.1542
002041.SZ,224.6194,223.7182,247.2437,158.7198,156.472,157.9706,193.4359,272.344,220.2649,171.1497,170.9496,223.3954
002042.SZ,26.5627,25.5314,18.7752,38.3375,42.5211,47.3894,43.1297,,,,,
002043.SZ,18.8294,16.7453,14.6055,21.1753,28.196,24.1478,29.2718,30.0551,24.7513,21.504,21.04,20.808
