code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
603108.SH,0.8962,0.9135,0.9519,0.9694,0.7917,0.7132,,,,,,
603023.SH,1.7916,1.7451,1.7227,1.3832,1.4436,1.684,1.5824,1.6873,1.7615,1.9209,1.6532,1.8675
300462.SZ,0.1673,0.1821,0.2116,0.1994,0.2108,0.6614,0.5843,0.5576,0.653,0.6183,0.6369,0.7452
002758.SZ,0.7472,0.7382,0.777,0.7542,1.4031,0.7011,0.6785,0.708,0.7484,0.6902,0.2955,0.2907
603669.SH,6.7194,6.4774,5.1987,4.736,7.1175,3.6212,2.7473,3.3417,3.4716,1.755,1.6124,1.6573
300465.SZ,0.2596,0.2573,0.3214,0.2769,0.3036,0.2594,0.2513,0.2514,0.2633,0.2872,0.3401,0.3728
603568.SH,0.9022,0.8538,0.8233,0.7837,,1.0279,1.1045,0.9535,1.08,1.0904,1.1442,1.2597
603198.SH,3.7534,4.3024,4.329,4.3077,3.4722,3.2154,3.2095,2.9289,3.45,3.0356,2.2336,2.0057
603918.SH,0.6294,0.6192,0.5679,0.6084,0.6556,,0.7589,0.7173,0.7489,0.7222,0.7429,0.8155
300463.SZ,0.5352,0.5213,0.5752,0.4282,0.3096,0.5997,0.3726,0.3708,0.3569,0.366,0.4525,0.406
002759.SZ,,,,,0.626,0.626,0.6319,0.5944,0.3763,0.2457,0.3157,0.2407
603026.SH,1.7632,1.6434,2.1001,2.3847,,,,,,,,
603901.SH,0.4408,0.5908,0.6755,0.7175,0.7641,1.7253,0.7035,0.5971,0.7423,0.722,0.7212,0.7865
601985.SH,2.4742,2.6144,2.7273,2.7714,2.9777,2.934,2.8111,2.618,2.779,2.7539,2.4847,2.4797
300478.SZ,0.6872,0.7202,0.5834,0.6265,0.6616,0.6933,,,,,,
300477.SZ,0.1912,0.2053,0.2151,0.1699,0.2105,0.1986,0.1995,0.227,0.25,0.2469,0.2576,0.2581
300475.SZ,0.1941,0.2099,0.2199,0.207,0.3978,0.3693,0.3684,0.3133,0.2801,0.2582,0.2574,0.3277
002761.SZ,0.1144,0.1355,0.1258,,,,2.0833,1.99,2.2371,2.2805,2.2124,2.4331
300464.SZ,,,,,,0.6454,0.3053,0.3148,0.4701,0.4497,0.4159,0.461
002763.SZ,5.017,5.077,5.758,5.935,,5.7143,5.1948,4.9566,5.4348,5.0761,4.9894,5.4442
002762.SZ,1.5901,1.7647,1.7375,1.7717,3.6232,1.982,1.7974,1.735,1.8613,1.8966,1.9749,1.9031
300471.SZ,,,,,,,0.1268,0.1111,0.1052,0.0949,0.096,0.1103
300476.SZ,0.775,0.7464,0.9372,0.7424,0.7833,,0.8243,0.8071,0.9374,0.9131,0.826,0.8827
300469.SZ,0.1128,0.1248,0.1288,0.1247,0.1605,0.164,,,,,,
300472.SZ,0.5699,0.6135,0.6278,0.6574,0.6428,0.6164,0.5594,0.5255,0.5637,0.4793,0.5621,0.6196
603066.SH,0.8246,0.6813,0.719,0.7068,0.6725,,0.5133,0.453,0.5288,0.5212,0.5665,0.5902
601968.SH,0.5138,0.5856,0.5896,0.5532,0.5372,0.4586,1.1441,0.9255,0.9459,1.1,1.0308,0.9506
603616.SH,0.1667,0.1883,0.1628,0.1921,0.197,0.1947,0.1801,,,,,
002767.SZ,0.2279,0.2468,0.2712,0.2343,0.2274,0.2296,0.2542,0.247,0.2575,0.2666,0.2678,0.3241
601368.SH,1.6814,1.8164,1.7992,1.8164,,,1.5817,1.5734,1.676,1.6667,1.5901,1.6791
300479.SZ,0.1895,0.1866,0.2053,0.2051,0.2052,0.3896,0.1783,0.1727,0.1859,0.1702,0.192,0.2117
300470.SZ,0.6257,0.6115,0.6714,0.6682,0.6308,0.5714,0.4819,0.4263,0.3762,0.4391,0.4445,0.3783
300473.SZ,0.6473,1.0206,1.1899,1.2137,1.1388,,0.44,0.4167,0.432,0.4317,0.4983,0.5369
002776.SZ,0.7576,0.664,0.8003,0.8737,0.9311,0.7825,0.4204,0.4299,0.4993,0.5256,0.6609,0.7266
002772.SZ,1.4116,1.4609,1.1624,1.2516,,1.0883,0.901,0.9135,1.0129,1.0287,0.9869,0.798
002773.SZ,0.5631,0.6507,0.5469,0.5612,0.6055,0.5645,0.5861,0.5795,0.6143,0.6565,0.6284,0.5525
601211.SH,1.5652,1.6176,1.6892,1.6253,1.7549,1.5933,1.4881,1.9927,2.1128,2.0943,2.0585,2.1983
300485.SZ,1.2876,1.2752,0.9788,0.7717,0.3952,0.2814,0.2769,0.3381,0.3047,0.3316,0.3664,0.4222
002775.SZ,6.9973,7.5057,7.5345,7.7732,10.1584,10.075,9.0862,8.9699,5.6289,12.8395,12.7442,14.1632
603116.SH,2.7358,2.8278,2.5136,2.6695,2.8098,2.1367,2.1961,2.3068,2.5578,2.5654,2.5541,2.9134
603117.SH,1.292,1.4085,1.4164,1.4368,1.4368,1.4139,0.9804,0.9709,1.0899,1.1204,1.0417,1.1111
002771.SZ,0.5198,0.373,0.4497,0.4381,0.441,0.2758,0.2451,0.2444,0.2724,0.2869,0.2855,0.3324
603589.SH,2.9412,3.3505,3.6267,3.6399,,2.947,3.0012,2.4958,2.9574,2.7382,2.5,2.1771
002769.SZ,0.576,0.6258,0.6812,0.6734,0.6474,0.2469,0.2138,0.2091,0.2242,0.2195,0.2347,0.2835
002770.SZ,0.8444,0.8716,0.7308,0.7631,0.6209,0.7692,,,,,,
300481.SZ,1.1898,1.1628,1.2361,2.3924,2.4346,1.0373,0.9095,0.8696,0.9569,0.9091,0.8814,0.9857
300482.SZ,0.3614,0.338,0.2834,0.2771,0.5324,0.2398,0.2553,0.2524,0.3002,0.3272,0.3804,0.2795
300483.SZ,,,,,0.1864,0.1829,0.1625,0.1548,0.1523,0.1287,0.1273,0.1181
300486.SZ,0.153,0.1415,0.1477,0.1326,0.1228,0.3215,0.1746,0.1798,0.2028,0.2167,0.2137,0.2472
603223.SH,0.5406,0.4255,0.3598,0.3415,0.3069,0.0227,0.0208,0.0203,0.0196,0.0174,0.0133,0.0159
603085.SH,0.5533,0.6033,0.6547,0.6633,0.6329,0.5674,,,,,,
603979.SH,0.8273,0.8824,0.9515,0.82,0.7355,0.7678,0.6253,0.6505,0.7554,0.6908,0.6658,0.6374
002768.SZ,0.4912,0.4603,0.269,0.3282,,0.3052,0.2641,0.2589,0.2991,0.3226,0.3162,0.3193
603838.SH,0.5981,0.6605,0.651,0.6676,0.6353,0.4756,0.4735,0.4171,0.4619,0.4885,0.4919,0.5969
300489.SZ,0.0101,0.0074,0.0059,0.0058,0.0047,0.0043,,,,,,
300488.SZ,1.0496,0.9811,1.1412,1.1887,1.2038,2.093,0.7607,0.7285,0.6938,0.6068,0.5921,0.7828
300480.SZ,0.2577,0.288,0.2817,0.304,0.295,0.2545,0.2116,0.2026,0.2064,0.2068,0.2252,0.2843
300487.SZ,0.3899,0.3752,0.497,,,,0.6536,0.5169,0.4604,0.531,0.5377,0.5489
300498.SZ,2.4485,2.4598,2.4774,2.647,3.0276,4.9696,4.5615,4.3896,5.5446,4.3978,5.8724,6.2171
601155.SH,4.389,4.6487,4.7721,4.6985,,,4.9946,4.7345,4.8618,5.2282,4.8007,4.8821
002783.SZ,1.6218,1.8107,1.8235,1.8809,1.9218,,0.8203,0.7794,0.8347,0.7616,0.7496,0.995
603936.SH,0.3102,0.335,0.4172,0.392,0.4077,0.3385,0.3135,0.3145,0.3676,0.3411,0.323,0.3436
002780.SZ,0.0894,0.0695,0.0938,0.0812,,,,,,,,
002779.SZ,0.1163,0.128,0.1145,0.134,0.1223,0.124,0.0759,0.0782,0.0892,0.0809,0.0817,0.0946
603696.SH,5.0043,5.564,3.9199,4.5868,,2.0804,2.2745,1.9367,2.5907,2.6502,2.611,2.5751
603999.SH,0.303,0.3566,0.4049,0.4056,0.4071,,0.5128,0.4993,0.5882,0.6071,0.5397,0.6159
300493.SZ,0.5674,0.5323,0.6187,0.6245,0.8814,0.2198,0.2217,0.2157,0.2389,0.2077,0.2315,0.2611
300496.SZ,0.1551,0.1301,0.1717,0.355,0.3801,0.1673,0.134,0.1344,0.1435,0.1444,0.1401,0.1057
603800.SH,4.0064,4.5788,3.9216,4.4843,,4.7483,4.2337,4.0193,4.6948,4.8263,4.7348,5.0761
002782.SZ,0.9328,1.065,1.0616,,0.7734,0.757,0.6901,0.6964,0.7207,0.6382,0.6203,0.6736
002781.SZ,0.467,0.5078,0.5194,0.5388,0.5319,0.5361,0.2567,0.1914,0.1813,0.196,0.2277,
300495.SZ,0.9408,1.001,1.002,0.9579,0.9479,1.0504,0.6325,0.6036,0.6983,0.6955,0.732,0.7817
603866.SH,1.8635,1.6241,1.4436,,,1.9614,1.6562,1.5814,1.6227,1.5208,1.6116,1.6361
300497.SZ,0.8311,0.6864,0.5617,0.5647,1.2161,0.6307,0.6176,0.5953,0.6862,0.8119,0.8557,0.8449
300492.SZ,1.024,1.1064,1.25,1.1033,,0.2918,0.3017,0.2482,0.2791,0.2799,0.3253,0.2745
002785.SZ,0.0425,0.0447,0.0458,0.0361,0.0376,0.0406,,,,,,
002786.SZ,0.2605,0.2308,0.2941,0.2479,0.277,,,,,,,
603508.SH,0.6816,0.6578,0.7516,0.7635,0.8184,1.8363,0.996,0.9886,1.1409,1.2649,1.2478,1.408
001979.SZ,4.2539,4.4477,4.6798,4.5014,4.8075,4.6876,4.7521,4.854,5.3506,5.7654,5.5294,6.0994
300490.SZ,0.4829,0.5189,0.554,0.613,,0.3625,0.3245,0.3075,0.3161,0.2633,0.2963,0.2637
002787.SZ,0.6579,0.7184,0.8012,0.7215,0.7374,1.5337,1.3624,1.1778,1.2701,1.4123,1.4062,1.5724
002777.SZ,0.5249,0.415,0.4937,0.4393,0.5045,0.4698,0.5167,0.5609,0.6803,0.6754,0.623,0.6121
300494.SZ,0.4609,0.5125,0.6085,0.5315,,0.0922,0.1024,0.1105,0.1275,0.1224,0.14,0.1507
603778.SH,,,,,,0.2047,0.1832,0.1647,0.1754,0.1609,0.1499,0.1281
603299.SH,0.8759,1.0,0.9836,1.0135,0.9756,,1.371,1.3747,1.5296,1.656,1.4808,1.4432
002778.SZ,0.2062,0.1982,0.205,0.1997,0.1679,0.1258,0.1674,0.1696,0.1633,0.1443,0.1627,0.1676
300499.SZ,0.5186,0.3885,0.5124,0.5293,0.5314,0.4474,0.4482,0.4598,0.5224,0.425,0.4906,0.5198
300500.SZ,0.8194,0.8437,0.8824,0.9341,0.9567,0.7283,0.692,0.601,0.6242,0.6203,0.6545,0.7582
300501.SZ,1.7036,1.4567,1.6992,1.7809,2.2163,0.3704,0.1515,0.2071,0.2376,0.2165,0.2351,0.2801
603377.SH,1.1444,1.2355,1.3433,1.2456,1.1871,1.1931,0.8961,0.8498,0.9418,1.0004,0.9319,0.9911
601900.SH,2.3605,2.1297,2.1891,2.2893,2.3784,2.4336,5.1143,2.6596,2.8345,2.8474,2.7352,3.0193
603608.SH,2.3826,2.6025,2.0975,2.7543,2.7919,,,,,2.4365,2.6771,3.0482
002788.SZ,1.4056,1.3956,1.5064,1.3825,,1.7361,1.5091,1.4837,1.4673,1.4673,1.3806,1.5912
300502.SZ,0.233,0.1807,0.2072,0.1672,0.462,0.2037,0.1772,0.1916,0.2002,0.2161,0.2275,0.2118
603027.SH,0.7687,0.6728,0.5963,0.4978,,0.2895,0.2632,0.2023,0.244,0.2396,0.258,0.2446
002790.SZ,2.9952,3.1672,3.1159,2.9039,2.9649,3.2733,2.9499,2.9412,3.231,3.3613,3.2362,3.4483
603520.SH,0.4572,0.3882,0.3628,0.345,0.2432,0.2971,0.3469,0.2539,0.3034,0.3435,0.3839,0.3639
300503.SZ,0.3038,0.2765,0.3136,0.2671,0.2551,,,,,,,
603919.SH,1.3575,1.5462,1.6747,,1.241,1.0705,1.0873,0.9876,1.04,0.5602,0.4477,0.4598
002789.SZ,0.4307,0.4772,0.4889,0.5041,0.4935,0.8362,0.7995,0.3234,0.3295,0.3104,0.2895,0.294
300505.SZ,0.6497,0.7307,0.7419,1.6059,1.5699,1.5323,0.6585,0.6361,0.6811,0.6039,0.7546,0.7809
601020.SH,1.0613,1.1598,1.1436,1.1546,1.1834,,,,,,,
603861.SH,1.3286,1.4593,1.3689,1.3192,1.3823,1.3854,1.2806,1.2318,1.3722,1.3874,1.3038,1.3639
300506.SZ,0.3435,0.4018,0.4585,0.4975,0.518,,0.6718,0.57,0.6757,0.6458,0.5287,0.5795
002792.SZ,0.0983,0.0955,0.0988,0.1028,0.1126,0.0814,0.0815,0.0875,0.0942,0.0988,0.0969,0.1108
002791.SZ,0.2335,0.1774,0.1784,0.1426,0.1129,0.1594,0.1019,0.1087,0.116,0.1182,0.1168,0.1042
300474.SZ,0.2813,0.2836,0.3525,0.3268,0.2037,0.1783,0.1585,0.164,0.1901,0.1982,0.1946,0.1717
603028.SH,0.2016,0.2289,0.1923,0.1995,0.2087,0.3826,0.1714,0.1701,0.1645,0.1498,0.1681,0.1855
603798.SH,1.0471,1.2333,1.2245,1.2448,1.222,0.4957,0.4376,0.4384,0.4653,0.4826,0.4679,0.5121
603701.SH,2.9063,3.0319,3.3847,3.2762,,1.6869,1.5024,1.5172,1.7037,1.6614,1.4807,1.7786
002793.SZ,1.1445,1.1318,1.2289,,,0.3785,0.3397,0.2941,0.3745,0.3826,0.4187,0.4752
603868.SH,4.0366,4.3453,4.1888,4.3066,,2.0272,1.6375,1.7486,2.0708,1.9305,1.9029,2.1377
300508.SZ,,,,,0.2769,0.2633,0.2479,0.2363,0.2269,0.2024,0.2333,0.2669
603726.SH,3.3406,1.7857,1.9324,3.2494,2.9852,,2.2581,2.3923,2.5926,2.7259,2.728,2.895
300509.SZ,1.8896,2.1204,2.1313,2.0032,,,1.4774,1.1202,1.0958,1.261,1.485,1.7069
