code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
600059.SH,667032.4361,626606.2279,587797.068,634691.4695,804481.5442,753544.5218,778608.7709,812566.7858,715543.886,719586.5069,906355.589,1375299.6047
600055.SH,589489.6569,701979.4263,738214.1116,786346.7533,835561.0275,865846.7346,935612.0243,827448.7845,737673.2954,657091.6818,597601.8999,547305.9934
000759.SZ,434229.3025,452605.7777,473024.0834,450551.2367,457357.1466,441703.5538,496150.8332,474385.3038,431506.8617,428784.421,438312.9636,420617.0987
600061.SH,5826669.3687,5409286.1761,5112944.1094,4983555.3196,4975207.6558,5313288.0418,6181445.0824,6335876.8637,6385962.8468,5905300.2286,6239243.4771,5846120.4124
000727.SZ,577339.2139,556824.6225,477696.913,389777.2358,427875.7626,463043.6335,656466.9234,712149.3856,726802.6652,700426.762,709218.7297,691634.7943
600077.SH,406057.0648,375234.2513,375234.2513,411417.5541,375234.2513,376574.3736,479763.7927,556150.7653,505226.1169,446260.7346,513266.8509,412757.6764
600062.SH,1436538.3267,1410457.3839,1321782.1786,1333257.7934,1283182.3833,1379160.2526,1515824.3926,1406284.4331,1319695.7032,1314479.5146,1315522.7523,1250842.0143
000722.SZ,305416.1496,278030.8109,264570.2207,270604.2784,284064.8686,273389.2281,302167.0416,340228.0207,316091.79,286849.8183,309129.4158,323518.3226
600076.SH,434390.9342,383711.9919,396123.1614,375437.8788,342341.4267,333033.0495,367163.7658,371300.8223,337170.1061,334067.3137,379574.9353,375437.8788
600068.SH,2896404.9921,3062176.979,3214134.6336,3006919.65,2739842.5601,2739842.5601,3071386.5338,2928638.434,2735237.7827,3200320.3013,3135853.4176,3029943.5371
600058.SH,810364.4975,729971.1942,735330.7477,690310.4979,653865.5337,647434.0694,733186.9263,750337.4977,708532.98,674231.8372,792142.0154,785710.5512
600063.SH,693322.0891,841615.9804,714506.9307,647100.6165,643248.8271,627841.6696,774209.6662,756876.614,685618.5104,666359.5634,758802.5086,704877.4573
000779.SZ,173005.9388,161589.3032,188111.0258,191799.4773,180207.2012,181436.6851,195663.5694,215152.9371,187108.1892,178181.6058,177481.4817,166804.5878
