code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
600346.SH,1.2981,1.1331,0.949,0.8611,0.8483,0.8532,0.9916,1.1767,1.0385,1.0631,1.4372,1.5407
600569.SH,0.2155,0.209,0.1988,0.197,0.1951,0.1951,0.2085,0.2149,0.2049,0.2019,0.2256,0.2523
600566.SH,3.0122,2.6816,2.5739,2.4584,2.6056,3.0208,3.448,3.2955,3.0163,3.3454,3.3106,3.0623
600498.SH,1.2357,1.4248,1.5703,1.6411,1.4424,1.4919,1.4651,1.3925,1.2571,1.2492,1.2808,1.2406
600539.SH,20.2534,17.8243,19.0546,26.1355,28.5539,29.2752,30.3359,29.5379,29.3325,30.9758,20.9152,21.5908
600418.SH,0.1821,0.2022,0.199,0.2275,0.4106,0.4002,0.4211,0.3705,0.2997,0.3208,0.3665,0.4616
600519.SH,16.0633,16.1274,16.9513,18.0287,19.4659,20.8374,23.4511,24.9648,23.3158,22.8751,23.4763,27.3676
600599.SH,9.7483,8.5805,6.9376,8.9378,12.3189,7.5707,7.5266,5.893,5.7371,6.2161,5.681,4.8888
600508.SH,0.8978,0.8278,0.7613,0.7662,0.7816,0.7701,0.8625,0.8464,0.8283,0.836,0.9199,0.9778
600448.SH,0.8272,0.9976,0.8652,0.8168,0.8576,0.7984,0.8372,0.8457,0.8125,0.827,0.7995,0.7466
600596.SH,0.5982,0.575,0.5588,0.5291,0.5288,0.5671,0.5987,0.6198,0.5548,0.5849,1.0602,0.8115
600322.SH,0.7252,0.6561,0.6509,0.3423,0.3258,0.3588,0.3726,0.3981,0.3679,0.3406,0.3407,0.3127
600361.SH,0.2065,0.1996,0.2745,0.2275,0.2572,0.2604,0.2696,0.3095,0.2861,0.3256,0.3392,0.3014
600011.SH,0.4963,0.4312,0.4303,0.3939,0.4042,0.3939,0.4378,0.5112,0.502,0.4558,0.4801,0.4184
600391.SH,1.8289,2.2789,2.0394,1.7057,1.8385,1.8415,2.3346,2.7515,2.3717,2.0068,2.6044,2.6003
600567.SH,0.6518,0.6596,0.5968,0.6349,0.6117,0.6202,0.6664,0.68,0.6464,0.6422,0.6533,0.5997
600331.SH,5.1157,4.8691,4.5404,1.8564,1.9075,1.7543,2.3844,2.2321,2.0018,1.8601,2.2697,1.9367
600548.SH,3.8865,3.5474,3.0601,4.0006,3.6967,3.7542,3.6844,3.7769,3.6504,3.5122,3.6247,3.5685
600506.SH,53.1258,47.4836,51.2823,50.1855,59.1901,63.1521,62.912,53.6574,48.5122,49.7467,52.76,53.3944
600523.SH,2.4545,2.3708,2.3621,2.4747,3.1796,3.2486,3.4324,3.7858,3.2842,2.8652,2.9839,2.8318
600520.SH,6.0477,5.6064,5.035,4.592,5.6493,4.9301,5.5632,5.1982,4.6405,4.1398,4.2721,3.7594
600362.SH,0.234,0.2117,0.182,0.1789,0.1782,0.1882,0.2263,0.1916,0.1738,0.1815,0.257,0.2331
