,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
0,688701.SH,20210519,20210519,20200930,1,1,3,0.13,0.13,202632629.09,202632629.09,,,,,,,,,,,,,,,,2651872.67,,,194189585.7,141096041.12,,,1474661.88,8158485.1,23222561.73,4412704.38,-726863.37,,,,,,,,,,,13162369.82,900.14,125856.71,,13037413.25,1708347.41,11329065.84,12796305.97,-1467240.13,,11329065.84,12796305.97,-1467240.13,,,,,,15421147.49,4470678.16,130604.69,,,,,,,,,,,,,,,1
1,688097.SH,20210416,20210416,20200930,1,1,3,0.293,0.293,1570782793.79,1570782793.79,,,,,,,,,,,,,,,,2477167.76,,,1513408875.1,930164348.31,,,8059438.33,137782884.47,130100574.56,13116934.62,-10986658.05,,,,,,,,,,,110093123.72,506818.1,5283401.0,,105316540.82,1184298.35,104132242.47,105306239.32,-1173996.85,-14441458.53,89690783.94,90864780.79,-1173996.85,118842827.79,,,,,261671097.94,14242735.44,1366014.6,,,,,,,,,,,,,,,1
2,300992.SZ,20210429,20210429,20200930,1,1,3,0.84,0.84,294857627.54,294857627.54,,,,,,,,,,,,,,,1550437.64,485697.9,,,232616877.28,197478997.22,,,2312207.0,8916041.69,8243538.1,5803779.12,-872767.05,,,,,,,,,,,65869838.46,230690.22,269093.61,,65831435.07,8527568.82,57303866.25,57303866.25,,-169262.73,57134603.52,57134603.52,,71944602.51,,,,,12970217.02,143288.82,1585297.45,,,,,,,,,,,,,,,1
3,688565.SH,20210421,20210421,20200930,1,1,3,0.26,0.26,175667263.01,175667263.01,,,,,,,,,,,,,,,,,,,156867267.27,125579339.95,,,951437.65,2850097.18,6583833.41,2186696.55,-658815.34,,,,,,,,,,,20323018.12,2679380.65,,,23002398.77,2322917.81,20679480.96,20679480.96,,,20679480.96,20679480.96,,21282972.15,,,,,9731075.42,1878154.81,104409.6,,,,,,,,,,,,,,,1
4,600905.SH,20210426,20210426,20200930,1,1,3,0.1406,0.1406,8098241231.77,8098241231.77,,,,,,,,,,,,,,,110775212.52,385311233.39,378692639.15,,5379242436.33,3275582344.12,,,71509968.81,5775.25,287806786.48,1513580881.71,,,,,,,,,,,,3330347185.6,11265427.04,38064290.06,,3303548322.58,281942083.69,3021606238.89,2811297730.38,210308508.51,79875569.33,3101481808.22,2891173299.71,210308508.51,2882281726.66,,,,,174437.88,1488971714.42,23663676.6,,,,,,,,,,,,,,,1
5,605300.SH,20210412,20210412,20200930,1,1,3,0.4,0.4,1263540528.2,1263540528.2,,,,,,,,,,,,,,,8475875.88,,,,1094024763.68,956889997.73,,,5543431.68,73293520.33,38843498.03,1988470.77,-4970683.39,,,,,,,,,,,189244378.9,329620.92,1589987.49,,187984012.33,45719007.43,142265004.9,142265004.9,,-664278.11,141600726.79,141600726.79,,188364244.95,,,,,11574678.58,783215.28,1291011.47,,,,,,,,,,,,,,,1
6,301079.SZ,20210310,20210310,20200930,1,1,3,0.56,0.56,230584801.85,230584801.85,,,,,,,,,,,,,,,,,,,191167636.45,157429879.55,,,2279794.12,8672183.37,8684824.25,2419750.95,47554.59,,,,,,,,,,,40090155.38,820274.05,37453.06,,40872976.37,5322440.26,35550536.11,35550536.11,,,35550536.11,35550536.11,,,,,,,7661622.63,2361388.3,13282.06,,,,,,,,,,,,,,,1
7,688499.SH,20210310,20210310,20200930,1,1,3,1.42,1.42,966990456.78,966990456.78,,,,,,,,,,,,,,,2093984.2,5906379.69,,,914915526.91,604145945.12,,,5893051.21,51239227.48,97387954.51,11122951.63,-13794739.95,,,,,,,,,,,94608455.58,411728.59,936414.42,,94083769.75,2541351.6,91542418.15,91542418.15,,-630794.26,90911623.89,90911623.89,,,,,,,114619163.39,8982539.82,1343526.85,,,,,,,,,,,,,,,1
8,688071.SH,20210318,20210318,20200930,1,1,3,0.387,0.387,182991653.3,182991653.3,,,,,,,,,,,,,,,,-14936.38,-14936.38,,160174302.23,100608905.81,,,1053194.94,6927417.7,21616222.75,10314535.01,,,,,,,,,,,,26209289.98,10671.85,295216.43,,25924745.4,2709649.88,23215095.52,21164878.51,2050217.01,,23215095.52,21164878.51,2050217.01,,,,,,16038355.95,9362885.87,33444.31,,,,,,,,,,,,,,,1
9,688636.SH,20210318,20210318,20200930,1,1,3,1.2088,1.2088,197002485.16,197002485.16,,,,,,,,,,,,,,,,33480.82,,,159322917.06,71027938.85,,,1529889.73,14658808.2,22305887.81,2997321.23,-1166504.77,,,,,,,,,,,49261060.56,34447.11,82707.53,,49212800.14,3875732.62,45337067.52,45337067.52,,,45337067.52,45337067.52,,,,,,,38942910.62,1875243.73,114761.72,,,,,,,,,,,,,,,0
