,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
0,301069.SZ,20210906,20210906,20200630,1,1,2,0.2934,0.2934,324391036.53,324391036.53,,,,,,,,,,,,,,,1696676.36,536677.1,,,202030718.29,146916498.29,,,4492344.02,21209639.55,19330661.0,-1014159.03,,,,,,,,,,,,125694446.01,660490.47,1361435.49,,124993500.99,19179145.13,105814355.86,105814355.86,,,105814355.86,105814355.86,,122432439.53,136705524.08,,,,10972470.17,0.0,742914.46,,,,,,,,,,,,,,,1
1,301073.SZ,20210908,20210908,20200630,1,1,2,,,88865132.87,88865132.87,,,,,,,,,,,,,,,98694.99,447201.24,,,90481520.53,77179877.2,,,274934.34,3543176.19,8621319.05,459529.81,-173185.46,,,,,,,,,,,-604175.13,14599553.79,9987500.51,,4007878.15,1985422.27,2022455.88,4189379.78,-2166923.9,,2022455.88,4189379.78,-2166923.9,-517356.09,18138952.94,,,,,290199.56,76404.34,,,,,,,,,,,,,,,1
2,001219.SZ,20210922,20210922,20200630,1,1,2,0.6,0.6,236261618.02,236261618.02,,,,,,,,,,,,,,,3196164.38,5226715.06,,,191411221.93,162283153.54,,,2822603.8,7501817.06,18284352.56,-280634.6,,,,,,,,,,,,53579659.04,104910.61,113821.64,,53570748.01,13616728.98,39954019.03,39954019.03,,,39954019.03,39954019.03,,44876145.0,48976799.64,,,,790570.98,,274335.29,,,,,,,,,,,,,,,1
3,605580.SH,20210818,20210818,20200630,1,1,2,0.31,0.31,233488689.63,233488689.63,,,,,,,,,,,,,,,,,,,178086367.5,162137694.37,,,1043015.64,,8224213.18,5409484.83,,,,,,,,,,,,62013984.84,,59807.81,,61954177.03,15347447.06,46606729.97,46606729.97,,,46606729.97,46606729.97,,62026653.11,62026653.11,,,,,5565399.06,168582.5,,,,,,,,,,,,,,,1
4,605599.SH,20210818,20210818,20200630,1,1,2,0.23,,3148345250.34,3148345250.34,,,,,,,,,,,,,,,13395028.5,18619163.72,,,2961606860.31,2714376781.48,,,59596853.48,128819437.37,40701512.15,17506747.3,,,,,,,,,,,,220220030.99,14834.61,18325.88,,220216539.72,54170251.27,166046288.45,163412367.9,2633920.55,30189405.1,196235693.55,193601773.0,2633920.55,196503715.14,211528613.67,,,,596124.78,10339621.84,1130750.91,,,,,,,,,,,,,,,1
5,605589.SH,20210809,20210809,20200630,1,1,2,0.59,0.59,3874273651.42,3874273651.42,,,,,,,,,,,,,,,,17853867.61,1546406.54,,3401338298.82,2492242620.03,,,30903202.19,123359959.8,122625158.23,54164439.91,-284081590.1,,,,,,,,,,,518595831.45,3608240.38,23793611.47,,498410460.36,85397284.94,413013175.42,406090101.46,6923073.96,6970254.59,419983430.01,412708010.91,7275419.1,563567324.55,563567324.55,,,,145372226.92,46025994.85,3926179.4,,,,,,,,,,,,,,,1
6,301055.SZ,20210816,20210816,20200630,1,1,2,0.28,0.28,250728479.93,250728479.93,,,,,,,,,,,,,,,,493044.63,,,209073504.95,145975832.52,,,2123553.96,36577016.76,15414488.04,-134053.96,-1417980.32,,,,,,,,,,,43332815.61,5845.61,723553.58,,42615107.64,9800477.43,32814630.21,32814630.21,,,32814630.21,32814630.21,,43937766.27,43937766.27,,,,7773301.53,,238332.62,,,,,,,,,,,,,,,1
7,688767.SH,20210820,20210820,20200630,1,1,2,3.78,3.78,493453401.44,493453401.44,,,,,,,,,,,,,,,95058.44,-60669.87,,,139296408.66,89323607.72,,,3593050.73,16170873.15,10715683.98,-2001836.33,-2188022.97,,,,,,,,,,,356513061.78,31041.49,35710.25,,356508393.02,53616764.93,302891628.09,302492571.5,399056.59,-118785.45,302772842.64,302385664.59,387178.05,356235094.15,356235094.15,,,,18382835.13,,,,,,,,,,,,,,,,,1
8,688776.SH,20210812,20210812,20200630,1,1,2,0.79,0.79,209421843.26,209421843.26,,,,,,,,,,,,,,,,4989088.76,,,158162656.27,111078119.68,,,956172.48,3795948.32,24513698.45,47498.93,-2175102.68,,,,,,,,,,,56577875.79,60396.0,2724077.34,,53914194.45,8007917.49,45906276.96,45906276.96,,,45906276.96,45906276.96,,53811388.64,61811181.62,,,,3343342.08,215416.67,163095.19,,,,,,,,,,,,,,,1
9,688798.SH,20210813,20210813,20200630,1,1,2,0.39,,508125658.77,508125658.77,,,,,,,,,,,,,,,341719.49,868330.43,,,463778920.21,320988121.59,,,2367657.22,26732982.55,25862634.74,4305811.35,-10250684.27,,,,,,,,,,,49170919.97,67000.0,152104.29,,49085815.68,236370.59,48849445.09,48849445.09,,-7978570.82,40870874.27,40870874.27,,62517365.67,72434270.36,,,,72089743.34,,,,,,,,,,,,,,,,,1
