,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
11,301033.SZ,20210705,20210705,20200331,1,1,1,0.09,0.09,19105606.79,19105606.79,,,,,,,,,,,,,,,693893.1,700838.68,,,15826447.95,3654269.15,,,211898.73,5284042.07,4006709.83,6754.0,,,,,,,,,,,,5437533.37,4625.66,205063.03,,5237096.0,639113.46,4597982.54,4614641.02,-16658.48,,4597982.54,4614641.02,-16658.48,,,,,,2664352.68,,28879.87,,,,,,,,,,,,,,,1
12,301028.SZ,20210630,20210630,20200331,1,1,1,0.05,,117699589.25,117699589.25,,,,,,,,,,,,,,,797968.11,415669.88,,,103587197.47,83225738.44,,,959709.04,2961973.83,6353863.54,43154.38,-1804569.19,,,,,,,,,,,18173694.44,183573.29,1150005.2,,17207262.53,1901101.66,15306160.87,15306160.87,,,15306160.87,15306160.87,,,,,,,6734972.09,97875.0,148488.91,,,,,,,,,,,,,,,1
13,301047.SZ,20210730,20210730,20200331,1,1,1,1.26,,111047873.8,111047873.8,,,,,,,,,,,,,,,46320.82,119882.19,,,39630052.04,10992278.94,,,1314524.28,11603105.6,10887967.47,-1400421.04,1553131.94,,,,,,,,,,,71724349.85,1397620.0,,,73121969.85,8979246.79,64142723.06,64142723.06,,-444387.89,63698335.17,63698335.17,,,,,,,4851712.01,,3014.32,,,,,,,,,,,,,,,1
14,301045.SZ,20210727,20210727,20200331,1,1,1,0.21,0.21,122106770.6,122106770.6,,,,,,,,,,,,,,,-113555.43,1094756.21,,,106131828.19,90822831.94,,,398787.41,6511500.27,6214387.02,12018.86,-576334.63,,,,,,,,,,,17252101.43,152468.89,166521.0,,17238049.32,1297231.66,15940817.66,15940817.66,,84.61,15940902.27,15940902.27,,,,,,,2813131.45,676643.77,11117.45,,,,,,,,,,,,,,,1
15,688787.SH,20210726,20210726,20200331,1,1,1,0.43,0.43,31260885.02,31260885.02,,,,,,,,,,,,,,,2272913.69,297676.7,,,19876934.41,5368715.96,,,423101.8,1605242.99,5848470.9,-240159.99,128111.92,,,,,,,,,,,15609456.48,1.16,19776.38,,15589681.26,1935987.87,13653693.39,13653693.39,,27102.77,13680796.16,13680796.16,,,,,,,6996366.2,,38985.05,,,,,,,,,,,,,,,1
16,688670.SH,20210713,20210713,20200331,1,1,1,0.08,0.08,41149029.13,41149029.13,,,,,,,,,,,,,,,,37472.77,,,46315194.74,8381182.6,,,71654.56,18593128.48,8987716.87,889184.25,,,,,,,,,,,,5123822.82,20086.67,375.0,,5143534.49,974779.1,4168755.39,4168755.39,,,4168755.39,4168755.39,,,,,,,7960554.55,890638.49,7696.19,,,,,,,,,,,,,,,1
17,601728.SH,20210730,20210730,20200331,1,1,1,0.07,0.07,94354000000.0,94354000000.0,,,,,,,,,,,,,,,,408000000.0,407000000.0,,86533000000.0,64341000000.0,,,359000000.0,11211000000.0,8042000000.0,871000000.0,17000000.0,,,,,,,,,,,8547000000.0,186000000.0,987000000.0,,7746000000.0,1859000000.0,5887000000.0,5822000000.0,65000000.0,-69000000.0,5818000000.0,5753000000.0,65000000.0,8209000000.0,,,,,506000000.0,959000000.0,91000000.0,,,,,,,,,,,,,,,1
18,301012.SZ,20210602,20210602,20200331,1,1,1,0.09,0.09,55869880.89,55869880.89,,,,,,,,,,,,,,,,,,,51230551.19,40980537.27,,,427171.33,3108599.31,1315937.72,1218369.6,-1686489.79,,,,,,,,,,,5718103.7,,,,5718103.7,442933.39,5275170.31,5889299.84,-614129.53,,5275170.31,5889299.84,-614129.53,,,,,,2886071.81,1271052.9,77274.55,,,,,,,,,,,,,,,0
19,688239.SH,20210615,20210615,20200331,1,1,1,0.16,,130008951.24,130008951.24,,,,,,,,,,,,,,,,-135100.76,,,117243066.33,96717720.26,,,1758555.44,1886905.79,8451542.75,4818470.89,-3934625.41,,,,,,,,,,,18750711.28,62145.84,635.71,,18812221.41,2259392.75,16552828.66,16552828.66,,,16552828.66,16552828.66,,,,,,,5453649.75,5094620.49,35270.5,,,,,,,,,,,,,,,0
20,301019.SZ,20210615,20210615,20200331,1,1,1,0.25,0.25,79013618.17,79013618.17,,,,,,,,,,,,,,,,,,,61877646.23,49834888.28,,,320353.92,5690697.38,2574714.58,-76858.69,-235967.5,,,,,,,,,,,17863299.06,106080.48,,,17969379.54,2787427.21,15181952.33,15181952.33,,,15181952.33,15181952.33,,,,,,,3109108.58,,80263.46,,,,,,,,,,,,,,,0
21,301018.SZ,20210615,20210615,20200331,1,1,1,-0.07,-0.07,89631441.88,89631441.88,,,,,,,,,,,,,,,,553844.95,431536.09,,109328062.8,59103040.13,,,1517523.0,20036193.81,20473893.01,2758466.74,,,,,,,,,,,,-15904957.21,170977.97,652742.58,,-16386721.82,-2486599.06,-13900122.76,-12993335.87,-906786.89,-99670.82,-13999793.58,-13093006.69,-906786.89,,,,,,10403792.41,2977072.85,282112.22,,,,,,,,,,,,,,,0
22,688425.SH,20210601,20210601,20200331,1,1,1,0.04,,940466843.57,940466843.57,,,,,,,,,,,,,,,,33900508.44,35553669.94,,852952893.25,627067134.64,,,10191942.1,67123688.64,63491574.8,-6298016.15,,,,,,,,,,,,175888818.76,2431520.05,12223308.34,,166097030.47,15919239.8,150177790.67,150156977.05,20813.62,2841583.6,153019374.27,152998560.65,20813.62,,,,,,93520646.38,8272690.87,17576785.47,,,,,,,,,,,,,,,0
23,001207.SZ,20210601,20210601,20200331,1,1,1,0.0759,0.0759,188708258.26,188708258.26,,,,,,,,,,,,,,,,180314.09,,,177265589.4,157071082.18,,,933759.99,6960519.49,3783851.66,1240143.03,,,,,,,,,,,,12402475.83,11702.66,98517.86,,12315660.63,1827788.04,10487872.59,10357606.56,130266.03,,10487872.59,10357606.56,130266.03,,,,,,6641538.38,1771116.26,351676.13,,,,,,,,,,,,,,,0
24,301026.SZ,20210625,20210625,20200331,1,1,1,0.0972,0.0972,152403874.6,152403874.6,,,,,,,,,,,,,,,,-576850.57,-607591.25,,149025605.17,134347611.93,,,346358.1,441223.17,1893084.26,1283831.94,-8191593.35,,,,,,,,,,,7705324.36,,,,7705324.36,-553969.99,8259294.35,8259294.35,,,8259294.35,8259294.35,,,,,,,1955781.0,1271010.41,28279.39,,,,,,,,,,,,,,,0
25,688793.SH,20210625,20210625,20200331,1,1,1,-0.27,-0.27,132302678.99,132302678.99,,,,,,,,,,,,,,,,-243933.16,,,146898973.33,58055219.61,,,565483.18,72108992.78,7145095.03,587592.98,-455255.73,,,,,,,,,,,-11877478.36,,36052.13,,-11913530.49,438089.66,-12351620.15,-12260600.66,-91019.49,41578.31,-12310041.84,-12219022.35,-91019.49,,,,,,7949415.58,202902.22,52808.24,,,,,,,,,,,,,,,0
26,301027.SZ,20210628,20210628,20200331,1,1,1,0.14,0.14,182416524.17,182416524.17,,,,,,,,,,,,,,,-88631.34,592277.17,129877.17,,165839455.25,118430934.78,,,1969024.05,7568859.37,29099978.63,549327.28,,,,,,,,,,,,18924844.59,27000.87,420555.94,,18531289.52,3360381.67,15170907.85,15058056.81,112851.04,,15170907.85,15058056.81,112851.04,,,,,,7796735.46,1266720.37,732518.37,,,,,,,,,,,,,,,1
27,605028.SH,20210601,20210601,20200331,1,1,1,0.13,0.13,58970451.87,58970451.87,,,,,,,,,,,,,,,,,,,39452494.42,29419234.64,,,168562.6,80958.0,5963151.62,1237497.32,,,,,,,,,,,,20505373.8,4950.0,150.0,,20510173.8,4530372.7,15979801.1,15979801.1,,,15979801.1,15979801.1,,,,,,,1959791.69,1239847.91,7157.59,,,,,,,,,,,,,,,0
28,688789.SH,20210621,20210621,20200331,1,1,1,0.63,0.63,128662520.18,128662520.18,,,,,,,,,,,,,,,,1077600.4,,,90669260.15,73833546.2,,,1184875.44,4650682.89,4341458.94,-2544645.17,-103173.75,,,,,,,,,,,41732051.49,,,,41732051.49,5718422.82,36013628.67,36013628.67,,,36013628.67,36013628.67,,,,,,,7435622.09,,247559.36,,,,,,,,,,,,,,,0
29,301039.SZ,20210621,20210621,20200331,1,1,1,0.05,0.05,4082965559.56,4082965559.56,,,,,,,,,,,,,,,-17744997.92,7185334.24,1024334.66,,3968465491.54,3586291750.14,,,19838120.13,121298481.76,174803789.76,-14019140.46,-6245934.01,,,,,,,,,,,121701869.5,4467400.32,528281.52,,125640988.3,22940046.47,102700941.83,88139019.34,14561922.49,-20589023.23,82111918.6,68669939.56,13441979.04,,,,,,44707904.65,18413980.45,12095715.0,,,,,,,,,,,,,,,0
