,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-02,115.5057,115.9747,115.0027,115.1207,39226000.0
2019-01-03,115.1236,117.4836,115.0336,115.6136,16124000.0
2019-01-04,115.2825,119.6825,115.2825,118.7525,66770300.0
2019-01-07,119.0792,121.4692,118.9792,120.8292,56869200.0
2019-01-08,119.8791,121.8981,119.8791,120.9081,28294700.0
2019-01-09,121.186,122.867,120.977,121.477,84185200.0
2019-01-10,121.3759,121.8559,120.2349,121.4759,40789600.0
2019-01-11,120.9748,122.4748,120.7748,122.3298,65821300.0
2019-01-14,122.6215,122.8715,121.1715,121.6715,26907800.0
2019-01-15,121.5254,123.6504,121.5254,123.3704,87250500.0
2019-01-16,123.4693,123.6143,122.1393,122.2693,64037700.0
2019-01-17,122.3032,122.3032,121.4682,121.4682,67621000.0
2019-01-18,121.4671,123.3661,121.4671,123.2381,24079100.0
2019-01-21,123.2348,123.9638,122.7648,122.8638,29180900.0
2019-01-22,122.7637,122.7667,121.4827,121.8427,14805600.0
2019-01-23,121.8316,122.4516,121.7116,121.9936,7686300.0
2019-01-24,121.7115,123.7605,121.5105,123.4605,25829500.0
2019-01-25,123.4595,124.9595,123.0295,124.1595,46065500.0
2019-01-28,124.7562,125.4562,122.7122,123.0562,72749100.00000001
2019-01-29,122.9551,123.3951,122.3051,122.5051,19387099.999999996
2019-01-30,122.454,123.454,122.424,122.954,26886100.0
2019-01-31,123.4529,125.4229,123.4529,124.2659,54889700.0
2019-02-01,124.5318,127.0518,124.5318,126.9518,34204600.0
2019-02-11,127.1908,128.4708,126.2818,128.4408,61757400.0
2019-02-12,128.4397,129.1897,127.1397,127.3417,52081300.0
2019-02-13,127.5386,130.9186,127.0386,128.4396,98065900.0
2019-02-14,128.5375,129.3375,127.7375,128.4485,52547600.0
2019-02-15,128.4364,128.8864,125.9864,125.9864,45284900.0
2019-02-18,126.2932,130.5342,126.2932,130.4332,103480600.0
2019-02-19,130.8821,132.8821,128.4211,129.5321,180870200.0
2019-02-20,129.531,130.359,127.933,129.031,58323600.0
2019-02-21,129.0299,139.9299,128.2299,133.8299,338212200.0
2019-02-22,135.4088,149.9288,134.3488,149.9288,801362200.0
2019-02-25,162.9255,179.9255,158.9755,179.9255,915782700.0
2019-02-26,171.5224,181.9234,166.4254,167.1244,1620013400.0
2019-02-27,168.9333,174.1033,159.4233,162.6333,909753000.0
2019-02-28,162.9222,174.0322,159.9222,170.5222,1131194899.9999998
2019-03-01,176.9191,186.1211,171.4221,180.5711,1731357700.0
2019-03-04,185.9178,200.9178,180.5178,182.1678,1329135300.0
2019-03-05,180.1167,187.8167,179.9167,184.9167,808171000.0
2019-03-06,184.7156,199.4146,182.7156,193.9256,1215702000.0
2019-03-07,190.9145,196.8145,186.3145,186.3145,1062870200.0
2019-03-08,177.9134,182.3134,164.9134,165.0154,965413800.0
2019-03-11,168.4101,176.3901,168.3981,174.0211,843717900.0
2019-03-12,176.019,183.609,174.909,176.709,1120289100.0000002
2019-03-13,176.9079,177.7079,169.9079,171.0079,616418300.0000001
2019-03-14,171.0068,175.9068,166.4068,170.0768,838286900.0
2019-03-15,173.9058,174.9658,169.4858,169.7558,581435900.0
2019-03-18,170.4025,176.5825,167.2025,175.8325,652491400.0
2019-03-19,175.9014,178.3814,173.2014,173.7014,417972700.0
2019-03-20,174.4003,179.8503,173.7103,175.4003,644221199.9999999
2019-03-21,176.8992,184.8902,175.7792,179.4992,830455500.0
2019-03-22,180.6981,181.0881,175.5581,175.7491,418730400.0
2019-03-25,172.4548,173.1848,165.3948,165.4818,353245000.0
2019-03-26,167.4037,167.8937,158.1937,159.7037,688401700.0
2019-03-27,161.9926,162.8926,158.2826,160.3926,569072100.0
2019-03-28,158.8915,162.6795,158.4395,158.5915,305264400.00000006
2019-03-29,159.8904,170.3894,159.8804,169.8504,1125839399.9999998
2019-04-01,170.8771,184.3871,169.9071,177.8871,842659600.0
2019-04-02,177.976,188.286,177.886,178.636,854285600.0
2019-04-03,177.8859,184.8749,176.5839,183.0949,791895900.0
2019-04-04,185.2338,186.2328,179.3948,180.3538,545898900.0
2019-04-08,182.4795,182.8695,172.6795,176.7395,408878400.0
2019-04-09,176.7384,178.7584,172.3794,173.8784,307464000.0
2019-04-10,174.2773,174.3753,166.2373,168.4873,329698099.99999994
