,ts_code,trade_date,adj_factor
0,000001.SZ,20200604,111.049
1,000002.SZ,20200604,148.412
2,000004.SZ,20200604,4.064
3,000005.SZ,20200604,9.268
4,000006.SZ,20200604,35.426
5,000007.SZ,20200604,8.284
6,000008.SZ,20200604,22.408
7,000009.SZ,20200604,8.859
8,000010.SZ,20200604,10.775
9,000011.SZ,20200604,3.751
10,000012.SZ,20200604,26.405
11,000014.SZ,20200604,5.421
12,000016.SZ,20200604,21.685
13,000017.SZ,20200604,2.683
14,000019.SZ,20200604,4.11
15,000020.SZ,20200604,1.752
16,000021.SZ,20200604,14.002
17,000023.SZ,20200604,2.667
18,000025.SZ,20200604,2.737
19,000026.SZ,20200604,7.571
20,000027.SZ,20200604,13.536
21,000028.SZ,20200604,3.943
22,000030.SZ,20200604,3.316
23,000031.SZ,20200604,14.224
24,000032.SZ,20200604,4.163
25,000034.SZ,20200604,3.042
26,000035.SZ,20200604,4.612
27,000036.SZ,20200604,10.994
28,000037.SZ,20200604,5.668
29,000038.SZ,20200604,2.924
30,000039.SZ,20200604,30.346
31,000040.SZ,20200604,4.349
32,000042.SZ,20200604,13.204
33,000045.SZ,20200604,2.928
34,000046.SZ,20200604,33.245
35,000048.SZ,20200604,6.079
36,000049.SZ,20200604,5.42
37,000050.SZ,20200604,8.373
38,000055.SZ,20200604,9.783
39,000056.SZ,20200604,4.708
40,000058.SZ,20200604,3.261
41,000059.SZ,20200604,1.701
42,000060.SZ,20200604,37.808
43,000061.SZ,20200604,21.313
44,000062.SZ,20200604,7.249
45,000063.SZ,20200604,15.787
46,000065.SZ,20200604,15.327
47,000066.SZ,20200604,10.813
48,000068.SZ,20200604,2.28
49,000069.SZ,20200604,40.462
50,000070.SZ,20200604,3.458
51,000078.SZ,20200604,20.484
52,000088.SZ,20200604,7.374
53,000089.SZ,20200604,7.018
54,000090.SZ,20200604,7.484
55,000096.SZ,20200604,2.65
56,000099.SZ,20200604,3.776
57,000100.SZ,20200604,3.168
58,000150.SZ,20200604,3.944
59,000151.SZ,20200604,2.753
60,000153.SZ,20200604,5.652
61,000156.SZ,20200604,1.027
62,000157.SZ,20200604,71.013
63,000158.SZ,20200604,2.952
64,000159.SZ,20200604,3.193
65,000166.SZ,20200604,1.429
66,000301.SZ,20200604,2.293
67,000333.SZ,20200604,4.635
68,000338.SZ,20200604,19.422
69,000400.SZ,20200604,7.638
70,000401.SZ,20200604,4.048
71,000402.SZ,20200604,35.734
72,000403.SZ,20200604,4.217
73,000404.SZ,20200604,3.337
74,000407.SZ,20200604,10.883
75,000408.SZ,20200604,5.675
76,000409.SZ,20200604,2.15
77,000410.SZ,20200604,2.889
78,000411.SZ,20200604,2.563
79,000413.SZ,20200604,4.592
80,000415.SZ,20200604,20.919
81,000416.SZ,20200604,9.637
82,000417.SZ,20200604,17.193
83,000419.SZ,20200604,14.481
84,000420.SZ,20200604,6.352
