,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,000001.SH,20230629,3182.3812,3185.4242,3196.5025,3179.5251,3189.3758,-6.9946,-0.2193,250340074.0,340636710.9
1,000001.SH,20230628,3189.3758,3183.4865,3192.6589,3157.1229,3189.4427,-0.0669,-0.0021,276231948.0,360118192.5
2,000001.SH,20230627,3189.4427,3153.3132,3194.4086,3148.2657,3150.6189,38.8238,1.2323,287604327.0,354487810.6
3,000001.SH,20230626,3150.6189,3177.2293,3181.0758,3144.2484,3197.9011,-47.2822,-1.4785,308129811.0,398859657.4
4,000001.SH,20230621,3197.9011,3230.1142,3236.3626,3197.9011,3240.3648,-42.4637,-1.3105,294377372.0,406234561.4
5,000001.SH,20230620,3240.3648,3252.5435,3252.8435,3237.7857,3255.8057,-15.4409,-0.4743,298260596.0,433243981.5
6,000001.SH,20230619,3255.8057,3271.1635,3271.1635,3251.7789,3273.3341,-17.5284,-0.5355,327753047.0,455226178.2
7,000001.SH,20230616,3273.3341,3256.2989,3276.5522,3255.4988,3252.9751,20.359,0.6259,326281846.0,444375632.4
8,000001.SH,20230615,3252.9751,3230.4512,3252.9751,3229.1452,3228.9887,23.9864,0.7428,313255752.0,437522981.5
9,000001.SH,20230614,3228.9887,3238.1189,3248.4609,3226.7743,3233.6734,-4.6847,-0.1449,303537260.0,404009517.8
10,000001.SH,20230613,3233.6734,3223.8958,3235.0854,3215.4989,3228.8336,4.8398,0.1499,280628454.0,377193491.4
11,000001.SH,20230612,3228.8336,3225.3049,3239.4368,3210.7135,3231.4055,-2.5719,-0.0796,313784444.0,403241619.6
12,000001.SH,20230609,3231.4055,3213.033,3231.4055,3206.1027,3213.5855,17.82,0.5545,314155501.0,413341768.4
13,000001.SH,20230608,3213.5855,3194.8348,3225.5263,3180.5354,3197.7587,15.8268,0.4949,293530741.0,353551633.2
14,000001.SH,20230607,3197.7587,3197.4677,3210.3295,3188.0053,3195.3404,2.4183,0.0757,258063400.0,331083866.7
15,000001.SH,20230606,3195.3404,3228.4068,3247.349,3189.2692,3232.441,-37.1006,-1.1478,308285872.0,387492228.8
16,000001.SH,20230605,3232.441,3231.8108,3244.1801,3221.6254,3230.0686,2.3724,0.0734,278060203.0,357810090.6
17,000001.SH,20230602,3230.0686,3212.4489,3233.9916,3211.737,3204.6345,25.4341,0.7937,294667098.0,377507927.7
18,000001.SH,20230601,3204.6345,3196.1547,3225.093,3189.5174,3204.5644,0.0701,0.0022,312330759.0,400981483.2
19,000001.SH,20230531,3204.5644,3214.6551,3216.3597,3190.2736,3224.2133,-19.6489,-0.6094,294573338.0,384999190.2
20,000001.SH,20230530,3224.2133,3214.6728,3230.6317,3186.6256,3221.4484,2.7649,0.0858,303532460.0,376622572.9
21,000001.SH,20230529,3221.4484,3219.7553,3230.9706,3208.955,3212.5038,8.9446,0.2784,297389487.0,377875996.1
22,000001.SH,20230526,3212.5038,3198.8825,3220.7737,3179.8217,3201.2605,11.2433,0.3512,261700479.0,333319266.0
23,000001.SH,20230525,3201.2605,3197.3644,3207.021,3168.5716,3204.7494,-3.4889,-0.1089,283588925.0,347709231.7
24,000001.SH,20230524,3204.7494,3237.7045,3237.7045,3204.3813,3246.238,-41.4886,-1.2781,288720257.0,342677325.7
25,000001.SH,20230523,3246.238,3294.7877,3298.2257,3246.238,3296.4696,-50.2316,-1.5238,275279083.0,324667932.9
26,000001.SH,20230522,3296.4696,3278.596,3308.5325,3276.5398,3283.5417,12.9279,0.3937,273889998.0,342448401.6
27,000001.SH,20230519,3283.5417,3288.8911,3302.3424,3268.2242,3297.3199,-13.7782,-0.4179,285404064.0,359507956.5
28,000001.SH,20230518,3297.3199,3288.4112,3313.8622,3284.1679,3284.232,13.0879,0.3985,309967472.0,368435071.0
29,000001.SH,20230517,3284.232,3281.9664,3298.519,3269.8936,3290.9874,-6.7554,-0.2053,285744050.0,340482661.5
30,000001.SH,20230516,3290.9874,3310.1607,3317.9012,3282.4918,3310.7367,-19.7493,-0.5965,322479410.0,385386011.2
31,000001.SH,20230515,3310.7367,3269.8781,3310.7367,3235.8679,3272.3619,38.3748,1.1727,388045887.0,431706863.3
32,000001.SH,20230512,3272.3619,3304.4582,3319.1307,3271.4311,3309.5512,-37.1893,-1.1237,347314983.0,387081199.3
33,000001.SH,20230511,3309.5512,3323.6583,3333.2496,3307.2887,3319.1506,-9.5994,-0.2892,354258271.0,401313953.4
34,000001.SH,20230510,3319.1506,3347.7015,3349.7213,3305.2506,3357.6707,-38.5201,-1.1472,451739731.0,489553667.3
35,000001.SH,20230509,3357.6707,3402.3938,3418.9534,3356.1183,3395.0036,-37.3329,-1.0996,573013309.0,619108477.5
36,000001.SH,20230508,3395.0036,3340.9904,3400.1766,3340.9904,3334.5028,60.5008,1.8144,534103659.0,564661993.5
37,000001.SH,20230505,3334.5028,3350.6538,3364.1417,3321.1872,3350.4587,-15.9559,-0.4762,436504494.0,499294430.5
38,000001.SH,20230504,3350.4587,3306.4827,3352.7463,3302.0275,3323.2746,27.1841,0.818,483364916.0,550494850.3
