,ts_code,trade_date,suspend_timing,suspend_type
0,300266.SZ,20201117,,R
1,000813.SZ,20201117,,S
2,600917.SH,20201117,,S
3,003019.SZ,20201117,09:30-10:00,S
4,600891.SH,20201117,,S
5,834765.BJ,20201117,,S
6,430047.BJ,20201117,,S
7,430090.BJ,20201117,,S
8,430510.BJ,20201117,,S
9,830832.BJ,20201117,,S
10,831305.BJ,20201117,,S
11,831726.BJ,20201117,,S
12,831856.BJ,20201117,,S
13,832000.BJ,20201117,,S
14,832225.BJ,20201117,,S
15,832566.BJ,20201117,,S
16,832735.BJ,20201117,,S
17,833427.BJ,20201117,,S
18,833509.BJ,20201117,,S
19,834599.BJ,20201117,,S
20,835174.BJ,20201117,,S
21,835670.BJ,20201117,,S
22,836077.BJ,20201117,,S
23,836239.BJ,20201117,,S
24,836675.BJ,20201117,,S
25,836826.BJ,20201117,,S
26,837212.BJ,20201117,,S
27,837344.BJ,20201117,,S
28,838030.BJ,20201117,,S
29,838275.BJ,20201117,,S
30,839946.BJ,20201117,,S
31,871396.BJ,20201117,,S
32,871553.BJ,20201117,,S
33,832491.BJ,20201117,,S
34,832802.BJ,20201117,,S
35,839792.BJ,20201117,,S
36,839719.BJ,20201117,,S
