,ts_code,trade_date,suspend_timing,suspend_type
0,600095.SH,20200522,,R
1,000029.SZ,20200522,,S
2,002074.SZ,20200522,,S
3,002450.SZ,20200522,,S
4,002509.SZ,20200522,,S
5,002634.SZ,20200522,,S
6,300106.SZ,20200522,,S
7,600145.SH,20200522,,S
8,600185.SH,20200522,,S
9,600226.SH,20200522,,S
10,600589.SH,20200522,,S
11,600677.SH,20200522,,S
12,600701.SH,20200522,,S
13,600816.SH,20200522,,S
14,603006.SH,20200522,,S
15,603701.SH,20200522,,S
16,300440.SZ,20200522,,R
17,605001.SH,20200522,09:30-10:00,S
18,600891.SH,20200522,,S
19,430090.BJ,20200522,,S
20,430418.BJ,20200522,,S
21,430489.BJ,20200522,,S
22,830799.BJ,20200522,,S
23,830964.BJ,20200522,,S
24,831370.BJ,20200522,,S
25,831445.BJ,20200522,,S
26,831961.BJ,20200522,,S
27,832278.BJ,20200522,,S
28,832317.BJ,20200522,,S
29,833266.BJ,20200522,,S
30,833819.BJ,20200522,,S
31,833874.BJ,20200522,,S
32,833994.BJ,20200522,,S
33,834021.BJ,20200522,,S
34,834415.BJ,20200522,,S
35,834682.BJ,20200522,,S
36,835184.BJ,20200522,,S
37,835185.BJ,20200522,,S
38,836149.BJ,20200522,,S
39,836263.BJ,20200522,,S
40,838030.BJ,20200522,,S
41,838163.BJ,20200522,,S
42,839167.BJ,20200522,,S
43,839729.BJ,20200522,,S
44,430300.BJ,20200522,,S
45,834770.BJ,20200522,,S
46,835857.BJ,20200522,,S
47,833394.BJ,20200522,,R
48,839719.BJ,20200522,,S
