,ts_code,trade_date,suspend_timing,suspend_type
0,002988.SZ,20200518,09:30-10:00,S
1,600589.SH,20200518,,S
2,600816.SH,20200518,,S
3,603006.SH,20200518,,S
4,600677.SH,20200518,,S
5,600226.SH,20200518,,S
6,600701.SH,20200518,,S
7,600145.SH,20200518,,S
8,000792.SZ,20200518,,S
9,000966.SZ,20200518,,S
10,002450.SZ,20200518,,S
11,002509.SZ,20200518,,S
12,002634.SZ,20200518,,S
13,603701.SH,20200518,,S
14,300440.SZ,20200518,,S
15,300521.SZ,20200518,,S
16,600185.SH,20200518,,S
17,000029.SZ,20200518,,S
18,600891.SH,20200518,,S
19,430090.BJ,20200518,,S
20,430418.BJ,20200518,,S
21,430489.BJ,20200518,,S
22,830799.BJ,20200518,,S
23,830964.BJ,20200518,,S
24,831370.BJ,20200518,,S
25,831445.BJ,20200518,,S
26,831961.BJ,20200518,,S
27,832278.BJ,20200518,,S
28,832317.BJ,20200518,,S
29,833266.BJ,20200518,,S
30,833819.BJ,20200518,,S
31,833994.BJ,20200518,,S
32,834021.BJ,20200518,,S
33,834415.BJ,20200518,,S
34,834682.BJ,20200518,,S
35,835184.BJ,20200518,,S
36,835185.BJ,20200518,,S
37,836149.BJ,20200518,,S
38,836263.BJ,20200518,,S
39,838030.BJ,20200518,,S
40,838163.BJ,20200518,,S
41,839167.BJ,20200518,,S
42,839729.BJ,20200518,,S
43,430300.BJ,20200518,,S
44,838227.BJ,20200518,,S
45,834770.BJ,20200518,,S
46,835857.BJ,20200518,,S
47,833394.BJ,20200518,,S
48,839719.BJ,20200518,,S
49,832651.BJ,20200518,,S
