,ts_code,trade_date,suspend_timing,suspend_type
0,300340.SZ,20201030,,R
1,000029.SZ,20201030,,S
2,002005.SZ,20201030,,S
3,002684.SZ,20201030,,S
4,002816.SZ,20201030,,S
5,300442.SZ,20201030,,S
6,600970.SH,20201030,,S
7,603333.SH,20201030,,S
8,688189.SH,20201030,,S
9,605169.SH,20201030,09:30-10:00,S
10,600891.SH,20201030,,S
11,834765.BJ,20201030,,S
12,430047.BJ,20201030,,S
13,430090.BJ,20201030,,S
14,430510.BJ,20201030,,S
15,830832.BJ,20201030,,S
16,830839.BJ,20201030,,S
17,831305.BJ,20201030,,S
18,831726.BJ,20201030,,S
19,831856.BJ,20201030,,S
20,832000.BJ,20201030,,S
21,832225.BJ,20201030,,S
22,832566.BJ,20201030,,S
23,832735.BJ,20201030,,S
24,833427.BJ,20201030,,S
25,833509.BJ,20201030,,S
26,834599.BJ,20201030,,S
27,835174.BJ,20201030,,S
28,835670.BJ,20201030,,S
29,836239.BJ,20201030,,S
30,836675.BJ,20201030,,S
31,836826.BJ,20201030,,S
32,837344.BJ,20201030,,S
33,838030.BJ,20201030,,S
34,838275.BJ,20201030,,S
35,839946.BJ,20201030,,S
36,871396.BJ,20201030,,S
37,871553.BJ,20201030,,S
38,832491.BJ,20201030,,S
39,831152.BJ,20201030,,R
40,839792.BJ,20201030,,S
41,839719.BJ,20201030,,S
