,ts_code,trade_date,suspend_timing,suspend_type
0,603269.SH,20200724,,S
1,000611.SZ,20200724,,R
2,000029.SZ,20200724,,S
3,002180.SZ,20200724,,S
4,002270.SZ,20200724,,S
5,002319.SZ,20200724,,S
6,002473.SZ,20200724,,S
7,600460.SH,20200724,,S
8,600526.SH,20200724,,S
9,600606.SH,20200724,,S
10,600673.SH,20200724,,S
11,002691.SZ,20200724,,R
12,600518.SH,20200724,,S
13,300853.SZ,20200724,09:30-10:00,S
14,600891.SH,20200724,,S
15,430047.BJ,20200724,,S
16,430090.BJ,20200724,,S
17,430418.BJ,20200724,,S
18,430489.BJ,20200724,,S
19,430510.BJ,20200724,,S
20,830799.BJ,20200724,,S
21,830839.BJ,20200724,,S
22,830946.BJ,20200724,,S
23,830964.BJ,20200724,,S
24,831010.BJ,20200724,,S
25,831370.BJ,20200724,,S
26,831445.BJ,20200724,,S
27,831856.BJ,20200724,,S
28,831961.BJ,20200724,,S
29,832000.BJ,20200724,,S
30,832278.BJ,20200724,,S
31,832317.BJ,20200724,,S
32,832566.BJ,20200724,,S
33,833266.BJ,20200724,,S
34,833819.BJ,20200724,,S
35,833874.BJ,20200724,,S
36,833994.BJ,20200724,,S
37,834021.BJ,20200724,,S
38,834415.BJ,20200724,,S
39,834475.BJ,20200724,,S
40,834682.BJ,20200724,,S
41,835184.BJ,20200724,,S
42,835185.BJ,20200724,,S
43,835368.BJ,20200724,,S
44,835508.BJ,20200724,,S
45,835640.BJ,20200724,,S
46,835670.BJ,20200724,,S
47,836149.BJ,20200724,,S
48,836263.BJ,20200724,,S
49,836675.BJ,20200724,,S
50,837242.BJ,20200724,,S
51,838030.BJ,20200724,,S
52,838163.BJ,20200724,,S
53,838275.BJ,20200724,,S
54,839167.BJ,20200724,,S
55,839729.BJ,20200724,,S
56,839946.BJ,20200724,,S
57,871396.BJ,20200724,,S
58,430198.BJ,20200724,,S
59,836433.BJ,20200724,,S
60,832491.BJ,20200724,,S
61,831152.BJ,20200724,,S
62,831087.BJ,20200724,,S
63,834770.BJ,20200724,,S
64,835857.BJ,20200724,,S
65,839719.BJ,20200724,,S
66,830779.BJ,20200724,,S
