,ts_code,trade_date,suspend_timing,suspend_type
0,600891.SH,20201225,,S
1,002115.SZ,20201225,,S
2,002445.SZ,20201225,,S
3,002781.SZ,20201225,,S
4,300011.SZ,20201225,,S
5,300065.SZ,20201225,,S
6,300200.SZ,20201225,,S
7,300506.SZ,20201225,,S
8,600086.SH,20201225,,S
9,600267.SH,20201225,,S
10,600687.SH,20201225,,S
11,600841.SH,20201225,,S
12,603021.SH,20201225,,S
13,600228.SH,20201225,,R
14,601956.SH,20201225,"09:31-10:01,10:02-14:57",S
15,834765.BJ,20201225,,S
16,430090.BJ,20201225,,S
17,430510.BJ,20201225,,S
18,830832.BJ,20201225,,S
19,831039.BJ,20201225,,S
20,831305.BJ,20201225,,S
21,831726.BJ,20201225,,S
22,831768.BJ,20201225,,S
23,832171.BJ,20201225,,S
24,832225.BJ,20201225,,S
25,832566.BJ,20201225,,S
26,832735.BJ,20201225,,S
27,832885.BJ,20201225,,S
28,833427.BJ,20201225,,S
29,833509.BJ,20201225,,S
30,833873.BJ,20201225,,S
31,834599.BJ,20201225,,S
32,835174.BJ,20201225,,S
33,835305.BJ,20201225,,S
34,836077.BJ,20201225,,S
35,836239.BJ,20201225,,S
36,836675.BJ,20201225,,S
37,836826.BJ,20201225,,S
38,837092.BJ,20201225,,S
39,837212.BJ,20201225,,S
40,837344.BJ,20201225,,S
41,838275.BJ,20201225,,S
42,838924.BJ,20201225,,S
43,839680.BJ,20201225,,S
44,839946.BJ,20201225,,S
45,871553.BJ,20201225,,S
46,871642.BJ,20201225,,S
47,872925.BJ,20201225,,S
48,831856.BJ,20201225,,R
49,832491.BJ,20201225,,S
50,836957.BJ,20201225,,S
51,832802.BJ,20201225,,S
52,839792.BJ,20201225,,S
53,839719.BJ,20201225,,S
