,ts_code,trade_date,suspend_timing,suspend_type
0,600182.SH,20200707,,S
1,600069.SH,20200707,,S
2,601599.SH,20200707,,S
3,000029.SZ,20200707,,S
4,002254.SZ,20200707,,S
5,002290.SZ,20200707,,S
6,002359.SZ,20200707,,S
7,002450.SZ,20200707,,S
8,002819.SZ,20200707,,S
9,300090.SZ,20200707,,S
10,300156.SZ,20200707,,S
11,300431.SZ,20200707,,S
12,300561.SZ,20200707,,S
13,600317.SH,20200707,,S
14,600614.SH,20200707,,S
15,601880.SH,20200707,,S
16,603488.SH,20200707,,S
17,603922.SH,20200707,,S
18,002045.SZ,20200707,,S
19,600267.SH,20200707,13:00-15:00,S
20,688277.SH,20200707,13:31-13:41,S
21,600891.SH,20200707,,S
22,430047.BJ,20200707,,S
23,430090.BJ,20200707,,S
24,430418.BJ,20200707,,S
25,430489.BJ,20200707,,S
26,430510.BJ,20200707,,S
27,830799.BJ,20200707,,S
28,830946.BJ,20200707,,S
29,830964.BJ,20200707,,S
30,831010.BJ,20200707,,S
31,831370.BJ,20200707,,S
32,831445.BJ,20200707,,S
33,831856.BJ,20200707,,S
34,831961.BJ,20200707,,S
35,832000.BJ,20200707,,S
36,832278.BJ,20200707,,S
37,832317.BJ,20200707,,S
38,832566.BJ,20200707,,S
39,833266.BJ,20200707,,S
40,833819.BJ,20200707,,S
41,833874.BJ,20200707,,S
42,833994.BJ,20200707,,S
43,834021.BJ,20200707,,S
44,834415.BJ,20200707,,S
45,834475.BJ,20200707,,S
46,834682.BJ,20200707,,S
47,835184.BJ,20200707,,S
48,835185.BJ,20200707,,S
49,835368.BJ,20200707,,S
50,835508.BJ,20200707,,S
51,835640.BJ,20200707,,S
52,835670.BJ,20200707,,S
53,836149.BJ,20200707,,S
54,836263.BJ,20200707,,S
55,836675.BJ,20200707,,S
56,837242.BJ,20200707,,S
57,838030.BJ,20200707,,S
58,838163.BJ,20200707,,S
59,838275.BJ,20200707,,S
60,839167.BJ,20200707,,S
61,839729.BJ,20200707,,S
62,839946.BJ,20200707,,S
63,871396.BJ,20200707,,S
64,430198.BJ,20200707,,S
65,836433.BJ,20200707,,S
66,832491.BJ,20200707,,S
67,831152.BJ,20200707,,S
68,831087.BJ,20200707,,S
69,832802.BJ,20200707,,S
70,834770.BJ,20200707,,S
71,835857.BJ,20200707,,S
72,830779.BJ,20200707,,S
