,ts_code,trade_date,suspend_timing,suspend_type
0,000728.SZ,20201022,,R
1,002668.SZ,20201022,,S
2,603006.SH,20201022,,R
3,603032.SH,20201022,,R
4,000029.SZ,20201022,,S
5,002319.SZ,20201022,,S
6,300393.SZ,20201022,,S
7,600068.SH,20201022,,S
8,600970.SH,20201022,,S
9,601968.SH,20201022,,S
10,003013.SZ,20201022,09:30-10:00,S
11,600891.SH,20201022,,S
12,834765.BJ,20201022,,S
13,430047.BJ,20201022,,S
14,430090.BJ,20201022,,S
15,430510.BJ,20201022,,S
16,830832.BJ,20201022,,S
17,830839.BJ,20201022,,S
18,831305.BJ,20201022,,S
19,831726.BJ,20201022,,S
20,831856.BJ,20201022,,S
21,832000.BJ,20201022,,S
22,832225.BJ,20201022,,S
23,832566.BJ,20201022,,S
24,833427.BJ,20201022,,S
25,833509.BJ,20201022,,S
26,834599.BJ,20201022,,S
27,835174.BJ,20201022,,S
28,835670.BJ,20201022,,S
29,836239.BJ,20201022,,S
30,836675.BJ,20201022,,S
31,836826.BJ,20201022,,S
32,837344.BJ,20201022,,S
33,838030.BJ,20201022,,S
34,838275.BJ,20201022,,S
35,839946.BJ,20201022,,S
36,871396.BJ,20201022,,S
37,832491.BJ,20201022,,S
38,831152.BJ,20201022,,S
39,831087.BJ,20201022,,R
40,839792.BJ,20201022,,S
41,839719.BJ,20201022,,S
