,ts_code,trade_date,suspend_timing,suspend_type
0,000029.SZ,20201012,,S
1,001896.SZ,20201012,,S
2,300050.SZ,20201012,,S
3,300526.SZ,20201012,,S
4,300722.SZ,20201012,,S
5,600109.SH,20201012,,S
6,600160.SH,20201012,,S
7,600766.SH,20201012,,S
8,601456.SH,20201012,,S
9,002633.SZ,20201012,,S
10,605338.SH,20201012,09:30-10:00,S
11,600891.SH,20201012,,S
12,834765.BJ,20201012,,S
13,430047.BJ,20201012,,S
14,430090.BJ,20201012,,S
15,430510.BJ,20201012,,S
16,830832.BJ,20201012,,S
17,830839.BJ,20201012,,S
18,831726.BJ,20201012,,S
19,831856.BJ,20201012,,S
20,832000.BJ,20201012,,S
21,832225.BJ,20201012,,S
22,832566.BJ,20201012,,S
23,833427.BJ,20201012,,S
24,833509.BJ,20201012,,S
25,834599.BJ,20201012,,S
26,835174.BJ,20201012,,S
27,835670.BJ,20201012,,S
28,836675.BJ,20201012,,S
29,836826.BJ,20201012,,S
30,837344.BJ,20201012,,S
31,838030.BJ,20201012,,S
32,838275.BJ,20201012,,S
33,839946.BJ,20201012,,S
34,871396.BJ,20201012,,S
35,832491.BJ,20201012,,S
36,831152.BJ,20201012,,S
37,831087.BJ,20201012,,S
38,839792.BJ,20201012,,S
39,839719.BJ,20201012,,S
