,ts_code,trade_date,suspend_timing,suspend_type
0,000885.SZ,20200810,,S
1,600826.SH,20200810,,R
2,002324.SZ,20200810,,R
3,002685.SZ,20200810,,R
4,000877.SZ,20200810,,R
5,002226.SZ,20200810,,R
6,000029.SZ,20200810,,S
7,002748.SZ,20200810,,S
8,600518.SH,20200810,,S
9,600615.SH,20200810,,S
10,600860.SH,20200810,,S
11,603067.SH,20200810,,R
12,600175.SH,20200810,,S
13,000597.SZ,20200810,,S
14,600234.SH,20200810,,S
15,600891.SH,20200810,,S
16,430047.BJ,20200810,,S
17,430090.BJ,20200810,,S
18,430510.BJ,20200810,,S
19,830839.BJ,20200810,,S
20,831856.BJ,20200810,,S
21,832000.BJ,20200810,,S
22,832566.BJ,20200810,,S
23,835670.BJ,20200810,,S
24,836675.BJ,20200810,,S
25,836826.BJ,20200810,,S
26,838030.BJ,20200810,,S
27,838275.BJ,20200810,,S
28,839946.BJ,20200810,,S
29,871396.BJ,20200810,,S
30,832491.BJ,20200810,,S
31,831152.BJ,20200810,,S
32,831087.BJ,20200810,,S
33,834770.BJ,20200810,,S
34,835857.BJ,20200810,,S
35,839719.BJ,20200810,,S
