,ts_code,trade_date,suspend_timing,suspend_type
0,000558.SZ,20201202,,S
1,002080.SZ,20201202,,S
2,002619.SZ,20201202,,S
3,600176.SH,20201202,,S
4,600634.SH,20201202,,S
5,600755.SH,20201202,,S
6,600877.SH,20201202,,S
7,601968.SH,20201202,,S
8,603025.SH,20201202,,S
9,600891.SH,20201202,,S
10,834765.BJ,20201202,,S
11,430090.BJ,20201202,,S
12,430510.BJ,20201202,,S
13,830832.BJ,20201202,,S
14,831039.BJ,20201202,,S
15,831726.BJ,20201202,,S
16,831856.BJ,20201202,,S
17,832000.BJ,20201202,,S
18,832171.BJ,20201202,,S
19,832225.BJ,20201202,,S
20,832566.BJ,20201202,,S
21,832735.BJ,20201202,,S
22,832885.BJ,20201202,,S
23,833427.BJ,20201202,,S
24,833509.BJ,20201202,,S
25,833873.BJ,20201202,,S
26,834599.BJ,20201202,,S
27,835174.BJ,20201202,,S
28,835670.BJ,20201202,,S
29,836077.BJ,20201202,,S
30,836239.BJ,20201202,,S
31,836675.BJ,20201202,,S
32,836826.BJ,20201202,,S
33,837092.BJ,20201202,,S
34,837212.BJ,20201202,,S
35,837344.BJ,20201202,,S
36,838275.BJ,20201202,,S
37,839680.BJ,20201202,,S
38,839946.BJ,20201202,,S
39,871553.BJ,20201202,,S
40,832491.BJ,20201202,,S
41,836957.BJ,20201202,,S
42,832802.BJ,20201202,,S
43,839792.BJ,20201202,,S
44,839719.BJ,20201202,,S
