,ts_code,trade_date,suspend_timing,suspend_type
0,002788.SZ,20200917,,R
1,002512.SZ,20200917,,R
2,000100.SZ,20200917,,S
3,002902.SZ,20200917,,S
4,600310.SH,20200917,,R
5,000029.SZ,20200917,,S
6,000737.SZ,20200917,,S
7,000818.SZ,20200917,,S
8,000959.SZ,20200917,,S
9,002569.SZ,20200917,,S
10,002629.SZ,20200917,,S
11,002819.SZ,20200917,,S
12,300064.SZ,20200917,,S
13,300128.SZ,20200917,,S
14,300301.SZ,20200917,,S
15,300313.SZ,20200917,,S
16,600433.SH,20200917,,S
17,000156.SZ,20200917,,R
18,603112.SH,20200917,09:30-10:00,S
19,600891.SH,20200917,,S
20,430047.BJ,20200917,,S
21,430090.BJ,20200917,,S
22,430510.BJ,20200917,,S
23,830839.BJ,20200917,,S
24,831856.BJ,20200917,,S
25,832000.BJ,20200917,,S
26,832225.BJ,20200917,,S
27,832566.BJ,20200917,,S
28,833427.BJ,20200917,,S
29,833509.BJ,20200917,,S
30,835670.BJ,20200917,,S
31,836675.BJ,20200917,,S
32,836826.BJ,20200917,,S
33,837344.BJ,20200917,,S
34,838030.BJ,20200917,,S
35,838275.BJ,20200917,,S
36,839946.BJ,20200917,,S
37,871396.BJ,20200917,,S
38,832491.BJ,20200917,,S
39,831152.BJ,20200917,,S
40,831087.BJ,20200917,,S
41,834770.BJ,20200917,,R
42,839719.BJ,20200917,,S
