,ts_code,trade_date,suspend_timing,suspend_type
0,002192.SZ,20200422,,R
1,002575.SZ,20200422,,R
2,600243.SH,20200422,,R
3,000837.SZ,20200422,,S
4,002307.SZ,20200422,,S
5,600051.SH,20200422,,S
6,300056.SZ,20200422,,R
7,300539.SZ,20200422,,R
8,000029.SZ,20200422,,S
9,002079.SZ,20200422,,S
10,002450.SZ,20200422,,S
11,002469.SZ,20200422,,S
12,300427.SZ,20200422,,S
13,600145.SH,20200422,,S
14,600485.SH,20200422,,S
15,600596.SH,20200422,,S
16,600816.SH,20200422,,S
17,601558.SH,20200422,,S
18,300829.SZ,20200422,09:30-10:00,S
19,601609.SH,20200422,09:30-10:00,S
20,600891.SH,20200422,,S
21,838227.BJ,20200422,,S
22,834770.BJ,20200422,,S
23,835857.BJ,20200422,,S
24,833394.BJ,20200422,,S
25,832651.BJ,20200422,,S
