,ts_code,trade_date,suspend_timing,suspend_type
0,002079.SZ,20200826,,S
1,002883.SZ,20200826,,S
2,000029.SZ,20200826,,S
3,002066.SZ,20200826,,S
4,002531.SZ,20200826,,S
5,300270.SZ,20200826,,S
6,600069.SH,20200826,,S
7,600301.SH,20200826,,S
8,600518.SH,20200826,,S
9,601717.SH,20200826,,S
10,000039.SZ,20200826,,R
11,600983.SH,20200826,,R
12,300865.SZ,20200826,11:28-13:08,S
13,600891.SH,20200826,,S
14,430047.BJ,20200826,,S
15,430090.BJ,20200826,,S
16,430510.BJ,20200826,,S
17,830839.BJ,20200826,,S
18,831856.BJ,20200826,,S
19,832000.BJ,20200826,,S
20,832566.BJ,20200826,,S
21,835670.BJ,20200826,,S
22,836675.BJ,20200826,,S
23,836826.BJ,20200826,,S
24,838030.BJ,20200826,,S
25,838275.BJ,20200826,,S
26,839946.BJ,20200826,,S
27,871396.BJ,20200826,,S
28,832491.BJ,20200826,,S
29,831152.BJ,20200826,,S
30,831087.BJ,20200826,,S
31,834770.BJ,20200826,,S
32,839719.BJ,20200826,,S
