,ts_code,trade_date,suspend_timing,suspend_type
0,000728.SZ,20201019,,S
1,603919.SH,20201019,,R
2,002668.SZ,20201019,,S
3,600970.SH,20201019,,S
4,603223.SH,20201019,,R
5,002633.SZ,20201019,,R
6,000029.SZ,20201019,,S
7,001896.SZ,20201019,,S
8,002319.SZ,20201019,,S
9,300526.SZ,20201019,,S
10,600068.SH,20201019,,S
11,003012.SZ,20201019,,S
12,605336.SH,20201019,09:30-10:00,S
13,600891.SH,20201019,,S
14,834765.BJ,20201019,,S
15,430047.BJ,20201019,,S
16,430090.BJ,20201019,,S
17,430510.BJ,20201019,,S
18,830832.BJ,20201019,,S
19,830839.BJ,20201019,,S
20,831305.BJ,20201019,,S
21,831726.BJ,20201019,,S
22,831856.BJ,20201019,,S
23,832000.BJ,20201019,,S
24,832225.BJ,20201019,,S
25,832566.BJ,20201019,,S
26,833427.BJ,20201019,,S
27,833509.BJ,20201019,,S
28,834599.BJ,20201019,,S
29,835174.BJ,20201019,,S
30,835670.BJ,20201019,,S
31,836239.BJ,20201019,,S
32,836675.BJ,20201019,,S
33,836826.BJ,20201019,,S
34,837344.BJ,20201019,,S
35,838030.BJ,20201019,,S
36,838275.BJ,20201019,,S
37,839946.BJ,20201019,,S
38,871396.BJ,20201019,,S
39,832491.BJ,20201019,,S
40,831152.BJ,20201019,,S
41,831087.BJ,20201019,,S
42,839792.BJ,20201019,,S
43,839719.BJ,20201019,,S
