,ts_code,trade_date,suspend_timing,suspend_type
0,600917.SH,20201118,,S
1,000813.SZ,20201118,,R
2,600891.SH,20201118,,S
3,834765.BJ,20201118,,S
4,430047.BJ,20201118,,S
5,430090.BJ,20201118,,S
6,430510.BJ,20201118,,S
7,830832.BJ,20201118,,S
8,831305.BJ,20201118,,S
9,831726.BJ,20201118,,S
10,831856.BJ,20201118,,S
11,832000.BJ,20201118,,S
12,832225.BJ,20201118,,S
13,832566.BJ,20201118,,S
14,832735.BJ,20201118,,S
15,832885.BJ,20201118,,S
16,833427.BJ,20201118,,S
17,833509.BJ,20201118,,S
18,834599.BJ,20201118,,S
19,835174.BJ,20201118,,S
20,835670.BJ,20201118,,S
21,836077.BJ,20201118,,S
22,836239.BJ,20201118,,S
23,836675.BJ,20201118,,S
24,836826.BJ,20201118,,S
25,837212.BJ,20201118,,S
26,837344.BJ,20201118,,S
27,838030.BJ,20201118,,S
28,838275.BJ,20201118,,S
29,839946.BJ,20201118,,S
30,871553.BJ,20201118,,S
31,871396.BJ,20201118,,R
32,832491.BJ,20201118,,S
33,832802.BJ,20201118,,S
34,839792.BJ,20201118,,S
35,839719.BJ,20201118,,S
