,ts_code,trade_date,suspend_timing,suspend_type
0,000029.SZ,20200520,,S
1,000792.SZ,20200520,,S
2,002074.SZ,20200520,,S
3,002450.SZ,20200520,,S
4,002509.SZ,20200520,,S
5,002634.SZ,20200520,,S
6,300106.SZ,20200520,,S
7,300440.SZ,20200520,,S
8,300833.SZ,20200520,09:30-10:00,S
9,600145.SH,20200520,,S
10,600185.SH,20200520,,S
11,600226.SH,20200520,,S
12,600589.SH,20200520,,S
13,600677.SH,20200520,,S
14,600701.SH,20200520,,S
15,600816.SH,20200520,,S
16,600821.SH,20200520,,S
17,603006.SH,20200520,,S
18,603701.SH,20200520,,S
19,000966.SZ,20200520,,R
20,002532.SZ,20200520,,R
21,300521.SZ,20200520,,R
22,600891.SH,20200520,,S
23,430090.BJ,20200520,,S
24,430418.BJ,20200520,,S
25,430489.BJ,20200520,,S
26,830799.BJ,20200520,,S
27,830964.BJ,20200520,,S
28,831370.BJ,20200520,,S
29,831445.BJ,20200520,,S
30,831961.BJ,20200520,,S
31,832278.BJ,20200520,,S
32,832317.BJ,20200520,,S
33,833266.BJ,20200520,,S
34,833819.BJ,20200520,,S
35,833874.BJ,20200520,,S
36,833994.BJ,20200520,,S
37,834021.BJ,20200520,,S
38,834415.BJ,20200520,,S
39,834682.BJ,20200520,,S
40,835184.BJ,20200520,,S
41,835185.BJ,20200520,,S
42,836149.BJ,20200520,,S
43,836263.BJ,20200520,,S
44,838030.BJ,20200520,,S
45,838163.BJ,20200520,,S
46,839167.BJ,20200520,,S
47,839729.BJ,20200520,,S
48,430300.BJ,20200520,,S
49,834770.BJ,20200520,,S
50,835857.BJ,20200520,,S
51,833394.BJ,20200520,,S
52,839719.BJ,20200520,,S
53,832651.BJ,20200520,,R
