,ts_code,trade_date,suspend_timing,suspend_type
0,002254.SZ,20200527,,S
1,600074.SH,20200527,,S
2,600217.SH,20200527,,S
3,603919.SH,20200527,,S
4,000029.SZ,20200527,,S
5,000155.SZ,20200527,,S
6,000612.SZ,20200527,,S
7,000668.SZ,20200527,,S
8,002074.SZ,20200527,,S
9,002450.SZ,20200527,,S
10,002509.SZ,20200527,,S
11,002634.SZ,20200527,,S
12,300106.SZ,20200527,,S
13,300426.SZ,20200527,,S
14,600145.SH,20200527,,S
15,600226.SH,20200527,,S
16,600306.SH,20200527,,S
17,600589.SH,20200527,,S
18,600677.SH,20200527,,S
19,600701.SH,20200527,,S
20,600816.SH,20200527,,S
21,603006.SH,20200527,,S
22,603701.SH,20200527,,S
23,600037.SH,20200527,,S
24,600891.SH,20200527,,S
25,430090.BJ,20200527,,S
26,430418.BJ,20200527,,S
27,430489.BJ,20200527,,S
28,830799.BJ,20200527,,S
29,830964.BJ,20200527,,S
30,831370.BJ,20200527,,S
31,831445.BJ,20200527,,S
32,831961.BJ,20200527,,S
33,832278.BJ,20200527,,S
34,832317.BJ,20200527,,S
35,833266.BJ,20200527,,S
36,833819.BJ,20200527,,S
37,833874.BJ,20200527,,S
38,833994.BJ,20200527,,S
39,834021.BJ,20200527,,S
40,834415.BJ,20200527,,S
41,834682.BJ,20200527,,S
42,835184.BJ,20200527,,S
43,835185.BJ,20200527,,S
44,836149.BJ,20200527,,S
45,836263.BJ,20200527,,S
46,838030.BJ,20200527,,S
47,838163.BJ,20200527,,S
48,839167.BJ,20200527,,S
49,839729.BJ,20200527,,S
50,836433.BJ,20200527,,S
51,430300.BJ,20200527,,S
52,834770.BJ,20200527,,S
53,835857.BJ,20200527,,S
54,839719.BJ,20200527,,S
