,ts_code,trade_date,suspend_timing,suspend_type
0,600119.SH,20200421,,R
1,600321.SH,20200421,,R
2,600556.SH,20200421,,R
3,600877.SH,20200421,,R
4,300419.SZ,20200421,,R
5,000029.SZ,20200421,,S
6,002079.SZ,20200421,,S
7,002192.SZ,20200421,,S
8,002450.SZ,20200421,,S
9,002469.SZ,20200421,,S
10,002575.SZ,20200421,,S
11,300427.SZ,20200421,,S
12,300539.SZ,20200421,,S
13,600145.SH,20200421,,S
14,600243.SH,20200421,,S
15,600485.SH,20200421,,S
16,600596.SH,20200421,,S
17,600816.SH,20200421,,S
18,601558.SH,20200421,,S
19,300164.SZ,20200421,,R
20,300056.SZ,20200421,,S
21,300828.SZ,20200421,09:30-10:00,S
22,603682.SH,20200421,09:30-10:00,S
23,600891.SH,20200421,,S
24,838227.BJ,20200421,,S
25,834770.BJ,20200421,,S
26,835857.BJ,20200421,,S
27,833394.BJ,20200421,,S
28,832651.BJ,20200421,,S
